symptomes,disease
"Bloating,Vomiting,Diarrhea",Colitis ulcerosa
"Bloating,Vomiting,Diarrhea",Chronic obstructive pulmonary disease
"Bloating,Vomiting,Diarrhea",Pulmonary edema
"Bloating,Vomiting,Diarrhea",Pulmonary embolism
"Bloating,Vomiting,Diarrhea",Gastritis
"Bloating,Vomiting,Diarrhea",Acute viral sinusitis
"Bloating,Vomiting,Diarrhea",Asthma exacerbation
"Bloating,Vomiting,Diarrhea",Bacterial gastroenteritis
"Bloating,Vomiting,Diarrhea",Arrhythmia with fast heart rate
"Bloating,Vomiting,Diarrhea,Stomach pain",High blood pressure
"Bloating,Vomiting,Diarrhea,Stomach pain",Asthma
"Bloating,Vomiting,Diarrhea,Stomach pain",Colon cancer
"Bloating,Vomiting,Diarrhea,Stomach pain",Irritable bowel syndrome
"Bloating,Vomiting,Diarrhea,Stomach pain",Chronic sinusitis
"Bloating,Vomiting,Diarrhea,Stomach pain",Viral gastroenteritis
"Bloating,Vomiting,Diarrhea,Stomach pain",Pulmonary embolism
"Bloating,Vomiting,Diarrhea,Stomach pain",Hay fever
"Bloating,Vomiting,Diarrhea,Stomach pain",Costochondritis
"Bloating,Vomiting,Diarrhea,Stomach pain",Toe dislocation
"Bloating,Vomiting,Diarrhea,Stomach pain",Gastritis
"Bloating,Vomiting,Diarrhea,Stomach pain",Threatened miscarriage
"Bloating,Vomiting,Diarrhea,Stomach pain",Crohn's disease flare-up
"Bloating,Vomiting,Diarrhea,Stomach pain",Acute viral sinusitis
"Bloating,Vomiting,Diarrhea,Stomach pain",Nasal polyps
"Bloating,Vomiting,Diarrhea,Stomach pain",Common cold
"Bloating,Vomiting,Diarrhea,Stomach pain",Ulcerative colitis flare-up
"Bloating,Vomiting,Diarrhea,Stomach pain",Asthma exacerbation
"Bloating,Vomiting,Diarrhea,Stomach pain",Bacterial gastroenteritis
"Bloating,Vomiting,Diarrhea,Stomach pain",Pneumonia
"Bloating,Vomiting,Diarrhea,Stomach pain",COVID-19
"Bloating,Vomiting,Stomach pain",Chronic obstructive pulmonary disease
"Bloating,Vomiting,Stomach pain",Migraine
"Bloating,Vomiting,Stomach pain",Asthma exacerbation
"Bloating,Vomiting,Stomach pain",Viral gastroenteritis
"Bloating,Vomiting,Stomach pain",Pneumonia
"Bloating,Vomiting,Stomach pain",Burn
"Bloating,Vomiting,Stomach pain",Electrical injury
"Bloating,Vomiting,Stomach pain",Reflex syncope
"Bloating,Vomiting,Stomach pain",Asthma
"Bloating,Vomiting,Stomach pain",Diabetic ketoacidosis
"Bloating,Vomiting,Stomach pain",Bacterial gastroenteritis
"Bloating,Vomiting,Stomach pain",Severe allergic reaction
"Bloating,Vomiting,Stomach pain",Mild hypoglycemia
"Bloating,Vomiting,Stomach pain",Dehydration
"Bloating,Vomiting,Stomach pain",Common cold
"Bloating,Vomiting,Stomach pain",Acute viral sinusitis
"Bloating,Vomiting,Stomach pain,Diarrhea",Bone infection
"Bloating,Vomiting,Stomach pain,Diarrhea",Benign paroxysmal positional vertigo
"Bloating,Vomiting,Stomach pain,Diarrhea",Acute viral sinusitis
"Bloating,Vomiting,Stomach pain,Diarrhea",Atrial fibrillation
"Bloating,Vomiting,Stomach pain,Diarrhea",Irritable bowel syndrome
"Bloating,Vomiting,Stomach pain,Diarrhea",Indigestion
"Bloating,Vomiting,Stomach pain,Diarrhea",Chronic obstructive pulmonary disease
"Bloating,Vomiting,Stomach pain,Diarrhea",Chronic sinusitis
"Bloating,Vomiting,Stomach pain,Diarrhea",Viral gastroenteritis
"Bloating,Vomiting,Stomach pain,Diarrhea",Hay fever
"Bloating,Vomiting,Stomach pain,Diarrhea",Gastritis
"Bloating,Vomiting,Stomach pain,Diarrhea",Lactose intolerance
"Bloating,Vomiting,Stomach pain,Diarrhea",Reflex syncope
"Bloating,Vomiting,Stomach pain,Diarrhea",Common cold
Breathing Problem,Depression
Breathing Problem,Inflammation of the rectum
Breathing Problem,Broken rib
Breathing Problem,Rheumatoid arthritis
Breathing Problem,Dislocated ankle
Breathing Problem,Ankle contusion
Breathing Problem,Measles
Breathing Problem,Viral gastroenteritis
Breathing Problem,Dry eye syndrome
Breathing Problem,Atypical pneumonia
Breathing Problem,Acute HIV infection
Breathing Problem,Benign paroxysmal positional vertigo
Breathing Problem,Pneumonia
Breathing Problem,Ulcerative colitis flare-up
Breathing Problem,Gastritis
Breathing Problem,Mixed connective tissue disease
Breathing Problem,Eczema
Breathing Problem,Migraine
Breathing Problem,Perimenopause
Breathing Problem,Pulmonary embolism
Breathing Problem,Lupus
Breathing Problem,Common cold
Breathing Problem,Bacterial gastroenteritis
Breathing Problem,Chronic obstructive pulmonary disease exacerbation
Breathing Problem,Kidney stones
Breathing Problem,Dementia
Breathing Problem,Labour
Breathing Problem,COVID-19
Breathing Problem,Hyperthyroidism
