symptomes,disease
"Shortness of breath,Cough,Sneezing",Crohn's disease flare-up
"Shortness of breath,Cough,Sneezing",Pulmonary embolism
"Shortness of breath,Cough,Sneezing",Acute viral sinusitis
"Shortness of breath,Cough,Sneezing",Common cold
"Shortness of breath,Cough,Sneezing",Gastroesophageal reflux disease
"Shortness of breath,Cough,Sneezing",Mild hypoglycemia
"Shortness of breath,Cough,Sneezing",Chronic sinusitis
"Shortness of breath,Cough,Sneezing",Epilepsy with loss of consciousness
"Shortness of breath,Cough,Sneezing",Pneumonia
"Shortness of breath,Cough,Sneezing",Gastritis
"Shortness of breath,Cough,Sneezing",Middle ear infection
"Shortness of breath,Cough,Sneezing",Colitis ulcerosa
"Shortness of breath,Cough,Sneezing",Colon cancer
"Shortness of breath,Cough,Sneezing",Placenta previa
"Shortness of breath,Cough,Sneezing",Reflex syncope
"Shortness of breath,Cough,Sneezing",Nasal septum deviation
"Shortness of breath,Cough,Sneezing",Irritable bowel syndrome
"Shortness of breath,Cough,Sneezing",Severe allergic reaction
"Shortness of breath,Cough,Sneezing",Viral gastroenteritis
"Shortness of breath,Cough,Sneezing",Tension-type headaches
"Shortness of breath,Cough,Sneezing",Hemorrhagic stroke
"Shortness of breath,Cough,Sneezing",Asthma exacerbation
"Shortness of breath,Cough,Sneezing",Atypical pneumonia
"Shortness of breath,Cough,Sneezing",Bacterial gastroenteritis
"Shortness of breath,Cough,Sneezing",Depression
"Shortness of breath,Cough,Sneezing",Nasal polyps
"Shortness of breath,Cough,Sneezing",Acute streptococcal pharyngitis
"Shortness of breath,Cough,Sneezing",Subarachnoid intracranial hemorrhage
"Shortness of breath,Cough,Sneezing",Indigestion
"Shortness of breath,Cough,Sneezing",Broken collarbone
"Shortness of breath,Cough,Sneezing",Migraine
"Shortness of breath,Cough,Sneezing",Chronic obstructive pulmonary disease
"Shortness of breath,Cough,Sneezing",Hay fever
"Shortness of breath,Cough,Sneezing",COVID-19
"Shortness of breath,Sneezing",Food allergy
"Shortness of breath,Sneezing",Food poisoning
"Shortness of breath,Sneezing",Electrical injury
"Shortness of breath,Sneezing",Premature separation of placenta
"Shortness of breath,Sneezing",Colitis ulcerosa
"Shortness of breath,Sneezing",Acute bacterial sinusitis
"Shortness of breath,Sneezing",Chronic sinusitis
"Shortness of breath,Sneezing",Nonallergic rhinitis
"Shortness of breath,Sneezing",Teeth grinding
"Shortness of breath,Sneezing",Migraine
"Shortness of breath,Sneezing",Broken rib
"Shortness of breath,Sneezing",High blood pressure
"Shortness of breath,Sneezing",COVID-19
"Shortness of breath,Sneezing",Gastritis
"Shortness of breath,Sneezing",Pneumonia
"Shortness of breath,Sneezing",Rift Valley fever
"Shortness of breath,Sneezing",Sepsis
"Shortness of breath,Sneezing",Heart attack
"Shortness of breath,Sneezing",Chronic obstructive pulmonary disease
"Shortness of breath,Sneezing",Familial nonhemolytic jaundice
"Shortness of breath,Sneezing",Crohn's disease flare-up
"Shortness of breath,Sneezing",Common cold
"Shortness of breath,Sneezing",Severe allergic reaction
"Shortness of breath,Sneezing",Viral gastroenteritis
"Shortness of breath,Sneezing",Tension-type headaches
"Shortness of breath,Sneezing",Asthma exacerbation
"Shortness of breath,Sneezing",Arrhythmia with fast heart rate
"Shortness of breath,Sneezing",Depression
"Shortness of breath,Sneezing",Neck strain
"Shortness of breath,Sneezing",Bacterial gastroenteritis
"Shortness of breath,Sneezing",Acute laryngitis
"Shortness of breath,Sneezing",Pulmonary edema
"Shortness of breath,Sneezing",Pulmonary embolism
"Shortness of breath,Sneezing",Ulcerative colitis flare-up
"Shortness of breath,Sneezing",Irritable bowel syndrome
"Shortness of breath,Sneezing",Antibiotic associated diarrhea
"Shortness of breath,Sneezing",Benign paroxysmal positional vertigo
"Shortness of breath,Sneezing",Colon cancer
"Shortness of breath,Sneezing",Asthma
"Shortness of breath,Sneezing",Intestinal obstruction
"Shortness of breath,Sneezing",Reflex syncope
"Shortness of breath,Sneezing",Indigestion
"Shortness of breath,Sneezing",Acute viral sinusitis
"Shortness of breath,Sneezing",Hay fever
"Shortness of breath,Sneezing,Cough",Severe hypoglycemia
"Shortness of breath,Sneezing,Cough",Burn
"Shortness of breath,Sneezing,Cough",Pneumonia
"Shortness of breath,Sneezing,Cough",Asthma exacerbation
"Shortness of breath,Sneezing,Cough",Epilepsy with loss of consciousness
"Shortness of breath,Sneezing,Cough",Severe allergic reaction
"Shortness of breath,Sneezing,Cough",Crohn's disease flare-up
"Shortness of breath,Sneezing,Cough",Common cold
"Shortness of breath,Sneezing,Cough",Acute bronchitis
"Shortness of breath,Sneezing,Cough",Pulmonary embolism
"Shortness of breath,Sneezing,Cough",Intestinal obstruction
"Shortness of breath,Sneezing,Cough",Nasal polyps
"Shortness of breath,Sneezing,Cough",Teeth grinding
"Shortness of breath,Sneezing,Cough",Migraine
"Shortness of breath,Sneezing,Cough",Chronic obstructive pulmonary disease
"Shortness of breath,Sneezing,Cough",Nonallergic rhinitis
"Shortness of breath,Sneezing,Cough",Chronic sinusitis
"Shortness of breath,Sneezing,Cough",Bacterial gastroenteritis
"Shortness of breath,Sneezing,Cough",Tension-type headaches
"Shortness of breath,Sneezing,Cough",Gastritis
"Shortness of breath,Sneezing,Cough",Lactose intolerance
"Shortness of breath,Sneezing,Cough",Broken forearm
"Shortness of breath,Sneezing,Cough",Pancreatic cancer
"Shortness of breath,Sneezing,Cough",M ni re's disease
"Shortness of breath,Sneezing,Cough",Irritable bowel syndrome
"Shortness of breath,Sneezing,Cough",Asthma
"Shortness of breath,Sneezing,Cough",Acute viral sinusitis
"Shortness of breath,Sneezing,Cough",Viral gastroenteritis
"Shortness of breath,Sneezing,Cough",Acute bacterial sinusitis
"Shortness of breath,Sneezing,Cough",Sleep apnea
"Shortness of breath,Sneezing,Cough",Toe dislocation
"Shortness of breath,Sneezing,Cough",COVID-19
"Shortness of breath,Sneezing,Cough",Broken shoulder bone
"Shortness of breath,Sneezing,Cough",Benign paroxysmal positional vertigo
"Shortness of breath,Sneezing,Cough",Hay fever
Sinus pain,Broken calf bones
Sinus pain,Hay fever
Sinus pain,Lactose intolerance
Sinus pain,Cluster headaches
Sinus pain,Acute bacterial sinusitis
Sinus pain,Pulmonary tuberculosis
Sinus pain,Acute viral sinusitis
Sinus pain,Reflex syncope
Sinus pain,Unspecific vomiting
Sinus pain,Malaria
Sinus pain,Pneumonia
Sinus pain,COVID-19
Sinus pain,Atypical pneumonia
Sinus pain,Common cold
Sinus pain,Chronic obstructive pulmonary disease
Sinus pain,Pulmonary embolism
Sinus pain,Antibiotic associated diarrhea
Sinus pain,Pulmonary edema
Sinus pain,Labour
Sinus pain,Bacterial gastroenteritis
Sinus pain,Chronic constipation
Sinus pain,Asthma exacerbation
Sinus pain,Benign paroxysmal positional vertigo
Sinus pain,Ulcerative colitis flare-up
Sinus pain,Gastritis
Sinus pain,Heart attack
Sinus pain,Sepsis
Sinus pain,Mild hypoglycemia
Sinus pain,Nasal polyps
Sinus pain,Indigestion
Sinus pain,Crohn's disease flare-up
Sinus pain,Severe allergic reaction
Sinus pain,Broken collarbone
Sinus pain,Burn
Sinus pain,Vertebrobasilar insufficiency
Sinus pain,Diabetic ketoacidosis
Sinus pain,Severe hypoglycemia
Sinus pain,Dislocated shoulder
Sinus pain,Asthma
Sinus pain,Major wound
Sinus pain,Irritable bowel syndrome
Sinus pain,Colon cancer
Sinus pain,Tension-type headaches
Sinus pain,M ni re's disease
Sinus pain,Intestinal obstruction
Sinus pain,Acute bronchitis
Sinus pain,Migraine
Sinus pain,Pertussis
Sinus pain,Viral gastroenteritis
Sinus pain,Chronic sinusitis
"Sinus pain,Dizzy",Severe hypoglycemia
"Sinus pain,Dizzy",COVID-19
"Sinus pain,Dizzy",Acute viral sinusitis
"Sinus pain,Dizzy",Idiopathic pulmonary fibrosis
"Sinus pain,Dizzy",Bacterial gastroenteritis
"Sinus pain,Dizzy",Viral gastroenteritis
"Sinus pain,Dizzy",Severe allergic reaction
"Sinus pain,Dizzy",Migraine
"Sinus pain,Dizzy",Asthma
"Sinus pain,Dizzy",Crohn's disease flare-up
"Sinus pain,Dizzy",Ulcerative colitis flare-up
"Sinus pain,Dizzy",Nasal polyps
"Sinus pain,Dizzy",Broken pelvis
"Sinus pain,Dizzy",Pneumonia
"Sinus pain,Dizzy",Concussion
"Sinus pain,Dizzy",Pulmonary tuberculosis
"Sinus pain,Dizzy",Tension-type headaches
"Sinus pain,Dizzy",Chronic sinusitis
"Sinus pain,Dizzy",Chronic obstructive pulmonary disease exacerbation
"Sinus pain,Dizzy",Gastritis
"Sinus pain,Dizzy",Pulmonary edema
"Sinus pain,Dizzy",Severe arrhythmia with fast heart rate
"Sinus pain,Dizzy",Dehydration
"Sinus pain,Dizzy",Clostridium difficile-associated disease
"Sinus pain,Dizzy",Colon cancer
"Sinus pain,Dizzy",Lactose intolerance
"Sinus pain,Dizzy",Common cold
"Sinus pain,Dizzy",Asthma exacerbation
"Sinus pain,Dizzy",Reflex syncope
"Sinus pain,Dizzy",Benign paroxysmal positional vertigo
"Sinus pain,Dizzy",Hay fever
"Sinus pain,Dizzy",Hangover
"Sinus pain,Dizzy",Irritable bowel syndrome
"Sinus pain,Dizzy",Pneumocystis jirovecii pneumonia
"Sinus pain,Dizzy",M ni re's disease
"Sinus pain,Dizzy",Pulmonary embolism
"Sinus pain,Dizzy",Allergic bronchopulmonary aspergillosis
"Sinus pain,Dizzy,Headache",Ulcerative colitis flare-up
"Sinus pain,Dizzy,Headache",Chronic obstructive pulmonary disease
"Sinus pain,Dizzy,Headache",Nasal polyps
"Sinus pain,Dizzy,Headache",Travel sickness
"Sinus pain,Dizzy,Headache",Broken jaw
"Sinus pain,Dizzy,Headache",Anorexia nervosa
"Sinus pain,Dizzy,Headache",Bacterial gastroenteritis
"Sinus pain,Dizzy,Headache",Depression
"Sinus pain,Dizzy,Headache",Threatened miscarriage
"Sinus pain,Dizzy,Headache",Broken collarbone
"Sinus pain,Dizzy,Headache",Lactose intolerance
"Sinus pain,Dizzy,Headache",Common cold
"Sinus pain,Dizzy,Headache",COVID-19
"Sinus pain,Dizzy,Headache",Splenic injury
"Sinus pain,Dizzy,Headache",Chronic sinusitis
"Sinus pain,Dizzy,Headache",Subarachnoid intracranial hemorrhage
"Sinus pain,Dizzy,Headache",Asthma
"Sinus pain,Dizzy,Headache",Irritable bowel syndrome
"Sinus pain,Dizzy,Headache",Acute viral sinusitis
"Sinus pain,Dizzy,Headache",Pulmonary embolism
"Sinus pain,Dizzy,Headache",Viral gastroenteritis
"Sinus pain,Dizzy,Headache",Severe allergic reaction
"Sinus pain,Dizzy,Headache",Pneumonia
"Sinus pain,Dizzy,Headache",Colon cancer
"Sinus pain,Dizzy,Headache",Alzheimer's disease
"Sinus pain,Dizzy,Headache",Acute bacterial sinusitis
"Sinus pain,Dizzy,Headache",Antibiotic associated diarrhea
"Sinus pain,Dizzy,Headache",Benign paroxysmal positional vertigo
"Sinus pain,Dizzy,Headache",Heart attack
"Sinus pain,Dizzy,Headache",Arrhythmia with slow heart rate
"Sinus pain,Dizzy,Headache",Colitis ulcerosa
"Sinus pain,Dizzy,Headache",Hay fever
"Sinus pain,Dizzy,Headache",High blood pressure
"Sinus pain,Dizzy,Headache",Food poisoning
"Sinus pain,Dizzy,Headache",Migraine
"Sinus pain,Dizzy,Headache",Broken rib
"Sinus pain,Dizzy,Headache",Gastritis
"Sinus pain,Dizzy,Headache",Acute streptococcal pharyngitis
"Sinus pain,Headache",Food poisoning
"Sinus pain,Headache",Middle ear infection
"Sinus pain,Headache",Mild hypoglycemia
"Sinus pain,Headache",Bacterial gastroenteritis
"Sinus pain,Headache",Indigestion
"Sinus pain,Headache",Herbicide poisoning
"Sinus pain,Headache",Limb injury of unspecified location
"Sinus pain,Headache",Common cold
"Sinus pain,Headache",Crohn's disease flare-up
"Sinus pain,Headache",Broken collarbone
"Sinus pain,Headache",High blood pressure
"Sinus pain,Headache",Alcohol withdrawal syndrome
"Sinus pain,Headache",Lactose intolerance
"Sinus pain,Headache",Viral gastroenteritis
"Sinus pain,Headache",Ulcerative colitis flare-up
"Sinus pain,Headache",Premature separation of placenta
"Sinus pain,Headache",Antibiotic associated diarrhea
"Sinus pain,Headache",Neck strain
"Sinus pain,Headache",Pneumonia
"Sinus pain,Headache",Reflex syncope
"Sinus pain,Headache",Acute bacterial sinusitis
"Sinus pain,Headache",Nasal polyps
"Sinus pain,Headache",Severe allergic reaction
"Sinus pain,Headache",Migraine
"Sinus pain,Headache",Irritable bowel syndrome
"Sinus pain,Headache",Chronic sinusitis
"Sinus pain,Headache",Pulmonary embolism
"Sinus pain,Headache",Acute viral sinusitis
"Sinus pain,Headache",Asthma
"Sinus pain,Headache",Broken hand bones
"Sinus pain,Headache",Travel sickness
"Sinus pain,Headache",Hay fever
"Sinus pain,Headache",Gastritis
"Sinus pain,Headache",Pulmonary edema
"Sinus pain,Headache",Asthma exacerbation
"Sinus pain,Headache",Pulmonary tuberculosis
"Sinus pain,Headache",Electrical injury
"Sinus pain,Headache",Severe arrhythmia with slow heart rate
"Sinus pain,Headache",Heart attack
"Sinus pain,Headache",COVID-19
"Sinus pain,Headache,Dizzy",Epilepsy with loss of consciousness
"Sinus pain,Headache,Dizzy",Acute viral sinusitis
"Sinus pain,Headache,Dizzy",Dehydration
"Sinus pain,Headache,Dizzy",Colon cancer
"Sinus pain,Headache,Dizzy",Ulcerative colitis flare-up
"Sinus pain,Headache,Dizzy",High blood pressure
"Sinus pain,Headache,Dizzy",Hay fever
"Sinus pain,Headache,Dizzy",Migraine
"Sinus pain,Headache,Dizzy",Depression
"Sinus pain,Headache,Dizzy",Pulmonary embolism
"Sinus pain,Headache,Dizzy",Gastritis
"Sinus pain,Headache,Dizzy",Bacterial gastroenteritis
"Sinus pain,Headache,Dizzy",Giardiasis
"Sinus pain,Headache,Dizzy",Crohn's disease flare-up
"Sinus pain,Headache,Dizzy",Asthma
"Sinus pain,Headache,Dizzy",Chronic sinusitis
"Sinus pain,Headache,Dizzy",Viral gastroenteritis
"Sinus pain,Headache,Dizzy",Chronic obstructive pulmonary disease
"Sinus pain,Headache,Dizzy",Clostridium difficile-associated disease
"Sinus pain,Headache,Dizzy",Asthma exacerbation
"Sinus pain,Headache,Dizzy",Heart attack
"Sinus pain,Headache,Dizzy",Gastroesophageal reflux disease
"Sinus pain,Headache,Dizzy",Tension-type headaches
"Sinus pain,Headache,Dizzy",Severe allergic reaction
"Sinus pain,Headache,Dizzy",COVID-19
"Sinus pain,Headache,Dizzy",Antibiotic associated diarrhea
"Sinus pain,Headache,Dizzy",Cluster headaches
"Sinus pain,Headache,Dizzy",Brain tumour
"Sinus pain,Headache,Dizzy",Nasal polyps
"Sinus pain,Headache,Dizzy",Acute bacterial sinusitis
"Sinus pain,Headache,Dizzy",Pneumonia
"Sinus pain,Headache,Dizzy",Rotator cuff syndrome
"Sinus pain,Headache,Dizzy",Food poisoning
"Sinus pain,Headache,Dizzy",Common cold
"Sinus pain,Headache,Dizzy",Teeth grinding
Skin Disease,Colon cancer
Skin Disease,Unstable angina pectoris
Skin Disease,Diabetes mellitus type 2
Skin Disease,Diabetic retinopathy
Skin Disease,Hemorrhagic stroke
Skin Disease,Degenerative disc disease of the lumbar and sacral spine
Skin Disease,Dislocated ankle
Skin Disease,Post-COVID-19 syndrome
Skin Disease,Bacterial gastroenteritis
Skin Disease,Hepatitis C
Skin Disease,Knee osteoarthritis
Skin Disease,Teeth grinding
Skin Disease,Bacterial meningitis
Skin Disease,Indigestion
Skin Disease,Crohn's disease flare-up
Skin Disease,Gastritis
Skin Disease,Pneumonia
Skin Disease,Chronic hives
Skin Disease,Nasal polyps
Skin Disease,Gastroesophageal reflux disease
Skin Disease,Eczema
Skin Disease,Ischemic stroke
Skin Disease,Broken jaw
Skin Disease,Asthma
Skin Disease,Scoliosis
Skin Disease,Psoriatic arthritis
Skin Disease,Major wound
Skin Disease,Acute HIV infection
Skin Disease,Retinopathy
Skin Disease,Inflammation of heart muscle
Skin Disease,Nonallergic rhinitis
Skin Disease,Broken collarbone
Skin Disease,Finger contusion
Skin Disease,Uveitis
Skin Disease,Antibiotic associated diarrhea
Skin Disease,Heart attack
Skin Disease,Corneal ulceration
Skin Disease,Epilepsy with loss of consciousness
Skin Disease,Clostridium difficile-associated disease
Skin Disease,Chikungunya virus infection
Skin Disease,Asthma exacerbation
Skin Disease,Measles
Skin Disease,Severe allergic reaction
Skin Disease,Mononucleosis
Skin Disease,Depression
Skin Disease,Common cold
Skin Disease,Familial nonhemolytic jaundice
Skin Disease,Small intestinal bacterial overgrowth
Skin Disease,Yellow fever
Skin Disease,Acute viral sinusitis
Skin Disease,Migraine
Skin Disease,Multiple sclerosis
Skin Disease,Dehydration
Skin Disease,Irritable bowel syndrome
Skin Disease,Acute streptococcal pharyngitis
Skin Disease,Polyarteritis nodosa
Skin Disease,Hyperemesis gravidarum
Skin Disease,Viral gastroenteritis
Skin Disease,Ulcerative colitis flare-up
Skin Disease,Broken forearm
Skin Disease,Pneumocystis jirovecii pneumonia
Skin Disease,Dengue
Skin Disease,Stable angina pectoris
Skin Disease,Shingles
Skin Disease,Tooth injury
Skin Disease,Poor nutrition
Skin Disease,Pneumothorax
Skin Disease,Atypical pneumonia
Skin Disease,Dislocated finger
Skin Disease,Dry eye syndrome
Skin Disease,Broken finger
Skin Disease,Keratitis
Skin Disease,Runner's knee
Skin Disease,Sciatica
Skin Disease,Lactose intolerance
Skin Disease,Diverticulitis
Skin Disease,Minor wound
Skin Disease,Broken calf bones
Skin Disease,Baker's cyst of knee
Skin Disease,Exanthematic typhus
Skin Disease,Pulmonary embolism
Skin Disease,Chronic sinusitis
Skin Disease,COVID-19
Skin Disease,Reflex syncope
Skin Disease,Acute bronchitis
Sneezing,Zollinger-Ellison syndrome
Sneezing,Migraine
Sneezing,Cruciate ligament injury
Sneezing,Pneumocystis jirovecii pneumonia
Sneezing,Indigestion
Sneezing,Severe allergic reaction
Sneezing,Colitis ulcerosa
Sneezing,Vertebrobasilar insufficiency
Sneezing,Pulmonary edema
Sneezing,Intestinal obstruction
Sneezing,Asthma exacerbation
Sneezing,Labour
Sneezing,Diabetic ketoacidosis
Sneezing,Hay fever
Sneezing,Colon cancer
Sneezing,Asthma
Sneezing,Epilepsy with loss of consciousness
Sneezing,Chronic obstructive pulmonary disease
Sneezing,Heart attack
Sneezing,Pulmonary embolism
Sneezing,Common cold
Sneezing,Antibiotic associated diarrhea
Sneezing,COVID-19
Sneezing,Dislocated ankle
Sneezing,Depression
Sneezing,Cluster headaches
Sneezing,Gastritis
Sneezing,Pulmonary hypertension
Sneezing,Dehydration
Sneezing,Bacterial gastroenteritis
Sneezing,Broken rib
Sneezing,Lactose intolerance
Sneezing,Acute bacterial sinusitis
Sneezing,Acute viral sinusitis
Sneezing,Viral gastroenteritis
Sneezing,Nasal polyps
Sneezing,M ni re's disease
Sneezing,Chronic sinusitis
Sneezing,Electrical injury
Sneezing,Pneumonia
Sneezing,Burn
Sneezing,Familial nonhemolytic jaundice
Sneezing,Ulcerative colitis flare-up
Sneezing,Broken skull
Sneezing,Reflex syncope
Sneezing,Major wound
Sneezing,Tension-type headaches
Sneezing,High blood pressure
Sneezing,Cerebellar stroke
Sneezing,Mild hypoglycemia
Sneezing,Chronic obstructive pulmonary disease exacerbation
Sneezing,Chronic heart failure
Sneezing,Irritable bowel syndrome
Sneezing,Benign paroxysmal positional vertigo
Sneezing,Crohn's disease flare-up
"Sneezing,Cough",Celiac disease
"Sneezing,Cough",Pulmonary embolism
"Sneezing,Cough",Wound separation
"Sneezing,Cough",Irritable bowel syndrome
"Sneezing,Cough",Ulcerative colitis flare-up
"Sneezing,Cough",Common cold
"Sneezing,Cough",Gastritis
"Sneezing,Cough",Heart attack
"Sneezing,Cough",Chronic sinusitis
"Sneezing,Cough",Viral gastroenteritis
"Sneezing,Cough",Bacterial meningitis
"Sneezing,Cough",COVID-19
"Sneezing,Cough",Crohn's disease flare-up
"Sneezing,Cough",Colon cancer
"Sneezing,Cough",Asthma exacerbation
"Sneezing,Cough",Acute viral sinusitis
"Sneezing,Cough",Pneumonia
"Sneezing,Cough",M ni re's disease
"Sneezing,Cough",Severe allergic reaction
"Sneezing,Cough",Chronic obstructive pulmonary disease
"Sneezing,Cough",Bacterial gastroenteritis
"Sneezing,Cough",Depression
"Sneezing,Cough",Concussion
"Sneezing,Cough",Migraine
"Sneezing,Cough",Nasal polyps
"Sneezing,Cough",Chronic obstructive pulmonary disease exacerbation
"Sneezing,Cough",Hay fever
"Sneezing,Cough",Pulmonary edema
"Sneezing,Cough",Pulmonary tuberculosis
"Sneezing,Cough",Diabetic ketoacidosis
"Sneezing,Cough",Lactose intolerance
"Sneezing,Cough,Shortness of breath",Acute bacterial sinusitis
"Sneezing,Cough,Shortness of breath",Heart attack
"Sneezing,Cough,Shortness of breath",Corneal ulceration
"Sneezing,Cough,Shortness of breath",Irritable bowel syndrome
"Sneezing,Cough,Shortness of breath",Costochondritis
"Sneezing,Cough,Shortness of breath",Lactose intolerance
"Sneezing,Cough,Shortness of breath",Chronic heart failure
"Sneezing,Cough,Shortness of breath",Gastroesophageal reflux disease
"Sneezing,Cough,Shortness of breath",Concussion
"Sneezing,Cough,Shortness of breath",Hay fever
"Sneezing,Cough,Shortness of breath",Familial nonhemolytic jaundice
"Sneezing,Cough,Shortness of breath",Acute viral pharyngitis
"Sneezing,Cough,Shortness of breath",Asthma exacerbation
"Sneezing,Cough,Shortness of breath",Pulmonary edema
"Sneezing,Cough,Shortness of breath",Crohn's disease flare-up
"Sneezing,Cough,Shortness of breath",Knee osteoarthritis
"Sneezing,Cough,Shortness of breath",Acute viral sinusitis
"Sneezing,Cough,Shortness of breath",Splenic injury
"Sneezing,Cough,Shortness of breath",Chest contusion
"Sneezing,Cough,Shortness of breath",Viral gastroenteritis
"Sneezing,Cough,Shortness of breath",Rotator cuff syndrome
"Sneezing,Cough,Shortness of breath",Psoriatic arthritis
"Sneezing,Cough,Shortness of breath",Electrical injury
"Sneezing,Cough,Shortness of breath",Epilepsy with loss of consciousness
"Sneezing,Cough,Shortness of breath",Inflammation of the gallbladder
"Sneezing,Cough,Shortness of breath",Nasal polyps
"Sneezing,Cough,Shortness of breath",Bacterial gastroenteritis
"Sneezing,Cough,Shortness of breath",Tension-type headaches
"Sneezing,Cough,Shortness of breath",Depersonalization-derealization disorder
"Sneezing,Cough,Shortness of breath",Pyelonephritis
"Sneezing,Cough,Shortness of breath",Teeth grinding
"Sneezing,Cough,Shortness of breath",Diabetes mellitus type 2
"Sneezing,Cough,Shortness of breath",Inflammation of the inner ear
"Sneezing,Cough,Shortness of breath",Nonallergic rhinitis
"Sneezing,Cough,Shortness of breath",Pneumonia
"Sneezing,Cough,Shortness of breath",Pulmonary hypertension
"Sneezing,Cough,Shortness of breath",Pertussis
"Sneezing,Cough,Shortness of breath",Chronic obstructive pulmonary disease
"Sneezing,Cough,Shortness of breath",Inflammation of heart muscle
"Sneezing,Cough,Shortness of breath",Dehydration
"Sneezing,Cough,Shortness of breath",Severe hypoglycemia
"Sneezing,Cough,Shortness of breath",Temporomandibular joint disorders
"Sneezing,Cough,Shortness of breath",Rheumatoid arthritis
"Sneezing,Cough,Shortness of breath",Dislocated elbow
"Sneezing,Cough,Shortness of breath",Colitis ulcerosa
"Sneezing,Cough,Shortness of breath",High blood pressure
"Sneezing,Cough,Shortness of breath",Exanthematic typhus
"Sneezing,Cough,Shortness of breath",Ulcerative colitis flare-up
"Sneezing,Cough,Shortness of breath",COVID-19
"Sneezing,Cough,Shortness of breath",Common cold
