symptomes,disease
"Headache,Cough",Subarachnoid intracranial hemorrhage
"Headache,Cough",Gastritis
"Headache,Cough",Sciatica
"Headache,Cough",Antibiotic associated diarrhea
"Headache,Cough",Benign paroxysmal positional vertigo
"Headache,Cough",Degenerative disc disease of the thoracic spine
"Headache,Cough",Kidney stones
"Headache,Cough",Uveitis
"Headache,Cough",Acute bronchitis
"Headache,Cough",Chronic obstructive pulmonary disease
"Headache,Cough",Keratitis
"Headache,Cough",Major wound
"Headache,Cough",Acute HIV infection
"Headache,Dizzy",Acute viral pharyngitis
"Headache,Dizzy",Benign paroxysmal positional vertigo
"Headache,Dizzy",Hay fever
"Headache,Dizzy",Pneumonia
"Headache,Dizzy",Asthma
"Headache,Dizzy",Severe hypoglycemia
"Headache,Dizzy",Pulmonary edema
"Headache,Dizzy",Cardiac tamponade
"Headache,Dizzy",Food poisoning
"Headache,Dizzy",Chronic sinusitis
"Headache,Dizzy",Asthma exacerbation
"Headache,Dizzy",Lactose intolerance
"Headache,Dizzy",Clostridium difficile-associated disease
"Headache,Dizzy",Acute viral sinusitis
"Headache,Dizzy",Acute bronchitis
"Headache,Dizzy",Crohn's disease
"Headache,Dizzy",Viral gastroenteritis
"Headache,Dizzy",Reflex syncope
"Headache,Dizzy",Vertebrobasilar insufficiency
"Headache,Dizzy",Threatened miscarriage
"Headache,Dizzy",COVID-19
"Headache,Dizzy",Dehydration
"Headache,Dizzy",Common cold
"Headache,Dizzy",Irritable bowel syndrome
"Headache,Dizzy",Heart attack
"Headache,Dizzy",Trigeminal neuralgia
"Headache,Dizzy",Pulmonary embolism
"Headache,Dizzy",Subarachnoid intracranial hemorrhage
"Headache,Dizzy",Bacterial gastroenteritis
"Headache,Dizzy",Ulcerative colitis flare-up
"Headache,Dizzy",Chronic obstructive pulmonary disease
"Headache,Dizzy",Broken rib
"Headache,Dizzy",Gastritis
"Headache,Dizzy",Chronic obstructive pulmonary disease exacerbation
"Headache,Dizzy",Nasal polyps
"Headache,Dizzy,Sinus pain",Hay fever
"Headache,Dizzy,Sinus pain",Lactose intolerance
"Headache,Dizzy,Sinus pain",Severe allergic reaction
"Headache,Dizzy,Sinus pain",Pneumonia
"Headache,Dizzy,Sinus pain",Viral gastroenteritis
"Headache,Dizzy,Sinus pain",Pertussis
"Headache,Dizzy,Sinus pain",Asthma exacerbation
"Headache,Dizzy,Sinus pain",Acute viral sinusitis
"Headache,Dizzy,Sinus pain",Nasal polyps
"Headache,Dizzy,Sinus pain",Chronic obstructive pulmonary disease
"Headache,Dizzy,Sinus pain",M ni re's disease
"Headache,Dizzy,Sinus pain",Asthma
"Headache,Dizzy,Sinus pain",Pulmonary embolism
"Headache,Dizzy,Sinus pain",Whiplash injury
"Headache,Dizzy,Sinus pain",Broken calf bones
"Headache,Dizzy,Sinus pain",Acute bronchitis
"Headache,Dizzy,Sinus pain",COVID-19
"Headache,Dizzy,Sinus pain",Herbicide poisoning
"Headache,Dizzy,Sinus pain",Benign paroxysmal positional vertigo
"Headache,Dizzy,Sinus pain",Heart attack
"Headache,Dizzy,Sinus pain",Ulcerative colitis flare-up
"Headache,Dizzy,Sinus pain",Common cold
"Headache,Dizzy,Sinus pain",Premature separation of placenta
"Headache,Dizzy,Sinus pain",Ischemic stroke
"Headache,Dizzy,Sinus pain",Chronic sinusitis
"Headache,Dizzy,Sinus pain",Bacterial gastroenteritis
"Headache,Dizzy,Sinus pain",Migraine
"Headache,Dizzy,Sinus pain",Irritable bowel syndrome
"Headache,Dizzy,Sinus pain",Chronic obstructive pulmonary disease exacerbation
"Headache,Dizzy,Sinus pain",Mild hypoglycemia
"Headache,Dizzy,Sinus pain",Colon cancer
"Headache,Dizzy,Sinus pain",Crohn's disease
"Headache,Dizzy,Sinus pain",Acute bacterial sinusitis
"Headache,Dizzy,Sinus pain",Lung cancer
"Headache,Dizzy,Sinus pain",Pulmonary edema
"Headache,Dizzy,Sinus pain",Broken rib
"Headache,Dizzy,Sinus pain",Gastritis
"Headache,Dizzy,Sinus pain",Chronic constipation
"Headache,Eye Pain",Severe arrhythmia with slow heart rate
"Headache,Eye Pain",M ni re's disease
"Headache,Eye Pain",Complication of ovarian cyst
"Headache,Eye Pain",Irritable bowel syndrome
"Headache,Eye Pain",Bladder infection
"Headache,Eye Pain",Wound separation
"Headache,Eye Pain",Chronic obstructive pulmonary disease exacerbation
"Headache,Eye Pain",Depression
"Headache,Eye Pain",Migraine
"Headache,Eye Pain",Teeth grinding
"Headache,Eye Pain",Acute HIV infection
"Headache,Eye Pain",Broken collarbone
"Headache,Eye Pain",Baker's cyst of knee
"Headache,Eye Pain",Anxiety disorder
"Headache,Eye Pain",Pulmonary tuberculosis
"Headache,Eye Pain",Acute streptococcal pharyngitis
"Headache,Eye Pain",Dengue
"Headache,Eye Pain",Acute viral pharyngitis
"Headache,Eye Pain",Severe allergic reaction
"Headache,Eye Pain",Common cold
"Headache,Eye Pain",Hay fever
"Headache,Eye Pain",Sciatica
"Headache,Eye Pain",Psoriatic arthritis
"Headache,Eye Pain",COVID-19
"Headache,Eye Pain",Asthma exacerbation
"Headache,Eye Pain",Cerebellar stroke
"Headache,Eye Pain",Uveitis
"Headache,Eye Pain",Retinal detachment
"Headache,Eye Pain",Hip bursitis
"Headache,Eye Pain",Ischemic stroke
"Headache,Eye Pain",Athlete's foot
"Headache,Eye Pain",Inflammation of heart muscle
"Headache,Eye Pain",Stable angina pectoris
"Headache,Eye Pain",Antibiotic associated diarrhea
"Headache,Eye Pain",Degenerative arthritis of the spine
"Headache,Eye Pain",Erythroderma
"Headache,Eye Pain",Pneumonia
"Headache,Eye Pain",Food poisoning
"Headache,Eye Pain",Eye injury
"Headache,Eye Pain",Diabetes mellitus type 2
"Headache,Eye Pain",Seborrheic dermatitis
"Headache,Eye Pain",Pericarditis
"Headache,Eye Pain",Electrical injury
"Headache,Eye Pain",Erysipelas
"Headache,Eye Pain",Pyelonephritis
"Headache,Eye Pain",Asthma
"Headache,Eye Pain",Acute bacterial sinusitis
"Headache,Eye Pain",Viral gastroenteritis
"Headache,Eye Pain",Ulcerative colitis flare-up
"Headache,Eye Pain",Seasonal affective disorder
"Headache,Eye Pain",Heart attack
"Headache,Eye Pain",Bone infection
"Headache,Eye Pain",Gastric cancer
"Headache,Eye Pain",Pulmonary embolism
"Headache,Eye Pain",Colon cancer
"Headache,Eye Pain",Anxiety disorder with panic attacks
"Headache,Eye Pain",Premature separation of placenta
"Headache,Eye Pain",Tension-type headaches
"Headache,Eye Pain",Back strain
"Headache,Eye Pain",Hand osteoarthritis
"Headache,Eye Pain",Gastritis
"Headache,Eye Pain",Physical injury of unknown location
"Headache,Eye Pain",Major wound
"Headache,Eye Pain",Crohn's disease flare-up
"Headache,Eye Pain",Severe arrhythmia with fast heart rate
"Headache,Eye Pain",Nonallergic rhinitis
"Headache,Eye Pain",Chronic heart failure
"Headache,Eye Pain",Bacterial gastroenteritis
"Headache,Eye Pain",Chronic obstructive pulmonary disease
"Headache,Eye Pain",Lupus
"Headache,Eye Pain",Benign paroxysmal positional vertigo
"Headache,Eye Pain",Degenerative disc disease of the lumbar and sacral spine
"Headache,Eye Pain",Rheumatoid arthritis
"Headache,Eye Pain",Lactose intolerance
"Headache,Eye Pain",De Quervain syndrome
"Headache,Eye Pain",Acute viral sinusitis
"Headache,Eye Pain",Broken rib
"Headache,Eye Pain",Sarcoidosis
"Headache,Eye Pain",Costochondritis
"Headache,Eye Pain",Familial nonhemolytic jaundice
"Headache,Eye Pain",Nocturnal leg cramps
"Headache,Eye Pain",Torsion of ovary
"Headache,Loss of Appetite",Ischemic stroke
"Headache,Loss of Appetite",Common cold
"Headache,Loss of Appetite",Zollinger-Ellison syndrome
"Headache,Loss of Appetite",Dehydration
"Headache,Loss of Appetite",Bladder infection
"Headache,Loss of Appetite",Runner's knee
"Headache,Loss of Appetite",Chronic constipation
"Headache,Loss of Appetite",Hangover
"Headache,Loss of Appetite",Viral gastroenteritis
"Headache,Loss of Appetite",Crohn's disease flare-up
"Headache,Loss of Appetite",Severe allergic reaction
"Headache,Loss of Appetite",Pulmonary edema
"Headache,Loss of Appetite",Urge incontinence
"Headache,Loss of Appetite",Hepatic abscess
"Headache,Loss of Appetite",Gout
"Headache,Loss of Appetite",Irritable bowel syndrome
"Headache,Loss of Appetite",Knee osteoarthritis
"Headache,Loss of Appetite",Food poisoning
"Headache,Loss of Appetite",Physical injury of unknown location
"Headache,Loss of Appetite",Tension-type headaches
"Headache,Loss of Appetite",Degenerative arthritis of the spine
"Headache,Loss of Appetite",Keratitis
"Headache,Loss of Appetite",Multiple sclerosis
"Headache,Loss of Appetite",Migraine
"Headache,Loss of Appetite",Lip injury
"Headache,Loss of Appetite",Diabetes mellitus type 2
"Headache,Loss of Appetite",Pulmonary embolism
"Headache,Loss of Appetite",Back and pelvis contusion
"Headache,Loss of Appetite",Uveitis
"Headache,Loss of Appetite",Specific phobia
"Headache,Loss of Appetite",Gastritis
"Headache,Loss of Appetite",M ni re's disease
"Headache,Loss of Appetite",Splenic injury
"Headache,Loss of Appetite",Bacterial gastroenteritis
"Headache,Loss of Appetite",Clostridium difficile-associated disease
"Headache,Loss of Appetite",Bacterial meningitis
"Headache,Loss of Appetite",Pyelonephritis
"Headache,Loss of Appetite",COVID-19
"Headache,Loss of Appetite",Diabetic ketoacidosis
"Headache,Loss of Appetite",Osteoporosis
"Headache,Loss of Appetite",Subarachnoid intracranial hemorrhage
"Headache,Loss of Appetite",Reflex syncope
"Headache,Loss of Appetite",Colon cancer
"Headache,Loss of Appetite",Pneumothorax
"Headache,Loss of Appetite",Acute HIV infection
"Headache,Loss of Appetite",Anxiety disorder with panic attacks
"Headache,Loss of Appetite",Chronic obstructive pulmonary disease
"Headache,Loss of Appetite",Ulcerative colitis flare-up
"Headache,Loss of Appetite",Nocturnal leg cramps
"Headache,Loss of Appetite",Dry eye syndrome
"Headache,Loss of Appetite",Chronic sinusitis
"Headache,Loss of Appetite",Prostatitis
"Headache,Loss of Appetite",Mild hypoglycemia
"Headache,Loss of Appetite",Chronic obstructive pulmonary disease exacerbation
"Headache,Loss of Appetite",Familial nonhemolytic jaundice
"Headache,Loss of Appetite",Costochondritis
"Headache,Loss of Appetite",Heart attack
"Headache,Loss of Appetite",Erythroderma
"Headache,Loss of Appetite",Pneumonia
"Headache,Loss of Appetite",Severe hypoglycemia
"Headache,Loss of Appetite",Depression
"Headache,Loss of Appetite",Gastroesophageal reflux disease
"Headache,Loss of Appetite",Psoriatic arthritis
"Headache,Loss of Appetite",Sciatica
"Headache,Loss of Appetite",Benign paroxysmal positional vertigo
"Headache,Loss of Appetite",High blood pressure
"Headache,Loss of Appetite",Diabetic retinopathy
"Headache,Loss of Appetite",Electrical injury
"Headache,Loss of Appetite",Acute viral sinusitis
"Headache,Loss of Appetite",Acute streptococcal pharyngitis
"Headache,Loss of Appetite",Back strain
"Headache,Muscle Pain",Anxiety disorder
"Headache,Muscle Pain",Pulmonary edema
"Headache,Muscle Pain",Keratitis
"Headache,Muscle Pain",Electrical injury
"Headache,Muscle Pain",Broken collarbone
"Headache,Muscle Pain",Chronic obstructive pulmonary disease exacerbation
"Headache,Muscle Pain",Hangover
"Headache,Muscle Pain",Dry eye syndrome
"Headache,Muscle Pain",Familial nonhemolytic jaundice
"Headache,Muscle Pain",Acute viral sinusitis
"Headache,Muscle Pain",M ni re's disease
"Headache,Muscle Pain",Food allergy
"Headache,Muscle Pain",Intercostal neuralgia
"Headache,Muscle Pain",Diabetes mellitus type 2
"Headache,Muscle Pain",Gastritis
"Headache,Muscle Pain",Neck strain
"Headache,Muscle Pain",Infected wound
"Headache,Muscle Pain",Crohn's disease flare-up
"Headache,Muscle Pain",Dehydration
"Headache,Muscle Pain",Broken forearm
"Headache,Muscle Pain",Agoraphobia
"Headache,Muscle Pain",Heart attack
"Headache,Muscle Pain",Chronic obstructive pulmonary disease
"Headache,Muscle Pain",Diabetic ketoacidosis
"Headache,Muscle Pain",Sciatica
"Headache,Muscle Pain",Obstructive jaundice
"Headache,Muscle Pain",Pyelonephritis
"Headache,Muscle Pain",Transient ischemic attack
"Headache,Muscle Pain",Asthma exacerbation
"Headache,Muscle Pain",Diabetic retinopathy
"Headache,Muscle Pain",COVID-19
"Headache,Muscle Pain",Clostridium difficile-associated disease
"Headache,Muscle Pain",Benign paroxysmal positional vertigo
"Headache,Muscle Pain",General anxiety disorder
"Headache,Muscle Pain",Vasculitis
"Headache,Muscle Pain",Bacterial gastroenteritis
"Headache,Muscle Pain",Uveitis
"Headache,Muscle Pain",Common cold
"Headache,Muscle Pain",Severe allergic reaction
"Headache,Muscle Pain",Viral gastroenteritis
"Headache,Muscle Pain",Dislocated ankle
"Headache,Muscle Pain",Broken skull
"Headache,Muscle Pain",Typhoid fever
"Headache,Muscle Pain",Tension-type headaches
"Headache,Muscle Pain",Pulmonary tuberculosis
"Headache,Muscle Pain",Bacterial meningitis
"Headache,Muscle Pain",Burn
"Headache,Muscle Pain",Broken rib
"Headache,Muscle Pain",Abdominal aortic aneurysm
"Headache,Muscle Pain",Acute bronchitis
"Headache,Muscle Pain",Knee osteoarthritis
"Headache,Muscle Pain",Chronic sinusitis
"Headache,Muscle Pain",Dislocated knee
"Headache,Muscle Pain",Pancreatic cancer
"Headache,Muscle Pain",Prostatitis
"Headache,Muscle Pain",Open-angle glaucoma
"Headache,Muscle Pain",Heavy metal poisoning
"Headache,Muscle Pain",Concussion
"Headache,Muscle Pain",Reflex syncope
"Headache,Muscle Pain",Complication of ovarian cyst
"Headache,Muscle Pain",Hemorrhagic stroke
"Headache,Muscle Pain",Diabetic kidney disease
"Headache,Muscle Pain",Acute HIV infection
"Headache,Muscle Pain",Crotch injury
"Headache,Muscle Pain",Irritable bowel syndrome
"Headache,Muscle Pain",Acoustic neuroma
"Headache,Muscle Pain",Leptospirosis
"Headache,Muscle Pain",Ischemic stroke
"Headache,Muscle Pain",Teeth grinding
"Headache,Muscle Pain",Acute streptococcal pharyngitis
"Headache,Muscle Pain",Pneumonia
"Headache,Muscle Pain",Indigestion
"Headache,Muscle Pain",Intestinal obstruction
"Headache,Muscle Pain",Erysipelas
"Headache,Muscle Pain",Pulmonary embolism
"Headache,Muscle Pain",Mild hypoglycemia
"Headache,Muscle Pain",Compression fracture of the spine
"Headache,Muscle Pain",Acute bacterial sinusitis
"Headache,Muscle Pain",Migraine
"Headache,Muscle Pain",Food poisoning
"Headache,Muscle Pain",Wrist and hand contusion
"Headache,Muscle Pain",Nose injury
"Headache,Muscle Pain",Depression
"Headache,Muscle Pain",Major wound
"Headache,Nausea",Rift Valley fever
"Headache,Nausea",Labour
"Headache,Nausea",Premature separation of placenta
"Headache,Nausea",Dehydration
"Headache,Nausea",Depression
"Headache,Nausea",Scarlet fever
"Headache,Nausea",Cholera
"Headache,Nausea",Mononucleosis
"Headache,Nausea",Costochondritis
"Headache,Nausea",Crohn's disease flare-up
"Headache,Nausea",Pneumonia
"Headache,Nausea",Asthma exacerbation
"Headache,Nausea",Alcoholic liver disease
"Headache,Nausea",Atypical pneumonia
"Headache,Nausea",Blunt stomach trauma
"Headache,Nausea",Malaria
"Headache,Nausea",Diabetic retinopathy
"Headache,Nausea",Colon cancer
"Headache,Nausea",Uveitis
"Headache,Nausea",Clostridium difficile-associated disease
"Headache,Nausea",Teeth grinding
"Headache,Nausea",Asthma
"Headache,Nausea",Bacterial gastroenteritis
"Headache,Nausea",Burn
"Headache,Nausea",Stable angina pectoris
"Headache,Nausea",Heart attack
"Headache,Nausea",Chickenpox
"Headache,Nausea",Hip bursitis
"Headache,Nausea",Hay fever
"Headache,Nausea",Ectopic pregnancy
"Headache,Nausea",Degenerative disc disease of the lumbar and sacral spine
"Headache,Nausea",Infected wound
"Headache,Nausea",Chronic sinusitis
"Headache,Nausea",Benign paroxysmal positional vertigo
"Headache,Nausea",Diabetic ketoacidosis
"Headache,Nausea",Knee bursitis
"Headache,Nausea",Hip osteoarthritis
"Headache,Nausea",Pulmonary edema
"Headache,Nausea",Ulcerative colitis flare-up
"Headache,Nausea",Complication of ovarian cyst
"Headache,Nausea",Contact eczema
"Headache,Nausea",Migraine
"Headache,Nausea",Acute bronchitis
"Headache,Nausea",Runner's knee
"Headache,Nausea",Broken calf bones
"Headache,Nausea",Severe allergic reaction
"Headache,Nausea",Acute streptococcal pharyngitis
"Headache,Nausea",Respiratory diphtheria
"Headache,Nausea",Hepatitis C
"Headache,Nausea",Ischemic stroke
"Headache,Nausea",Pulmonary embolism
"Headache,Nausea",Tension-type headaches
"Headache,Nausea",Electrical injury
"Headache,Nausea",Common cold
"Headache,Nausea",Sciatica
"Headache,Nausea",Lactose intolerance
"Headache,Nausea",Psoriatic arthritis
"Headache,Nausea",Antibiotic associated diarrhea
"Headache,Nausea",Chronic obstructive pulmonary disease
"Headache,Nausea",Acute viral pharyngitis
"Headache,Nausea",Diabetes mellitus type 2
"Headache,Nausea",COVID-19
"Headache,Nausea",Dislocated elbow
"Headache,Nausea",Biventricular heart failure
"Headache,Nausea",Gastritis
"Headache,Nausea",Gout
"Headache,Nausea",Irritable bowel syndrome
"Headache,Nausea",Prostatitis
"Headache,Nausea",Viral gastroenteritis
"Headache,Nausea",Kidney stones
"Headache,Nausea",Ankylosing spondylitis
"Headache,Nausea",Hyperthyroidism
"Headache,Nausea",High blood pressure
"Headache,Nausea",Acute viral sinusitis
"Headache,Nausea",Hypertensive encephalopathy
"Headache,Nausea",Minor wound
"Headache,Nausea",Scratch of cornea
"Headache,Nausea",Familial nonhemolytic jaundice
"Headache,Sinus pain",Bacterial gastroenteritis
"Headache,Sinus pain",Acute bacterial sinusitis
"Headache,Sinus pain",Acute viral sinusitis
"Headache,Sinus pain",Asthma
"Headache,Sinus pain",Chronic sinusitis
"Headache,Sinus pain",Burn
"Headache,Sinus pain",Gastritis
"Headache,Sinus pain",Severe arrhythmia with slow heart rate
"Headache,Sinus pain",Labour
"Headache,Sinus pain",COVID-19
"Headache,Sinus pain",Threatened miscarriage
"Headache,Sinus pain",Asthma exacerbation
"Headache,Sinus pain",Common cold
"Headache,Sinus pain",Pneumocystis jirovecii pneumonia
"Headache,Sinus pain",Colon cancer
"Headache,Sinus pain",Pulmonary embolism
"Headache,Sinus pain",Severe allergic reaction
"Headache,Sinus pain",Viral gastroenteritis
"Headache,Sinus pain",Heart attack
"Headache,Sinus pain",Chronic obstructive pulmonary disease
"Headache,Sinus pain",High blood pressure
"Headache,Sinus pain",Pneumonia
"Headache,Sinus pain",Ulcerative colitis flare-up
"Headache,Sinus pain",Costochondritis
"Headache,Sinus pain",Pneumothorax
"Headache,Sinus pain",Sleep apnea
"Headache,Sinus pain",Broken kneecap
"Headache,Sinus pain",Reflex syncope
"Headache,Sinus pain",Hay fever
"Headache,Sinus pain,Dizzy",Ulcerative colitis flare-up
"Headache,Sinus pain,Dizzy",Intestinal obstruction
"Headache,Sinus pain,Dizzy",Indigestion
"Headache,Sinus pain,Dizzy",Dehydration
"Headache,Sinus pain,Dizzy",Pulmonary embolism
"Headache,Sinus pain,Dizzy",Rheumatoid arthritis
"Headache,Sinus pain,Dizzy",Pericarditis
"Headache,Sinus pain,Dizzy",Food allergy
"Headache,Sinus pain,Dizzy",Acute viral pharyngitis
"Headache,Sinus pain,Dizzy",Hemorrhagic stroke
"Headache,Sinus pain,Dizzy",Burn
"Headache,Sinus pain,Dizzy",Dislocated ankle
"Headache,Sinus pain,Dizzy",Chronic kidney disease
"Headache,Sinus pain,Dizzy",Broken lumbar spine
"Headache,Sinus pain,Dizzy",Reflex syncope
"Headache,Sinus pain,Dizzy",M ni re's disease
"Headache,Sinus pain,Dizzy",Threatened miscarriage
"Headache,Sinus pain,Dizzy",Acute bronchitis
"Headache,Sinus pain,Dizzy",Broken calf bones
"Headache,Sinus pain,Dizzy",Gastroesophageal reflux disease
"Headache,Sinus pain,Dizzy",Major wound
"Headache,Sinus pain,Dizzy",Diabetes mellitus type 2
"Headache,Sinus pain,Dizzy",Diverticulitis
"Headache,Sinus pain,Dizzy",Acute bacterial sinusitis
"Headache,Sinus pain,Dizzy",High blood pressure
"Headache,Sinus pain,Dizzy",Subarachnoid intracranial hemorrhage
"Headache,Sinus pain,Dizzy",Nasal septum deviation
"Headache,Sinus pain,Dizzy",Clostridium difficile-associated disease
"Headache,Sinus pain,Dizzy",Corneal ulceration
"Headache,Sinus pain,Dizzy",Teeth grinding
"Headache,Sinus pain,Dizzy",Pneumonia
"Headache,Sinus pain,Dizzy",Gastritis
"Headache,Sinus pain,Dizzy",Familial nonhemolytic jaundice
"Headache,Sinus pain,Dizzy",Urge incontinence
"Headache,Sinus pain,Dizzy",General anxiety disorder
"Headache,Sinus pain,Dizzy",Small intestinal bacterial overgrowth
"Headache,Sinus pain,Dizzy",Physical injury of unknown location
"Headache,Sinus pain,Dizzy",Transient ischemic attack
"Headache,Sinus pain,Dizzy",Intercostal neuralgia
"Headache,Sinus pain,Dizzy",Knee osteoarthritis
"Headache,Sinus pain,Dizzy",Asthma
"Headache,Sinus pain,Dizzy",Common cold
"Headache,Sinus pain,Dizzy",Severe allergic reaction
"Headache,Sinus pain,Dizzy",Hay fever
"Headache,Sinus pain,Dizzy",Encephalitis
"Headache,Sinus pain,Dizzy",Degenerative disc disease of the lumbar and sacral spine
"Headache,Sinus pain,Dizzy",Acute viral sinusitis
"Headache,Sinus pain,Dizzy",Uveitis
"Headache,Sinus pain,Dizzy",Nasal polyps
"Headache,Sinus pain,Dizzy",Crohn's disease flare-up
"Headache,Sinus pain,Dizzy",Middle ear infection
"Headache,Sinus pain,Dizzy",Pulmonary tuberculosis
"Headache,Sinus pain,Dizzy",Mononucleosis
"Headache,Sinus pain,Dizzy",Labour
"Headache,Sinus pain,Dizzy",Ischemic stroke
"Headache,Sinus pain,Dizzy",Migraine
"Headache,Sinus pain,Dizzy",Psoriatic arthritis
"Headache,Sinus pain,Dizzy",COVID-19
"Headache,Sinus pain,Dizzy",Lactose intolerance
"Headache,Sinus pain,Dizzy",Bacterial gastroenteritis
"Headache,Sinus pain,Dizzy",Anxiety disorder
"Headache,Sinus pain,Dizzy",Food poisoning
"Headache,Sinus pain,Dizzy",Chronic sinusitis
"Headache,Sinus pain,Dizzy",Colon cancer
"Headache,Sinus pain,Dizzy",Broken shoulder bone
"Headache,Sinus pain,Dizzy",Asthma exacerbation
"Headache,Sinus pain,Dizzy",Heart attack
"Headache,Sinus pain,Dizzy",Pulmonary edema
"Headache,Sinus pain,Dizzy",Sciatica
"Headache,Sinus pain,Dizzy",Kidney stones
"Headache,Sinus pain,Dizzy",Diabetic ketoacidosis
"Headache,Sinus pain,Dizzy",Severe hypoglycemia
"Headache,Sinus pain,Dizzy",Temporomandibular joint disorders
"Headache,Sinus pain,Dizzy",Cerebellar stroke
"Headache,Sinus pain,Dizzy",Broken collarbone
"Headache,Sinus pain,Dizzy",Severe arrhythmia with slow heart rate
"Headache,Sinus pain,Dizzy",Atypical pneumonia
"Headache,Sinus pain,Dizzy",Mild hypoglycemia
"Headache,Sinus pain,Dizzy",Acute HIV infection
"Headache,Sinus pain,Dizzy",Costochondritis
"Headache,Sinus pain,Dizzy",Irritable bowel syndrome
"Headache,Sinus pain,Dizzy",Brain tumour
"Headache,Sinus pain,Dizzy",Dry eye syndrome
"Headache,Sinus pain,Dizzy",Celiac disease
"Headache,Sinus pain,Dizzy",Injured ear
"Headache,Sinus pain,Dizzy",Chronic obstructive pulmonary disease
"Headache,Sinus pain,Dizzy",Nonallergic rhinitis
"Headache,Sinus pain,Dizzy",Electrical injury
"Headache,Sinus pain,Dizzy",Thoracic aortic dissection
"Headache,Sinus pain,Dizzy",Tension-type headaches
"Headache,Sinus pain,Dizzy",Viral gastroenteritis
"Headache,Sinus pain,Dizzy",Pneumothorax
"Headache,Sinus pain,Dizzy",Acute streptococcal pharyngitis
Immune System Failure,Acoustic neuroma
Immune System Failure,Threatened miscarriage
Immune System Failure,Pulmonary tuberculosis
Immune System Failure,Premature separation of placenta
Immune System Failure,Scarlet fever
Immune System Failure,Pulmonary embolism
Immune System Failure,Crohn's disease flare-up
Immune System Failure,Keratitis
Immune System Failure,Contact eczema
Immune System Failure,Mild hypoglycemia
