Conditions,                                              SYMPTOMS.       ,,,,,,,,,,,,,,,,,,,drug class,BRAND NAME,api strength unit - mg or ml or ,API - 1,API-1 Strength,API - 2 ,API-2 Strength,API - 3,API-3 Strength,FORM,                     BEFORE MEAL,,,                            AFTER MEAL,,,DOSAGE,                     DAYS,,NO. OF DAYS,QUANTITY OF MEDICINE,,REFER THE PATIENT TO A SPECIALIST,,             IS FOLLOW UP REQUIRED,,,     DATE OF FOLLOW UP,,    INSTRUCTIONS FOR APPLICATION,,,                                                                      CLINICAL ADVICE,,,,,,,,,,,,,,,,,
Acute sinusitis,headache,facial pain,runny nose,nasal congestion,,,,,Nasal endoscopy,Imaging studies,Nasal and sinus samples,Allergy testing,,,,,,,,Decongestants,Sudafed,mg,Pseudoephedrine HCl,30,,,,,Pill,0,0,0,0,0,1,1,Yes,,as prescribed,Once a day ,,,Yes,,No,,,,,,,Antibiotics should be chosen in accordance with the stage and symptoms. ,,,,,,,,,,,,,,,https://drive.google.com/file/d/1KjKzcIFUtlXLxN2VLTZ8hjRuaL9Q-vB6/view?usp=drivesdk,,
Allergies,hives or rashes,fever,watery eyes,wheezing,,,,,Skin test,Blood test,,,,,,,,,,antihistamines,Allegra-m,mg,fexofenadine hydrochloride,120,montelukast,10,,,Pill,1,0,0,0,0,0,1,No,,as prescribed by physician,50,,,Yes,,No,,,,,,,not for childrens under age12/above65,use an air purifier ,try avoiding dust,more hydration,,,,,,,,,,,,https://drive.google.com/file/d/1Kkx9hnG9bIAJDGmBIUe7inIAXJRRM2vp/view?usp=drivesdk,,
Alzheimer's and other Dementias,inability to create new memories,mental decline,difficulty thinking and understanding,forgetfulness,,,,,Physical and neurological exam,Brain imaging,,,,,,,,,,Cholinesterase inhibitors,Aricept,mg,donepezil hydrochloride,5,,,,,Pill,0,0,0,0,0,1,1,Yes,,4-6 weeks,30,,,Yes,,Yes,,,,,administer before bed ,,dosage changes after 4-6weeks,doctor may advise Aducanuamb administration,provide choices and involve the person more,,limit napping and maintain a routine,,,,,,,,,,,https://drive.google.com/file/d/1KrSvQTdwQX7DDTThLyGRMrjmBSztKVsn/view?usp=drivesdk,,
Iron deficiency Anaemia,dizziness,fast heart rate or palpitations,pallor,cold hands and feet,light-headedness,fatigue,,,Complete blood count (CBC),Ferritin levels test,,,,,,,,,,nutritional supplements,livogen z,mg,ferrous fumarate,152mg,folic acid,750mcg,zinc sulfate,61.8mg,Pill,0,0,0,0,0,1,1,Yes,,as prescribed by physician,15,,,No,,No,,,,consult during pregnancy/breastfeeding,,do not take it with antacids,"fortified cereals,wheats,oats","food high in vitaminc like citrus fruits,dark greeny vegetables",,,,,,,,,,,,,,https://drive.google.com/file/d/1Kto9GUMRskCOnFyjkB9auN2he6V1YIgc/view?usp=drivesdk,,
Celiac disease,"Abdominal pain,","pale stool with a foul smell,",mouth sores,,,,,,Physical examination,Blood test,"Genetic test,biopsies of small intestine",serology testing,,,,,,,,"Antibiotics (Diaminodiphenyl sulfone),Vitamin and mineral supplements",Folivane,mcg,dietary supplements,1000,multivitamins,,,,tablets,,,,,1,,1,yes,,as prescribed,as prescribed,,yes,,yes,,,,,,,,take gluten free and healthy diet.,,,,,,,,,,,,,,,https://www.rxlist.com/folivane-drug.htm,,
Celiac disease,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Celiac disease,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bubonic plague,pain in abdomen,cough with blood,diarrhoea ,"fever ,  ",,,,,"To diagnose bubonic plague, your doctor will send a sample of your blood or lymph nodes to a lab for testing. According to the Centers for Disease Control and Prevention (CDC), preliminary results may be available in two hours, and official confirmation takes 24 to 48 hours.right up arrow",,,,,,,,,,,antibiotics,"Garamycin (gentamicin), Levaquin (levofloxacin),Cipro (Ciprofloxacin),Vibramycin (doxycycline),Vigamox (moxifloxacin),Chloramphenicol",mg,,,,,,,tablet,,,,,,,,,,as prescribed by doctor,,,,,,yes,,,,,,,"Rodent-proof your home. Get rid of areas where rodents may nest, such as piles of brush and firewood. Avoid leaving food where rodents can access it.
Wear gloves. If you must handle a potentially infected animal, wear gloves to prevent contact between your skin and the bacteria.
Use insect repellent. DEET-containing products can protect you from rodent fleas when you’re hiking, camping, or working outdoors.
Keep pets flea-free. Apply flea-control products to your pets regularly.",,,,,,,,,,,,,,,https://www.rxlist.com/fdb/drugs/6809/garamycin-brand.htm,,
bacterial food poisoning ,abdominal pain ,nausea ,watery ,fever,vomiting,,,,stool test,blood test,,,,,,,,,,"Antibiotics- loperamide, bismuth subsalicylate","Imodium , Pepto bismol",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.rxlist.com/imodium-drug.htm,,
bipolar disorder ,mood swings,delusion,depression,weight gain ,anger,anxiety,,,Psychiatric assessment,mood charting,,,,,,,,,,"Antipsychotics, Antidepressants, Anti-anxiety medications","(Zyprexa), (Risperdal), (Seroquel)",mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.rxlist.com/seroquel-drug.htm,,
dysentery ,pain in abdomen,blood in stools,dehydration,cramping,,,,,stool culture test,,,,,,,,,,,bismuth subsalicylate,"(Imodium), (Lomotil)",mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://www.rxlist.com/lomotil-drug.htm#:~:text=Lomotil%20is%20a%20prescription%20medicine,than%202%20years%20of%20age.",,
Chlamydia,pain in eye/muscles/lower abdomen/testicles/vagina,abnormal vaginal discharge ,vaginal bleeding ,eye discharge,,,,,Urine test,Swab test,,,,,,,,,,Antibiotics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cholera,pain in abdomen ,nausea ,dehydration ,water electrolyte imbalance,,,,,Testing stool sample,Cholera rapid test dipstick,,,,,,,,,,Oral rehydration therapy / Antibiotics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chickenpox ,blisters / red spots,fatigue,loss of appetite ,headache,,,,,Rash Examination,Blood culture,Viral culture,,,,,,,,,Anti-histamines / Analgesic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tetanus,muscle spasms,fever,episodes of no breathing ,lockjaw,cramping,stiff muscles,,,Serum Toxin Test,lumbar puncture,Electromyography,Electroencephalography,,,,,,,,Antibiotics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Typhoid fever,pain in abdomen,diarrhoea,fever,muscle weakness,rashes with red spots,,,,Widal test,urine test,blood test,stool test,,,,,,,,Antibiotics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuberculosis ,pain in chest,cough with blood,fatigue,loss of muscle,shortness of breath,pain with breathing or coughing,,,Blood test,Sputum test,Imaging test,ELISA tuberculin test,,,,,,,,Anti-tuberculosis,Combutol,mg,Ethambutol hydrochloride,800,,,,,Pills,0,0,0,0,1,0,15-25 mg/kg,Yes,,,,,,Yes,,Yes,,10 days with prior appointment,,"Do not chew, break the tablet. Swallow the whole tablet.",,,"Contraindicated with optic neuritis, inflammtion precaution with people with kidney gout problems, not given in children below 13 years",Rare syndrome like peripheral neuritis may occur and do let your doctor knw about this.,,,,decrease in wbc count,,,,,,,,Dr. M. Kawedia,,https://drive.google.com/file/d/1eYW0z4KAHlmtAcJdvFu0AvR_jpRVVP32/view?usp=sharing,,
Tuberculosis ,pain in chest,cough with blood,fatigue,loss of muscle,shortness of breath,pain with breathing or coughing,,,Blood test,Sputum test,Imaging test,ELISA tuberculin test,,,,,,,,anti tuberculosis,Solonex,mg,Isoniazid,300,,,,,Pills,1,0,0,0,0,0,5mg/kg,Yes,,,,,,Yes,,Yes,,10 days with prior appointment,,"Do not chew, break the tablet. Swallow the whole tablet.",,,Medicine to be taken empty stomach caution with pregnant breast feeding diabetes nerve problems,"Lethargy, rashes, fever, acne and arthralgia like side effects may occur. Let your doctor know about it if you face any.","caution with HIV, kidney problems, avoid alcohol consumption, avoid consuming tyramine containing food",,,,,,,,,,,Dr. M. Kawedia,,https://drive.google.com/file/d/1eYW0z4KAHlmtAcJdvFu0AvR_jpRVVP32/view?usp=sharing,,
Tuberculosis ,pain in chest,cough with blood,fatigue,loss of muscle,shortness of breath,pain with breathing or coughing,,,Blood test,Sputum test,Imaging test,ELISA tuberculin test,,,,,,,,anti tuberculosis,R-cin,mg,Rifampicin,600,,,,,Pills,1,0,0,0,0,0,10 mg/kg,Yes,,,,,,Yes,,Yes,,,,"Do not chew, break the tablet. Swallow the whole tablet. Medicine to be taken 30 mins before meal or 2hrs after meal duration and dose according to the prescription and take at one time everyday for maximum effect and do not stop taking medicine until doctor consults",,,"Drug interacts with aprepitant, atazanvir, eszopiclone, Indinavir and can be life threatening","Immediately consult the doctor if any type of adverse effects are observed like cutaneous syndrome, flu syndrome, abdominal syndrome, etc.",,,,,,,,,,,,,,,,
Tuberculosis ,pain in chest,cough with blood,fatigue,loss of muscle,shortness of breath,pain with breathing or coughing,,,Blood test,Sputum test,Imaging test,ELISA tuberculin test,,,,,,,,anti tuberculosis,Pyzina,mg,Pyrazinamide,750,,,,,Pills,0,0,0,1,0,1,15-30 mg/kg,Yes,,,,,,Yes,,Yes,,10 days with prior appointment,,"Do not chew, break the tablet. Swallow the whole tablet.","Taken with or without food. However, follow the prescription prescribed by the doctor.",,"Caution with kidney and liver problems, avoid drinking alcohol or driving and caution with pregnant and breast feeding woman, drug interacts with allopurinol",Repeated blood glucose monitoring required in diabetic patients.,,,,,,,,,,,,Dr. M. Kawedia,,https://drive.google.com/file/d/1eYW0z4KAHlmtAcJdvFu0AvR_jpRVVP32/view?usp=sharing,,
Hypertension ,sweating ,high blood pressure ,irregular heart rhythms,angina pectoris,,,,,Ambulatory monitoring,Electrocardiogram,Echocardiogram,,,,,,,,,Anti-hypertensives,Amlokind-AT,mg,Amlodipine,5,Atenolol,50,,,Pills,1,0,0,0,0,0,"1 tablet everyday with or without food. However, follow the prescription given by the doctor.",Yes,,1 month,,,,Yes,,Yes,,,,Take Amlokind-AT as a whole with a sufficient amount of water with or without food.,Try to take this medicine at the same time every day for better blood pressure control.,,"Avoid consumption of alcohol when under the treatment with Amlokind-AT as it may cause headache, dizziness and changes in heartrate.",Amlokind-At (5/50 mg) Tablet  is not recommended for use in breastfeeding women as it can be passed into breast milk in small amounts which may harm your baby.,"Amlokind-AT shows moderate to severe drug interaction with Alprazolam, Carbamazepine, Itraconazole, Corticosteroids, Rifampicin","Grapefruit, apple and orange juice should be avoided for at least 4 hours of taking this medicine. It can affect the absorption of this medicine.",Let the doctor know if you face any side effects of the drug.,,,,,,,,,Dr. Ulhas S. Bharad,,https://drive.google.com/file/d/1_ihuWKalxtN9dgqHDvlf6NtlMC1El4XS/view?usp=sharing,,
Angina pectoris,pain in chest,heartburn,sweating,anxiety,,,,,Electrocardiogram,Stress test,Coronary CT scan,,,,,,,,,Anti-angina,Amlokind-AT,mg,Amlodipine,5,Atenolol,50,,,Pills,1,0,0,0,0,0,"1 tablet everyday with or without food. However, follow the prescription given by the doctor.",Yes,,,,,,Yes,,Yes,,,,Take Amlokind-AT as a whole with a sufficient amount of water with or without food.,Try to take this medicine at the same time every day for better blood pressure control.,,"Avoid consumption of alcohol when under the treatment with Amlokind-AT as it may cause headache, dizziness and changes in heartrate.",Amlokind-At (5/50 mg) Tablet  is not recommended for use in breastfeeding women as it can be passed into breast milk in small amounts which may harm your baby.,"Amlokind-AT shows moderate to severe drug interaction with Alprazolam, Carbamazepine, Itraconazole, Corticosteroids, Rifampicin","Grapefruit, apple and orange juice should be avoided for at least 4 hours of taking this medicine. It can affect the absorption of this medicine.",Let the doctor know if you face any side effects of the drug.,,,,,,,,,Dr. Ulhas S. Bharad,,https://drive.google.com/file/d/1_ihuWKalxtN9dgqHDvlf6NtlMC1El4XS/view?usp=sharing,,
Non-Bacterial lung infection ,dry cough,occasionally shortness of breath (dyspnea),coughing up of blood (hemoptysis),persistent cough,weight loss,night sweats,,,Chest X-ray ,Blood culture / Sputum culture test,Bronchoscopy ,Direct / Indirect Immunofluorescent antibody tests,,,,,,,,"Antivirals, Antifungals ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nose infection,mucus drip through the throat,pain in the areas of face /sinuses /forehead,distorted sense of smell,mouth breathing,insomnia,inflammation ear,,,Physical examination,Tissue culture test,Endoscopy,,,,,,,,,"Decongestants, Antibiotics, Antihistamines, Steroids, Analgesics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obesity ,pain in the back / joints,feeling of shortness of breath,infection / rashes in the skin folds,,,,,,Waist circumference measure ,CT-Scan/MRI/ECG,Liver function tests,Thyroid profile test,,,,,,,,Antihyperlipid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Occupational injury ,handling heavy loads, aches and pains,Occupational Asthma,Occupational dermatitis,,,,,"Functional testing, CT-Scan, MRI, ",,,,,,,,,,,Analgesics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Open pores ,enlarged pores more prominent on nose,pores may become clogged,blackheads,,,,,,Physical examination,,,,,,,,,,,"Facial steaming, Facial masks, Exfoliation - Retinoids, Alpha hydroxy acids, Salicylic acid ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Palmoplantar psoriasis,palm and soles partially,redness and scaling,social anxiety ,bleeding when scratched or abraded ,,,,,Physical examination and history ,"C-reactive protein test, Uric acid levels, ","Palmoplantar Pustulosis Psoriasis Area Area and Severity Index, Palmoplantar Psoriasis Area Severity Index scale ",Skin biopsy,,,,,,,,"Topical corticosteroids, Emollient moisturizers, Anti-itch creams,  Vitamin-D derivatives ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCOD ,increased androgen levels,Hair loss or excessive thinning of hair,skin darkening in the neck,headache ,,,,,Pelvic examination ,"Lutenising hormone test, Follicle stimulating hormone test,  Serum prolactin test, Free and Total testosterone test ",Ultrasound ,,,,,,,,,"Combinatorial Birth control pills, Progestin therapy",Clofert,mg,clomefene citrate,50 mg,,,,,tablets,,,,,,,,,selected days,5 days of the month,50 mg,,yes,,yes,,,,,,,,Take the tablets exactly as your doctor tells you to.,,,,,,,,,,,,,Dr. Rama Joshi,,https://patient.info/medicine/clomifene-tablets-clomid,,
Pediatric Diarrhoea ,abdominal  cramps,stomach upset,passing little urine,fast often shallow breathing,,,,,Stool examination ,"Blood test, Imaging tests, Allergy testing",Sigmoidoscopy ,,,,,,,,,"Electrolyte solutions, Analgesics ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pediatric Eating Disorder ,unexplained weight loss,lack of weight gain or growth in growing child,restricting food intake,going to bathroom immediately after meals ,,,,,"Complete medical history and physical examination, Diet history",Blood tests ,,,,,,,,,,"Psychotropic drugs, SSRIs",,,Fluvoxamine,50mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pediatric Nausea and Vomiting ,abdominal bloating or swelling,abdominal pain,discomfort or cramps,dizziness,,,,,Physical examination ,Abdominal and CNS imaging studies ,"Blood test, Urine test ",,,,,,,,,Antiemetics,,,Ondensetron,20mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uterine fibroids,Symptoms include heavy menstrual bleeding,prolonged periods and pelvic pain,Pain in the abdomen,.,,,,,Sonography,Hysterosonography,Laparoscopy,,,,,,,,,GnRH agonists,Lupron Depot,mg,Leuprolide acetate,22.5mg,,,,,injection,,,,,,,,,selected days,1 injection every 3 months,45mg,,Gynecologist,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polycystic ovarian syndrome (PCOS) ,Symptoms include menstrual irregularity,overweight,abnormal menstruation,absence of menstruation,,,,,Thyroid function test,Serum hCG level,Free androgen index,Cosyntropin stimulation test.,,,,,,,,GnRH agonists,Gynoveda,mg,Shatavari,15mg,Shilajit,10mg,Kanchnar,16mg,tablets,,,,2,,2,,everyday,,3 months,,,gynecologist,,yes,,,,,take pills with warm water ,,,Take the tablets exactly as your doctor tells you to.	,,,,,,,,,,,,,Dr. Sindhuri Pandit,,https://www.mayoclinic.org/diseases-conditions/pcos/diagnosis-treatment/drc-20353443,,
Vaginitis,Unusual vaginal discharge,Itching ,Painful urination,Pain during sexual intercourse,Pain in the vagina,Irritation,,,Wet mount,Whiff test,Molecule test,,,,,,,,,Nitroimidazoles,Flagyl,mg,metronidazole,250mg,,,,,tablets,,,,1,,,single dose of 2 grams,everyday,,5-10 days,750mg ,,gynecologist,,yes,,,,,,,,Swallow the tablets whole with a drink of water.,Do not crush or chew the tablets.Take these tablets during or just after a meal.,,,,,,,,,,,,,,https://www.mayoclinic.org/diseases-conditions/vaginitis/diagnosis-treatment/drc-20354713,,
Ovarian cysts,Back pain,Pelvic pain,Pain during sexual intercourse,Abnormal or painful menstruation,Cramping,Excessive hairiness,,,Pregnancy test,Pelvic ultrasound,Laparoscopy,CA 125 blood test,,,,,,,,NSAIDs,Aviane,mg,levonorgestrel & ethinyl estradiol,0.10mg/0.02mg,,,,,tablets,,,,,,,,everyday,,,,,gynecologist,,,,,,,,,,,,,,,,,,,,,,,,,https://my.clevelandclinic.org/health/diseases/9133-ovarian-cysts,,
Dysmenorrhea,Cramping in lower abdomen,Lower abdominal pain,Nausea,,,,,,abdominal or transvaginal ultrasonography,hysterosalpingography,hysteroscopy,,,,,,,,,NSAIDs,Tendocel,mg,rose hip extract,500mg,Sodium hyaluronate,30mg,chondroitin sulphate,200mg,tablets,,,,,,,,everyday,,,1-2 tablets,,gynecologist,,,,,,,,,,Place a heating pad or hot water bottle on your lower back or abdomen.,,Avoid foods that contain caffeine,,Avoid smoking and drinking alcohol.,,Massage your lower back and abdomen.,,,,,,,,,https://my.clevelandclinic.org/health/diseases/4148-dysmenorrhea,,
Pre Menstrual Syndrome,Abdominal bloating,Abdominal pain,Breast soreness,,,,,,documentation of signs and symptoms,,,,,,,,,,,Nonsteroidal anti-inflammatory drugs,,mg,Acetaminophen,500,Pyrilamine maleate ,15,,,Tablet,,,,1,1,,1,,Menstrual cycle days,3-5,1 tablet,,No,,No,,,,,Take a dose orally when menstrual pain is severe,,,Get proper nutrition from diet,Light exercise is adviced,"Eat smaller, more-frequent meals to reduce bloating and the sensation of fullness.",,,,,"Choose foods rich in calcium. If you can't tolerate dairy products or aren't getting adequate calcium in your diet, a daily calcium supplement may help.",,,,,,,,https://www.mayoclinic.org/diseases-conditions/premenstrual-syndrome/diagnosis-treatment/drc-20376787,,
Premature Ejaculation,Inability to delay ejaculation,Rapid ejaculation,,,,,,,Blood tests,Testosterone levels,Urology exam,,,,,,,,,Selective Serotonin reuptake inhibitors,Paxil,mg,Paroxetine hydrochloride,10,,,,,Tablet,,,,1,,1,1,Yes,,,1 tablet,,No,,No,,,,,Take 1 tablet before coitus,,,Take the tablet orally 2 hours before coitus to delay ejaculation,,,,,,,,,,,,,,,https://drive.google.com/file/d/1x6teEU9mMhtvVzR38uuX9P2jGr8jTr52/view?usp=sharing,,
Prolonged Menstruation,Bleeding for longer than a week ,Passing blood clots larger than a quarter,Anemia,Hormonal imbalance,,,,,Physical exam,Blood tests,Pap test.,Endometrial biopsy,,,,,,,,NSAIDs,Gynae-pil,mg,Tranexamic acid,500,,,,,Tablet,,,,1,,1,,Yes,,,,,No,,No,,,,,"Swallow orally as whole, do not crush or chew it.",,,Alcohol intake is prohibited,Inform your doctor if you have a history of kidney or liver diseases.,,,,,,,,,,,,,,https://drive.google.com/file/d/1xAMU33lCCNjQVmkzxPdKxJafJNLKlwcM/view?usp=sharing,,
Rhinitis,Nose discharge,Watery discharge,Blocked nose,Sinusitis,,,,,Discharge collection,Covid exam,Nasopharyngeal swab,,,,,,,,,Decongestant,Acolate,mg,Paracetamol,125,Phenylephrine HCl,2.5,Chlorpheniramine Maleate,1,Tablet,0,0,0,0,0,1,1,Yes,,3-5,,,No,,No,,,,,"1 tablet daily, not more than that in 24 hours",,,Swallow the whole or split tablet without crushing or chewing.,This medication may be taken with food if stomach upset occurs. ,,,,,,,,,,,,,,https://drive.google.com/file/d/1x8lA48obyHlpuWooKuDza3glLmjANLjb/view?usp=sharing,,
