name,common_name,sex_filter,category,seriousness
History of thyroidectomy,Removal of thyroid,both,Risk factors,normal
History of tonsillectomy,Tonsils removed in the past,both,Risk factors,normal
History of urinary tract infections,History of urinary tract infections,both,Risk factors,normal
History of vasectomy,Vasectomy,male,Risk factors,normal
Hormonal contraceptive or menopausal hormone therapy,Birth control or menopausal hormone therapy,female,Risk factors,normal
Improper hand hygiene,Poor hand hygiene,both,Risk factors,normal
Improper oral hygiene,Poor oral hygiene,both,Risk factors,normal
Incomplete COVID-19 vaccination,Incomplete COVID-19 vaccination,both,Risk factors,normal
Insect bite,Insect bite,both,Risk factors,normal
Instituting ACE-inhibitor therapy,Starting new ACE-inhibitor therapy,both,Risk factors,normal
Intravenous drug use,Intravenous drug use,both,Risk factors,normal
Knee injury,Knee injury,both,Risk factors,normal
Last tetanus immunization over 5 years ago,Last tetanus shot over 5 years ago,both,Risk factors,normal
Limb injury,Limb injury,both,Risk factors,normal
Lip injury,Lip injury,both,Risk factors,normal
Local upper limb compression,Local upper limb compression,both,Risk factors,normal
Low BMI,Low body weight,both,Risk factors,normal
Lower leg injury,Lower leg injury,both,Risk factors,normal
Lower limb injury,Leg injury,both,Risk factors,normal
Major force injury,Major force injury,both,Risk factors,emergency_ambulance
Male sexual immaturity,Male sexual immaturity,male,Risk factors,normal
Man,Man,both,Risk factors,normal
Nail injury,Nail injury,both,Risk factors,normal
Neck injury,Neck injury,both,Risk factors,normal
New intensive physical activity,New intensive physical activity,both,Risk factors,normal
No skin injury,No skin injury,both,Risk factors,normal
Non-healing wound,Non-healing wound,both,Risk factors,normal
Non-serious eye injury,Non-serious eye injury,both,Risk factors,normal
Nose injury,Nose injury,both,Risk factors,normal
Opioid use,Opioid use,both,Risk factors,normal
Oral antibiotics in the past 2 weeks,Using antibiotics in the past 2 weeks,both,Risk factors,normal
Oral iron therapy,Oral iron therapy,both,Risk factors,normal
Paracetamol overdose,Paracetamol overdose,both,Risk factors,emergency
Pelvis injury,Pelvis injury,both,Risk factors,normal
Physical contact with COVID-19 case,Physical contact with COVID-19 positive person,both,Risk factors,normal
Polytrauma,Multiple injuries,both,Risk factors,emergency_ambulance
Possible contact with COVID-19 case,Possible contact with COVID-19 positive person,both,Risk factors,normal
Postpartum period,Recent childbirth,female,Risk factors,normal
Pregnancy,Pregnancy,female,Risk factors,normal
"Pregnancy, I trimester",First trimester of pregnancy,female,Risk factors,normal
"Pregnancy, II trimester",Second trimester of pregnancy,female,Risk factors,normal
"Pregnancy, III trimester",Third trimester of pregnancy,female,Risk factors,normal
Prior myocardial infarction,Prior heart attack,both,Risk factors,normal
Profuse bleeding recently,Bleeding a lot recently,both,Risk factors,serious
Prolonged exposure to sunlight and heat,Prolonged exposure to sunlight and heat,both,Risk factors,normal
Prolonged lower limb immobilization,Leg immobilization,both,Risk factors,normal
Psychological trauma,Psychological trauma,both,Risk factors,normal
Recent COVID-19 infection,Recent COVID-19 infection,both,Risk factors,normal
Recent beetroot consumption,Recent beet consumption,both,Risk factors,normal
Recent burn,Recent burn,both,Risk factors,normal
Recent excessive alcohol consumption,Recent excessive alcohol consumption,both,Risk factors,normal
Recent head injury,Recent head injury,both,Risk factors,normal
Recent immunization,Recent vaccination,both,Risk factors,normal
Recent physical injury,Recent physical injury,both,Risk factors,normal
Recent surgery,Recent surgery,both,Risk factors,normal
"Recent travel to Asia excluding Middle East, Russia, Mongolia and Kazakhstan","Recent travel to Asia excluding Middle East, Russia, Mongolia and Kazakhstan",both,Risk factors,normal
Recent travel to Australia and Oceania,Recent travel to Australia and Oceania,both,Risk factors,normal
Recent travel to Central Africa,Recent travel to Central Africa,both,Risk factors,normal
Recent travel to Central or South America,Recent travel to Central or South America,both,Risk factors,normal
Recent travel to Europe,Recent travel to Europe,both,Risk factors,normal
Recent travel to Northern Africa,Recent travel to Northern Africa,both,Risk factors,normal
"Recent travel to Russia, Kazakhstan or Mongolia","Recent travel to Russia, Kazakhstan or Mongolia",both,Risk factors,normal
Recent travel to Southern Africa,Recent travel to Southern Africa,both,Risk factors,normal
Recent travel to the Middle East,Recent travel to the Middle East,both,Risk factors,normal
Recent travel to the United States or Canada,Recent travel to the United States or Canada,both,Risk factors,normal
Recent upper respiratory tract infection,Recent upper respiratory tract infection,both,Risk factors,normal
Rheumatic fever,Rheumatic fever,both,Risk factors,normal
Risky sexual behaviour,Risky sexual behaviour,both,Risk factors,normal
Salicylate overdose,Salicylate overdose,both,Risk factors,normal
Sedative or hypnotic withdrawal,Sedative or hypnotic withdrawal,both,Risk factors,normal
Serious eye injury,Serious eye injury,both,Risk factors,serious
Shoulder injury,Shoulder injury,both,Risk factors,normal
Smoking cigarettes,Smoking cigarettes,both,Risk factors,normal
Stimulants use,Stimulants use,both,Risk factors,normal
Taking sleeping pills or sedatives,Taking sleeping pills or sedatives,both,Risk factors,normal
Thigh injury,Thigh injury,both,Risk factors,normal
Time spent at more than 2500 meters or 8200 ft above sea level,Time spent at more than 2500 meters or 8200 ft above sea level,both,Risk factors,normal
Toe injury,Toe injury,both,Risk factors,normal
Trunk injury,Trunk injury,both,Risk factors,normal
Unbalanced vegetarian diet,Unbalanced vegetarian diet,both,Risk factors,normal
Unspecified conditions marker,Unspecified conditions marker,both,Risk factors,normal
Upper limb injury,Upper limb injury,both,Risk factors,normal
Weather sensitivity,Weather change sensitivity,both,Risk factors,normal
Wild mushroom consumption,Wild mushroom consumption,both,Risk factors,normal
Woman,Woman,both,Risk factors,normal
Wrist injury,Wrist injury,both,Risk factors,normal
