name,common_name,disease_specify1,disease_specify2,disease_specify3,sex_filter,category,seriousness
Avoiding actions,"Avoiding actions, places, or people that bring back memories of a traumatic experience", places, or people that bring back memories of a traumatic experience,,both,Signs and symptoms,normal
Avoiding eating in someone else's presence,Avoiding eating in someone else's presence,,,,both,Signs and symptoms,normal
Avoiding eating or drinking in public,Avoiding eating or drinking in public,,,,both,Signs and symptoms,normal
Avoiding public appearances,Avoiding public appearances,,,,both,Signs and symptoms,normal
Avoiding talking to authority figures,Avoiding talking to authority figures,,,,both,Signs and symptoms,normal
Avoiding thoughts,"Avoiding thoughts, feelings, or conversations related to a traumatic experience", feelings, or conversations related to a traumatic experience,,both,Signs and symptoms,normal
Axillary or inguinal freckles,Freckles in the groins or armpits,,,,both,Signs and symptoms,normal
Babinski sign,Babinski sign,,,,both,Signs and symptoms,normal
Back pain,Back pain,,,,both,Signs and symptoms,normal
Back pain,Back pain decreases during rest, improves with rest,,,both,Signs and symptoms,normal
Back pain,Back pain lasting several hours, lasting several hours,,,both,Signs and symptoms,normal
Back pain,Back pain that comes and goes, recurrent,,,both,Signs and symptoms,normal
Back pain,Back pain worsening after physical activity, exacerbated by physical exertion,,,both,Signs and symptoms,normal
Back pain,Back pain worsens by touching or pressing the affected area, worsens on palpation,,,both,Signs and symptoms,normal
Back pain,Lower back pain, lumbar,,,both,Signs and symptoms,normal
Back pain,Lower back pain spreading to the back of the thigh or knee, lumbar, radiates to back of the thigh,,both,Signs and symptoms,normal
Back pain,Lower back pain spreading to the groin, lumbar, radiating to the groin,,both,Signs and symptoms,normal
Back pain,Lower back pain unknown spreading direction, lumbar, unknown radiating direction,,both,Signs and symptoms,normal
Back pain,Middle or upper back pain, thoracic,,,both,Signs and symptoms,normal
Back pain,Nighttime back pain, nocturnal,,,both,Signs and symptoms,normal
Back pain,Severe back pain, severe,,,both,Signs and symptoms,serious
Back pain,Sudden back pain, sudden,,,both,Signs and symptoms,normal
Belching,Burping,,,,both,Signs and symptoms,normal
Bilateral absence of Achilles tendon reflex,Bilateral absence of Achilles tendon reflex,,,,both,Signs and symptoms,normal
Bilateral enophthalmos,Both eyes sunken,,,,both,Signs and symptoms,normal
Bilateral muscle paralysis,Bilateral muscle paralysis,,,,both,Signs and symptoms,emergency
Bing's sign,Bing's sign,,,,both,Signs and symptoms,normal
Binge eating,Binge eating,,,,both,Signs and symptoms,normal
Binge eating,Self-disgust after binge eating, followed by self-disgust,,,both,Signs and symptoms,normal
Bizarre delusion,Bizarre delusion,,,,both,Signs and symptoms,normal
Black coloured stool,Black stool,,,,both,Signs and symptoms,normal
Bladder sphincter dysfunction,Bladder sphincter dysfunction,,,,both,Signs and symptoms,normal
Bleeding after intercourse,Bleeding after intercourse,,,,female,Signs and symptoms,normal
Bleeding from anus,Bleeding from anus,,,,both,Signs and symptoms,normal
Bleeding from anus,Heavy bleeding from anus, heavy,,,both,Signs and symptoms,emergency
Bleeding from anus,Light bleeding from anus, light,,,both,Signs and symptoms,normal
Bleeding gums,Bleeding gums,,,,both,Signs and symptoms,normal
Bleeding into muscles,Bleeding into muscles,,,,both,Signs and symptoms,normal
Blepharoptosis,Drooping eyelids,,,,both,Signs and symptoms,normal
Blepharoptosis,Dropping eyelids for more than 7 days, chronic,,,both,Signs and symptoms,normal
Blepharoptosis,Recent dropping eyelids, acute,,,both,Signs and symptoms,serious
Blisters,Blisters on the skin or in the mouth,,,,both,Signs and symptoms,normal
Blisters,Large blisters more than 0.5 cm, bulla,,,both,Signs and symptoms,normal
Blisters,Small blisters less than 0.5 cm, vesicle,,,both,Signs and symptoms,normal
Bloating,Bloating,,,,both,Signs and symptoms,normal
Blood oxygen saturation,Blood oxygen level between 80 and 89%, between 80% and 89%,,,both,Signs and symptoms,emergency_ambulance
Blood oxygen saturation,Blood oxygen level between 90 and 94%, between 90% and 94%,,,both,Signs and symptoms,emergency
Blood oxygen saturation,Blood oxygen level lower than 80%, lower than 80%,,,both,Signs and symptoms,emergency_ambulance
Blood oxygen saturation,Blood oxygen level not measured, not measured,,,both,Signs and symptoms,normal
Blood oxygen saturation,Normal blood oxygen level, normal,,,both,Signs and symptoms,normal
Blood oxygen saturation,Sudden worsening of blood oxygen saturation, sudden worsening,,,both,Signs and symptoms,emergency
Blood pressure,Blood pressure between 140 and 179 mmHg, between 140 and 179 mmHg,,,both,Signs and symptoms,normal
Blood pressure,Blood pressure not measured, not measured,,,both,Signs and symptoms,normal
Blood pressure,High blood pressure, elevated,,,both,Signs and symptoms,normal
Blood pressure,Normal blood pressure, normal or prehypertension,,,both,Signs and symptoms,normal
Blood pressure,Very high blood pressure, more than 180 mmHg,,,both,Signs and symptoms,serious
Blunted affect,Blunted affect,,,,both,Signs and symptoms,normal
Body aches,Body aches,,,,both,Signs and symptoms,normal
Bone deformation,Bone deformation after a recent injury, post-traumatic,,,both,Signs and symptoms,emergency
Bone deformation,Bone deformation not associated with a recent trauma, non-traumatic,,,both,Signs and symptoms,normal
Bone pain,Bone pain,,,,both,Signs and symptoms,normal
Bone pain,Bone pain lasting less than a week, lasting less than a week,,,both,Signs and symptoms,normal
Bone pain,Bone pain lasting more than 1 week, lasting more than 1 week,,,both,Signs and symptoms,normal
Bowel incontinence,Loss of bowel control,,,,both,Signs and symptoms,normal
Bowel sounds,Decreased bowel sounds, decreased,,,both,Signs and symptoms,normal
Bowel sounds,Excessive bowel sounds, hyperactive, high-pitched,,both,Signs and symptoms,normal
Bradycardia,Slow heart rate,,,,both,Signs and symptoms,normal
Breast asymmetry in size or shape,Asymmetrical breasts,,,,female,Signs and symptoms,normal
Breast pain or tenderness,Pain or tenderness in both breasts, bilateral,,,both,Signs and symptoms,normal
Breast pain or tenderness,Pain or tenderness in only one breast, unilateral,,,female,Signs and symptoms,normal
Broken hair,Broken hair,,,,both,Signs and symptoms,normal
Brown coloured stool,Brown stool,,,,both,Signs and symptoms,normal
Brown nail discolouration,Brown nail discolouration,,,,both,Signs and symptoms,normal
Brudzinski's sign,Brudzinski's sign,,,,both,Signs and symptoms,emergency
Bruise,Bruise,,,,both,Signs and symptoms,normal
Bruising after trauma,Bruise after an injury,,,,both,Signs and symptoms,normal
Bruxism,Teeth grinding,,,,both,Signs and symptoms,normal
Buccofacial or orofacial apraxia,Buccofacial or orofacial apraxia,,,,both,Signs and symptoms,emergency
Bulge protruding through vaginal opening,Vaginal bulge,,,,female,Signs and symptoms,normal
Burning skin,Burning sensation on face, face,,,both,Signs and symptoms,normal
Burning skin,Burning sensation on skin,,,,both,Signs and symptoms,normal
Burning tongue,Burning sensation on tongue,,,,both,Signs and symptoms,normal
Burrows in the skin,Burrows in the skin,,,,both,Signs and symptoms,normal
Buttocks pain,Buttocks pain,,,,both,Signs and symptoms,normal
Café au lait macules,At least 6 light brown marks on skin,,,,both,Signs and symptoms,normal
Calf pain,Pain in calf,,,,both,Signs and symptoms,normal
Calf pain,Pain in calf during exertion and relieved by rest, severe while walking, intermittent claudication,,both,Signs and symptoms,serious
Calf pain,Pain in calf just above the heel, above the heel,,,both,Signs and symptoms,normal
Calf pain,Severe pain in calf while walking, severe while walking,,,both,Signs and symptoms,serious
Cardiac murmurs,Cardiac murmurs,,,,both,Signs and symptoms,serious
Carotid bruit,Cervical artery murmur,,,,both,Signs and symptoms,serious
Ceasing or limiting alcohol consumption,Ceasing or limiting alcohol consumption,,,,both,Signs and symptoms,normal
Ceasing or limiting opioid intake,Limiting or stopping opioid use,,,,both,Signs and symptoms,normal
Cervical dystonia,Cervical dystonia,,,,both,Signs and symptoms,normal
Chaddock's sign,Chaddock's sign,,,,both,Signs and symptoms,normal
Change in colour of a tooth,Change in colour of a tooth,,,,both,Signs and symptoms,normal
Change in colour of a tooth,"Change in colour of a tooth, brown", brown,,,both,Signs and symptoms,normal
Change in colour of a tooth,"Change in colour of a tooth, white", white,,,both,Signs and symptoms,normal
Change in handwriting,Change in handwriting,,,,both,Signs and symptoms,normal
Chemical burn,Chemical burn,,,,both,Signs and symptoms,emergency
Chemosis,Chemosis,,,,both,Signs and symptoms,normal
Chest pain,Burning chest pain, burning,,,both,Signs and symptoms,normal
Chest pain,Chest pain,,,,both,Signs and symptoms,normal
Chest pain,Chest pain behind breastbone, substernal,,,both,Signs and symptoms,normal
Chest pain,Chest pain continuing after rest, continuing during rest,,,both,Signs and symptoms,normal
Chest pain,Chest pain during physical activity, during physical exertion,,,both,Signs and symptoms,normal
Chest pain,Chest pain lasting between 30 minutes and 8 hours, lasting between 30 minutes and 8 hours,,,both,Signs and symptoms,normal
Chest pain,Chest pain lasting less than 30 minutes, lasting less than 30 minutes,,,both,Signs and symptoms,normal
Chest pain,Chest pain lasting more than 8 hours, lasting more than 8 hours,,,both,Signs and symptoms,normal
Chest pain,Chest pain spreading to between the shoulder blades, radiating between shoulder blades,,,both,Signs and symptoms,emergency_ambulance
Chest pain,Chest pain spreading to the neck, radiating to the neck,,,both,Signs and symptoms,emergency_ambulance
Chest pain,Chest pain subsiding during rest, subsides during rest,,,both,Signs and symptoms,normal
Chest pain,Chest pain worsened by stress, exacerbated by stress,,,both,Signs and symptoms,normal
Chest pain,Chest pain worsening during chest wall movement, exacerbated by chest wall movement,,,both,Signs and symptoms,normal
Chest pain,Chest pain worsening on palpation of costochondral joints, worsens on palpation of costochondral joints,,,both,Signs and symptoms,normal
Chest pain,Chest pain worsening when lying down, exacerbating when lying down,,,both,Signs and symptoms,normal
Chest pain,Chest pain worsening when touching or pressing, worsens on palpation,,,both,Signs and symptoms,normal
Chest pain,Chest pain worsening with deep breath or cough, exacerbating with deep breath or cough,,,both,Signs and symptoms,normal
Chest pain,"Chest pain, spreading  to the left upper limb", radiating to left upper limb,,,both,Signs and symptoms,emergency
Chest pain,Pressing chest pain, pressure,,,both,Signs and symptoms,normal
Chest pain,Recurrent chest pain, recurrent,,,both,Signs and symptoms,normal
Chest pain,Severe chest pain, severe,,,both,Signs and symptoms,serious
Chest pain,Stabbing chest pain, stabbing,,,both,Signs and symptoms,normal
Chest pain,Sudden chest pain, sudden,,,both,Signs and symptoms,normal
Chest pain,Widespread chest pain, diffuse,,,both,Signs and symptoms,normal
Cheyne-Stokes respiration,Cheyne-Stokes respiration,,,,both,Signs and symptoms,emergency
Chills,Chills,,,,both,Signs and symptoms,normal
Choking,Choking,,,,both,Signs and symptoms,emergency
Chorea,Chorea,,,,both,Signs and symptoms,normal
Chvostek's sign,Chvostek's sign,,,,both,Signs and symptoms,normal
Clasp-knife spasticity,Clasp-knife spasticity,,,,both,Signs and symptoms,serious
Claudication in upper leg,Acute thigh or buttock pain appearing during exertion and relieving after short rest,,,,both,Signs and symptoms,normal
Clearing the throat,Hawking,,,,both,Signs and symptoms,normal
Clicking or cracking in the jaw when opening or closing the mouth,Clicking or cracking in the jaw when opening or closing the mouth,,,,both,Signs and symptoms,normal
Clogged ear,Clogged ear,,,,both,Signs and symptoms,normal
Close contact with COVID-19 case,Close contact with COVID-19 positive person,,,,both,Signs and symptoms,normal
Close family or friends pointing out excessive drinking,Close family or friends pointing out excessive drinking,,,,both,Signs and symptoms,normal
Clubfoot,Clubfoot,,,,both,Signs and symptoms,normal
Coated tonsils,White spots on tonsils,,,,both,Signs and symptoms,normal
Coating on tongue,White tongue,,,,both,Signs and symptoms,normal
Cognitive disturbances,Cognitive disturbances,,,,both,Signs and symptoms,normal
Cogwheel muscle rigidity,Cogwheel muscle rigidity,,,,both,Signs and symptoms,serious
Cold and clammy skin,Cold and clammy skin,,,,both,Signs and symptoms,normal
Cold feet and toes,Cold feet and toes,,,,both,Signs and symptoms,normal
Cold feet and toes,Cold foot, unilateral,,,both,Signs and symptoms,serious
Cold hands or fingers,Cold hands or fingers,,,,both,Signs and symptoms,normal
Cold sensitivity,Cold sensitivity,,,,both,Signs and symptoms,normal
Colour vision deficiency,Colour blind,,,,both,Signs and symptoms,normal
Coma,Coma,,,,both,Signs and symptoms,emergency
Complete vision loss,Recent complete vision loss, recent,,,both,Signs and symptoms,emergency
Compulsive behaviour,Compulsive behaviour,,,,both,Signs and symptoms,normal
Confabulation,Confabulation,,,,both,Signs and symptoms,normal
Confusion,Confusion after an injury, after trauma,,,both,Signs and symptoms,emergency
Consciousness disturbances,Confusion or disorientation,,,,both,Signs and symptoms,normal
Consciousness disturbances,Disorientation or confusion lasting more than a week, chronic,,,both,Signs and symptoms,normal
Consciousness disturbances,Disorientation or confusion starting recently, acute,,,both,Signs and symptoms,serious
Constant need for sex,Constant need for sex,,,,both,Signs and symptoms,normal
Constipation,Chronic constipation, chronic,,,both,Signs and symptoms,normal
Constipation,Constipation,,,,both,Signs and symptoms,normal
Consumption of expired food or drink,Spoiled food or drink consumption,,,,both,Signs and symptoms,normal
Contentiousness,Causing or likely to cause disagreement,,,,both,Signs and symptoms,normal
Convergent strabismus,Crossed eyes,,,,both,Signs and symptoms,normal
Corn or callus,Corn or callus,,,,both,Signs and symptoms,normal
Corneal reflex weak or absent,Corneal reflex weak or absent,,,,both,Signs and symptoms,normal
Cornell's sign,Cornell's sign,,,,both,Signs and symptoms,normal
Cough,Cough,,,,both,Signs and symptoms,normal
Cough,Cough lasting 3 to 8 weeks, lasting 3 to 8 weeks,,,both,Signs and symptoms,normal
Cough,Cough lasting less than 3 weeks, lasting less than 3 weeks,,,both,Signs and symptoms,normal
Cough,Cough lasting more than 8 weeks, lasting more than 8 weeks,,,both,Signs and symptoms,normal
Cough,Coughing up phlegm, productive,,,both,Signs and symptoms,normal
Cough,Coughing up phlegm in the morning, productive in the morning,,,both,Signs and symptoms,normal
Cough,Coughing up pink phlegm, productive with pink, frothy sputum,,both,Signs and symptoms,emergency
Cough,"Coughing up thick, yellow or green phlegm", productive with yellow or green sputum,,,both,Signs and symptoms,normal
Cough,Dry cough, dry,,,both,Signs and symptoms,normal
Cough,Nighttime cough, nocturnal,,,both,Signs and symptoms,normal
Cough,Severe and sudden coughing attacks, paroxysmal,,,both,Signs and symptoms,normal
Cough,Wet and dry cough appearing alternately, alternating productivity,,,both,Signs and symptoms,normal
Creaking joints during movement,Creaking joints during movement,,,,both,Signs and symptoms,normal
Crenated tongue,Scalloped tongue,,,,both,Signs and symptoms,normal
Crotch pain,Pain in crotch,,,,both,Signs and symptoms,normal
Crotch pain,Pain in head of penis, glans penis,,,male,Signs and symptoms,normal
Crotch pain,Pain in scrotum or testicle, testicular or scrotal,,,male,Signs and symptoms,serious
Crotch pain,Pain in vagina or vulva, vulvovaginal,,,female,Signs and symptoms,normal
Crotch pain,Sudden pain in crotch, sudden,,,both,Signs and symptoms,serious
Current cigarette smoking,Current cigarette smoking,,,,both,Signs and symptoms,normal
Cyanosis,Bluish-grey coloured skin,,,,both,Signs and symptoms,normal
Cyanosis,Greyish-blue fingers, fingers,,,both,Signs and symptoms,normal
Cyanosis under the eyes,Dark circles under eyes,,,,both,Signs and symptoms,normal
Cystoid macular edema,Cystoid macular edema,,,,both,Signs and symptoms,normal
Damage to 2 separate areas of innervation,Damage to 2 separate areas of innervation,,,,both,Signs and symptoms,normal
Dance's sign,Dance's sign,,,,both,Signs and symptoms,emergency
Dandruff,Dandruff,,,,both,Signs and symptoms,normal
Darier's sign,Darier's sign,,,,both,Signs and symptoms,normal
Dark urine,Dark urine,,,,both,Signs and symptoms,normal
Dark-red spots in optic disc vessels,Dark-red spots in optic disc vessels,,,,both,Signs and symptoms,normal
Decreased hearing,Decreased hearing,,,,both,Signs and symptoms,normal
Decreased hearing,Hearing loss with variable intensity and duration, variable intensity and duration,,,both,Signs and symptoms,serious
Decreased hearing,Progressive hearing loss without fluctuation, progressive hearing loss,,,both,Signs and symptoms,normal
Decreased hearing,Sudden hearing loss without obvious cause, sudden hearing loss,,,both,Signs and symptoms,serious
Decreased intensity of breath sounds,Decreased intensity of breath sounds,,,,both,Signs and symptoms,normal
Decreased intensity of breath sounds,"Decreased intensity of breath sounds, right basilar lung zones", right basilar lung zones,,,both,Signs and symptoms,normal
Decreased libido,Loss of interest in sex,,,,both,Signs and symptoms,normal
Decreased motivation,Decreased motivation,,,,both,Signs and symptoms,normal
Decreased need for sleep,Decreased need for sleep,,,,both,Signs and symptoms,normal
Decreased pupillary light reflex,Decreased pupillary light reflex,,,,both,Signs and symptoms,normal
Decreased skin turgor,Decreased skin elasticity,,,,both,Signs and symptoms,serious
Decreased tongue motility,Difficulty moving tongue,,,,both,Signs and symptoms,normal
Decreased visual acuity,Decreased vision,,,,both,Signs and symptoms,normal
Deep filling of treated tooth,Deep filling of treated tooth,,,,both,Signs and symptoms,normal
Deep tendon reflexes,Decreased deep tendon reflexes, decreased,,,both,Signs and symptoms,normal
Deep tendon reflexes,Increased deep tendon reflexes, increased,,,both,Signs and symptoms,normal
Deepening of periodontal pockets,Deepened spaces between the gums and the teeth,,,,both,Signs and symptoms,normal
Deepening of voice,Deepened voice,,,,female,Signs and symptoms,normal
Delusion of guilt or sin,Delusion of guilt or sin,,,,both,Signs and symptoms,normal
Delusion of impoverishment,Delusion of impoverishment,,,,both,Signs and symptoms,serious
Delusions,Delusions,,,,both,Signs and symptoms,normal
Delusions of grandeur,Delusions of grandeur,,,,both,Signs and symptoms,serious
Delusions of influence,Delusions of influence,,,,both,Signs and symptoms,serious
Delusions of persecution,Delusions of persecution,,,,both,Signs and symptoms,serious
Delusions of reference,Delusions of reference,,,,both,Signs and symptoms,normal
Delusions of thought insertion,"Delusions of thought insertion, thought withdrawal, thought broadcasting", thought withdrawal, thought broadcasting,,both,Signs and symptoms,normal
Demarcation of retinal detachment (pigmented or nonpigmented),Demarcation of retinal detachment (pigmented or nonpigmented),,,,both,Signs and symptoms,normal
Dennie-Morgan fold,Dennie-Morgan fold,,,,both,Signs and symptoms,normal
Dental plaque,Fuzzy teeth,,,,both,Signs and symptoms,normal
Depersonalization,Feeling detached from own body,,,,both,Signs and symptoms,normal
Depressed mood,Consistently depressed for more than 2 weeks, more than 2 weeks,,,both,Signs and symptoms,normal
Depressed mood,Depressed mood,,,,both,Signs and symptoms,normal
Derealization,Feeling detached from one's surroundings,,,,both,Signs and symptoms,normal
Dermatological changes,Bumps on genitals resembling a cauliflower, on genitals resembling cauliflower,,,both,Signs and symptoms,normal
Dermatological changes,Changes in the mouth, mouth,,,both,Signs and symptoms,normal
Dermatological changes,Dark skin changes, hyperpigmentation of the skin,,,both,Signs and symptoms,normal
Dermatological changes,"Dermatological changes on the hip, thigh, knee, calf, or ankle", lower extremities excluding feet,,,both,Signs and symptoms,normal
Dermatological changes,"Dermatological changes on the shoulder, arm, forearm, elbow, or wrist", upper extremities excluding hands,,,both,Signs and symptoms,normal
Dermatological changes,Dermatological changes on the tongue, tongue,,,both,Signs and symptoms,normal
Dermatological changes,Enlarging or spreading skin changes, spreading,,,both,Signs and symptoms,normal
Dermatological changes,Painful skin changes, painful,,,both,Signs and symptoms,normal
Dermatological changes,Painless genital ulcer, located in genital area, chancre,,both,Signs and symptoms,normal
Dermatological changes,Scab or crust, scabs,,,both,Signs and symptoms,normal
Dermatological changes,Skin change hot to the touch, hot to the touch,,,both,Signs and symptoms,normal
Dermatological changes,Skin changes,,,,both,Signs and symptoms,normal
Dermatological changes,Skin changes all over the body, entire body,,,both,Signs and symptoms,normal
Dermatological changes,Skin changes appearing or worsening after exposure to sunlight, exacerbated by sunlight exposure,,,both,Signs and symptoms,normal
Dermatological changes,Skin changes forming a line, forming a line,,,both,Signs and symptoms,normal
Dermatological changes,"Skin changes in direct contact with buttons, fasteners, jewelry, or cosmetics", in direct contact with buttons, fasteners, or cosmetics,both,Signs and symptoms,normal
