id,name,common_name,sex_filter,categories,prevalence,acuteness,severity,triage_level,recommended_channel
c_222,Ankle osteoarthritis,Ankle osteoarthritis,both,['Orthopedics'],very_rare,chronic,mild,consultation,personal_visit
c_149,Ankylosing spondylitis,Ankylosing spondylitis,both,['Rheumatology'],very_rare,chronic,moderate,consultation,personal_visit
c_12,Anogenital warts,Genital warts,both,['Venereology'],rare,chronic,mild,consultation,personal_visit
c_7,Anorexia nervosa,Anorexia nervosa,both,['Psychiatry'],very_rare,chronic,moderate,consultation,video_teleconsultation
c_708,Antibiotic associated diarrhea,Antibiotic associated diarrhea,both,['Gastroenterology'],very_rare,acute,mild,consultation,audio_teleconsultation
c_198,Antiphospholipid syndrome,Antiphospholipid syndrome,both,['Rheumatology'],very_rare,chronic_with_exacerbations,severe,consultation_24,personal_visit
c_117,Anxiety disorder,Anxiety disorder,both,['Psychiatry'],moderate,chronic_with_exacerbations,moderate,consultation,video_teleconsultation
c_183,Anxiety disorder with panic attacks,Anxiety disorder with panic attacks,both,['Psychiatry'],rare,chronic_with_exacerbations,severe,consultation_24,video_teleconsultation
c_1248,Aphthous stomatitis,Canker sores,both,['Dentistry'],rare,chronic_with_exacerbations,mild,consultation,personal_visit
c_382,Aplastic anemia,Aplastic anemia,both,['Hematology'],very_rare,acute_potentially_chronic,severe,consultation,personal_visit
c_132,Appendicitis,Appendicitis,both,['Surgery'],rare,acute,severe,emergency,personal_visit
c_1039,Arm contusion,Arm contusion,both,['Traumatology'],very_rare,acute,mild,self_care,video_teleconsultation
c_289,Ascariasis,Ascariasis,both,['Infectiology'],very_rare,acute_potentially_chronic,mild,consultation_24,personal_visit
c_8,Asthma,Asthma,both,['Pulmonology'],rare,chronic_with_exacerbations,moderate,consultation,personal_visit
c_972,Asthma exacerbation,Asthma exacerbation,both,['Pulmonology'],very_rare,acute_potentially_chronic,moderate,consultation_24,personal_visit
c_2,Atopic dermatitis,Eczema,both,['Allergology'],rare,chronic_with_exacerbations,mild,consultation,video_teleconsultation
c_48,Atrial fibrillation,Atrial fibrillation,both,['Cardiology'],very_rare,chronic_with_exacerbations,severe,emergency,personal_visit
c_581,Attention deficit hyperactivity disorder,Attention deficit hyperactivity disorder,both,['Psychiatry'],very_rare,chronic,moderate,consultation,video_teleconsultation
c_1118,Atypical pneumonia,Atypical pneumonia,both,['Pulmonology'],moderate,acute,moderate,consultation_24,personal_visit
c_485,Autoimmune hepatitis,Autoimmune hepatitis,both,['Gastroenterology'],very_rare,chronic_with_exacerbations,severe,consultation_24,personal_visit
c_1050,Back and pelvis contusion,Back and pelvis contusion,both,['Traumatology'],very_rare,acute,mild,self_care,video_teleconsultation
c_1077,Bacterial gastroenteritis,Bacterial gastroenteritis,both,['Gastroenterology'],moderate,acute,moderate,consultation,audio_teleconsultation
c_563,Bacterial meningitis,Bacterial meningitis,both,['Infectiology'],very_rare,acute,severe,emergency_ambulance,personal_visit
c_128,Bacterial vaginitis,Bacterial vaginitis,female,['Gynecology'],rare,acute_potentially_chronic,mild,consultation,personal_visit
c_910,Baker's cyst,Baker's cyst of knee,both,['Orthopedics'],rare,chronic,mild,consultation,personal_visit
c_134,Balanoposthitis,Balanoposthitis,male,['Urology'],rare,acute,moderate,consultation,personal_visit
c_751,Bartholin's abscess,Bartholin's abscess,female,['Gynecology'],rare,acute,moderate,consultation_24,personal_visit
c_110,Bartholin's cyst,Vulvar cyst,female,['Gynecology'],moderate,acute_potentially_chronic,mild,consultation,personal_visit
c_1205,Beeturia,Red urine after eating beets,both,['Other'],very_rare,acute,mild,self_care,personal_visit
c_531,Behçet's disease,Behçet's disease,both,['Rheumatology'],very_rare,chronic_with_exacerbations,mild,consultation,personal_visit
c_871,Benign paroxysmal positional vertigo,Benign paroxysmal positional vertigo,both,['Otorhinolaryngology'],very_rare,chronic,mild,consultation,video_teleconsultation
c_81,Benign prostatic hyperplasia,Benign prostatic hyperplasia,male,['Urology'],very_rare,chronic,mild,consultation,personal_visit
c_273,Bipolar disorder,Bipolar disorder,both,['Psychiatry'],rare,chronic_with_exacerbations,severe,consultation_24,video_teleconsultation
c_612,Biventricular heart failure,Biventricular heart failure,both,['Cardiology'],very_rare,chronic,severe,consultation_24,personal_visit
c_185,Bladder cancer,Bladder cancer,both,['Urology'],very_rare,chronic,severe,consultation,personal_visit
c_769,Blepharitis,Eyelid inflammation,both,['Ophthalmology'],moderate,chronic_with_exacerbations,mild,self_care,video_teleconsultation
c_1095,Blunt abdominal trauma,Blunt stomach trauma,both,['Traumatology'],very_rare,acute,moderate,consultation,personal_visit
c_432,Botulism,Botulism,both,['Infectiology'],very_rare,acute,severe,emergency_ambulance,personal_visit
c_680,Brain abscess,Brain abscess,both,['Infectiology'],very_rare,acute_potentially_chronic,severe,emergency_ambulance,personal_visit
c_333,Brain tumour,Brain tumour,both,['Neurology'],very_rare,chronic,severe,consultation_24,personal_visit
c_1018,Braincase fracture,Broken skull,both,['Traumatology'],very_rare,acute,severe,emergency,personal_visit
c_93,Breast cancer,Breast cancer,female,['Oncology'],rare,chronic,severe,consultation,personal_visit
c_235,Brucellosis,Brucellosis,both,['Infectiology'],very_rare,acute_potentially_chronic,moderate,consultation_24,personal_visit
c_524,Budd-Chiari syndrome,Budd-Chiari syndrome,both,['Gastroenterology'],very_rare,chronic,severe,consultation_24,personal_visit
c_14,Bulimia nervosa,Bulimia,both,['Psychiatry'],very_rare,chronic,moderate,consultation,video_teleconsultation
c_845,Burn,Burn,both,['Traumatology'],very_rare,acute,moderate,self_care,video_teleconsultation
c_712,Bursitis,Bursitis,both,['Orthopedics'],rare,chronic,mild,self_care,personal_visit
c_1105,COVID-19,COVID-19,both,['Infectiology'],very_rare,acute,moderate,self_care,video_teleconsultation
c_161,Carbon monoxide poisoning,Carbon monoxide poisoning,both,['Toxicology'],very_rare,acute,severe,emergency_ambulance,personal_visit
c_415,Carcinoid syndrome,Carcinoid syndrome,both,['Oncology'],very_rare,chronic_with_exacerbations,severe,consultation_24,personal_visit
c_1219,Cardiac syncope,Cardiac fainting,both,['Cardiology'],rare,chronic,moderate,consultation_24,personal_visit
c_649,Cardiac tamponade,Cardiac tamponade,both,['Cardiology'],very_rare,acute,severe,emergency_ambulance,personal_visit
c_677,Cardiogenic shock,Cardiogenic shock,both,['Cardiology'],very_rare,acute,severe,emergency_ambulance,personal_visit
c_381,Carotid artery dissection,Carotid artery dissection,both,['Neurology'],very_rare,acute,severe,emergency_ambulance,personal_visit
c_212,Carpal tunnel syndrome,Carpal tunnel syndrome,both,['Orthopedics'],rare,chronic_with_exacerbations,moderate,consultation,personal_visit
c_242,Cat-scratch disease,Cat-scratch disease,both,['Infectiology'],very_rare,acute,mild,consultation,personal_visit
c_176,Cataract,Cataract,both,['Ophthalmology'],rare,chronic,mild,consultation,personal_visit
c_1126,Cauda equina syndrome,Cauda equina syndrome,both,['Neurology'],very_rare,acute,severe,emergency,personal_visit
c_614,Cavernous sinus thrombosis,Cavernous sinus thrombosis,both,['Neurology'],very_rare,acute_potentially_chronic,severe,emergency,personal_visit
c_15,Celiac disease,Celiac disease,both,['Gastroenterology'],very_rare,chronic_with_exacerbations,moderate,consultation,personal_visit
c_379,Cerebellar stroke,Cerebellar stroke,both,['Neurology'],very_rare,acute_potentially_chronic,severe,emergency_ambulance,personal_visit
c_471,Cerebellopontine angle syndrome,Acoustic neuroma,both,['Neurology'],very_rare,chronic,severe,consultation_24,personal_visit
c_899,Cervical acceleration-deceleration syndrome,Whiplash injury,both,['Traumatology'],very_rare,acute,moderate,consultation_24,personal_visit
c_96,Cervical cancer,Cervical cancer,female,['Gynecology'],very_rare,chronic,severe,consultation,personal_visit
c_1108,Cervical radiculopathy,Cervical neuropathy,both,['Orthopedics'],very_rare,chronic_with_exacerbations,moderate,consultation,personal_visit
c_975,Cervical strain,Neck strain,both,['Orthopedics'],common,acute,moderate,self_care,video_teleconsultation
c_1024,Cervical vertebra fracture,Neck fracture,both,['Traumatology'],very_rare,acute,severe,emergency,personal_visit
c_129,Cervicitis,Acute inflammation of the uterine cervix,female,['Gynecology'],rare,acute_potentially_chronic,mild,consultation,personal_visit
c_171,Chalazion,Chalazion,both,['Ophthalmology'],moderate,chronic,mild,consultation,video_teleconsultation
c_976,"Chest pain, unspecified",Unspecific chest pain,both,['Internal Medicine'],common,acute_potentially_chronic,mild,self_care,personal_visit
c_68,Chickenpox,Chickenpox,both,['Infectiology'],very_rare,acute,mild,consultation_24,personal_visit
c_902,Chikungunya virus infection,Chikungunya virus infection,both,['Infectiology'],very_rare,acute,mild,consultation_24,audio_teleconsultation
c_1101,Chlamydial genitourinary infection,Genital Chlamydia,both,['Venereology'],rare,acute_potentially_chronic,mild,consultation_24,personal_visit
c_215,Cholecystitis,Inflammation of the gallbladder,both,['Surgery'],very_rare,acute,severe,emergency,personal_visit
c_38,Cholecystolithiasis,Gallstones within the gallbladder,both,['Gastroenterology'],very_rare,chronic_with_exacerbations,severe,consultation,personal_visit
c_254,Cholera,Cholera,both,['Infectiology'],very_rare,acute,severe,emergency,personal_visit
c_707,Cholestasis,Cholestasis,both,['Gastroenterology'],rare,chronic,mild,consultation_24,personal_visit
c_1071,Cholestasis of pregnancy,Cholestasis of pregnancy,female,['Gynecology'],very_rare,acute,severe,consultation_24,personal_visit
c_282,Chronic cannabinoid use,Chronic cannabinoid use,both,['Toxicology'],very_rare,chronic,mild,self_care,video_teleconsultation
c_674,Chronic constipation,Chronic constipation,both,['Gastroenterology'],rare,chronic,mild,consultation,audio_teleconsultation
c_668,Chronic fatigue syndrome,Chronic fatigue syndrome,both,['Internal Medicine'],rare,chronic,mild,self_care,audio_teleconsultation
c_1003,Chronic heart failure,Chronic heart failure,both,['Cardiology'],very_rare,chronic,severe,consultation,personal_visit
c_494,Chronic intestinal ischemia,Chronic intestinal ischemia,both,['Gastroenterology'],very_rare,chronic_with_exacerbations,moderate,consultation,personal_visit
c_180,Chronic kidney disease,Chronic kidney disease,both,['Nephrology'],very_rare,chronic,moderate,consultation,personal_visit
c_82,Chronic lymphocytic leukemia,Chronic lymphocytic leukemia,both,['Hematology'],very_rare,chronic,severe,consultation,audio_teleconsultation
c_83,Chronic myelogenous leukemia,Chronic myelogenous leukemia,both,['Hematology'],very_rare,chronic,severe,consultation,audio_teleconsultation
c_76,Chronic obstructive pulmonary disease,Chronic obstructive pulmonary disease,both,['Pulmonology'],very_rare,chronic_with_exacerbations,moderate,consultation,personal_visit
c_973,Chronic obstructive pulmonary disease exacerbation,Chronic obstructive pulmonary disease exacerbation,both,['Pulmonology'],very_rare,acute_potentially_chronic,moderate,consultation_24,personal_visit
c_86,Chronic pancreatitis,Chronic pancreatitis,both,['Gastroenterology'],very_rare,chronic_with_exacerbations,moderate,consultation,personal_visit
c_269,Chronic sinusitis,Chronic sinusitis,both,['Otorhinolaryngology'],moderate,chronic,mild,consultation,personal_visit
c_669,Chronic tonsillitis,Chronic tonsillitis,both,['Otorhinolaryngology'],rare,chronic,moderate,consultation,personal_visit
c_1112,Chronic urticaria,Chronic hives,both,['Dermatology'],rare,chronic,moderate,consultation,personal_visit
c_84,Chronic venous insufficiency,Chronic venous insufficiency,both,['Angiology'],rare,chronic,mild,self_care,personal_visit
c_267,Churg-Strauss syndrome,Churg-Strauss syndrome,both,['Angiology'],very_rare,chronic_with_exacerbations,moderate,consultation,personal_visit
c_503,Cirrhosis of the liver,Cirrhosis of the liver,both,['Gastroenterology'],very_rare,chronic,severe,consultation,personal_visit
c_1051,Clavicle fracture,Broken collarbone,both,['Traumatology'],very_rare,acute,moderate,consultation,personal_visit
c_704,Clostridium difficile-associated disease,Clostridium difficile-associated disease,both,['Gastroenterology'],very_rare,acute_potentially_chronic,mild,consultation_24,personal_visit
c_39,Cluster headaches,Cluster headaches,both,['Neurology'],rare,chronic_with_exacerbations,mild,consultation,audio_teleconsultation
c_837,Cold urticaria,Cold urticaria,both,['Dermatology'],rare,chronic_with_exacerbations,moderate,self_care,video_teleconsultation
c_90,Colon cancer,Colon cancer,both,['Gastroenterology'],very_rare,chronic,severe,consultation,audio_teleconsultation
c_87,Common cold,Common cold,both,['Infectiology'],common,acute,mild,self_care,text_teleconsultation
c_672,Concussion,Concussion,both,['Neurology'],very_rare,acute,moderate,emergency,personal_visit
c_172,Conjunctivitis,Pink eye,both,['Ophthalmology'],common,acute_potentially_chronic,mild,consultation,video_teleconsultation
c_449,Conn's syndrome,Conn's syndrome,both,['Endocrinology'],very_rare,chronic,severe,consultation,personal_visit
c_1246,"Constipation, unspecified",Unspecific constipation,both,['Internal Medicine'],common,acute_potentially_chronic,mild,self_care,text_teleconsultation
c_670,Contact dermatitis,Contact dermatitis,both,['Dermatology'],moderate,chronic_with_exacerbations,mild,consultation,video_teleconsultation
c_174,Corneal abrasion,Corneal abrasion,both,['Ophthalmology'],rare,acute,severe,consultation_24,personal_visit
c_175,Corneal ulceration,Corneal ulceration,both,['Ophthalmology'],rare,acute,severe,consultation_24,personal_visit
c_847,Corns and callosities,Corns and callosities,both,['Dermatology'],common,chronic,mild,self_care,video_teleconsultation
c_545,Corticotropin releasing pituitary adenoma,Corticotropin releasing pituitary adenoma,both,['Endocrinology'],very_rare,chronic,severe,consultation,personal_visit
c_746,Costochondritis,Costochondritis,both,['Orthopedics'],moderate,acute_potentially_chronic,mild,self_care,audio_teleconsultation
c_971,"Cough, unspecified",Unspecific cough,both,['Internal Medicine'],common,acute,mild,self_care,text_teleconsultation
c_17,Crohn's disease,Crohn's disease,both,['Gastroenterology'],very_rare,chronic_with_exacerbations,severe,consultation,personal_visit
c_1208,Crohn's disease exacerbation,Crohn's disease flare-up,both,['Gastroenterology'],very_rare,acute_potentially_chronic,severe,consultation_24,personal_visit
c_811,Cruciate ligament injury,Cruciate ligament injury,both,['Traumatology'],very_rare,acute_potentially_chronic,moderate,consultation_24,personal_visit
c_141,Cushing's syndrome,Cushing's syndrome,both,['Endocrinology'],very_rare,chronic,severe,consultation,personal_visit
c_188,Cystic fibrosis,Cystic fibrosis,both,['Pulmonology'],very_rare,chronic_with_exacerbations,severe,consultation,personal_visit
c_434,Cysticercosis,Cysticercosis,both,['Infectiology'],very_rare,chronic_with_exacerbations,severe,consultation,personal_visit
c_927,De Quervain syndrome,De Quervain syndrome,both,['Orthopedics'],very_rare,chronic,mild,self_care,personal_visit
c_431,De Quervain's thyroiditis,De Quervain's thyroiditis,both,['Endocrinology'],very_rare,acute,moderate,consultation_24,personal_visit
c_303,Death cap poisoning,Mushroom poisoning,both,['Toxicology'],very_rare,acute,severe,emergency,personal_visit
c_891,Decompression sickness,Decompression sickness,both,['Other'],very_rare,acute,severe,emergency_ambulance,personal_visit
c_148,Deep vein thrombosis,Deep vein thrombosis,both,['Angiology'],very_rare,chronic_with_exacerbations,severe,emergency,personal_visit
c_576,Degenerative disc disease of the cervical spine,Degenerative disc disease of the cervical spine,both,['Neurology'],rare,chronic,mild,consultation,personal_visit
c_30,Degenerative disc disease of the lumbar and sacral spine,Degenerative disc disease of the lumbar and sacral spine,both,['Orthopedics'],rare,chronic_with_exacerbations,mild,consultation,personal_visit
c_577,Degenerative disc disease of the thoracic spine,Degenerative disc disease of the thoracic spine,both,['Orthopedics'],very_rare,chronic,mild,consultation,personal_visit
c_298,Dehydration,Dehydration,both,['Internal Medicine'],rare,acute_potentially_chronic,moderate,self_care,audio_teleconsultation
c_1204,Delayed onset muscle soreness,Muscle fever,both,['Other'],moderate,acute,mild,self_care,personal_visit
c_245,Dengue fever,Dengue fever,both,['Infectiology'],very_rare,acute,severe,emergency,personal_visit
c_79,Dental caries,Dental cavities,both,['Dentistry'],common,chronic,mild,consultation,personal_visit
c_146,Dental pulp gangrene,Dental pulp gangrene,both,['Dentistry'],rare,acute,severe,consultation_24,personal_visit
c_963,Dental trauma,Tooth injury,both,['Dentistry'],very_rare,acute,moderate,consultation,personal_visit
c_1213,Dentin hypersensitivity,Tooth sensitivity,both,['Dentistry'],common,chronic,mild,consultation,personal_visit
c_754,Depersonalization-derealization disorder,Depersonalization-derealization disorder,both,['Psychiatry'],very_rare,chronic,severe,consultation,video_teleconsultation
c_315,Dermatomyositis,Dermatomyositis,both,['Dermatology'],very_rare,chronic_with_exacerbations,moderate,consultation,personal_visit
c_407,Diabetes insipidus,Diabetes insipidus,both,['Endocrinology'],very_rare,chronic,moderate,consultation_24,personal_visit
c_404,Diabetes mellitus type 1,Diabetes mellitus type 1,both,['Diabetology'],very_rare,chronic_with_exacerbations,severe,consultation,personal_visit
c_405,Diabetes mellitus type 2,Diabetes mellitus type 2,both,['Diabetology'],rare,chronic_with_exacerbations,severe,consultation,personal_visit
c_1191,Diabetic foot infection,Diabetic foot infection,both,['Angiology'],very_rare,chronic_with_exacerbations,moderate,consultation_24,personal_visit
c_634,Diabetic ketoacidosis,Diabetic ketoacidosis,both,['Diabetology'],very_rare,acute,severe,emergency_ambulance,personal_visit
c_753,Diabetic nephropathy,Diabetic kidney disease,both,['Nephrology'],very_rare,chronic,moderate,consultation,audio_teleconsultation
c_439,Diabetic neuropathy,Diabetic neuropathy,both,['Neurology'],very_rare,chronic,moderate,consultation,personal_visit
c_771,Diabetic retinopathy,Diabetic retinopathy,both,['Ophthalmology'],very_rare,chronic,moderate,consultation,personal_visit
c_965,"Diarrhea, unspecified",Unspecific diarrhea,both,['Gastroenterology'],common,acute,mild,self_care,text_teleconsultation
c_759,Dilated cardiomyopathy,Dilated cardiomyopathy,both,['Cardiology'],very_rare,chronic,severe,consultation_24,personal_visit
c_967,"Disorder of the skin and subcutaneous tissue, unspecified",Unspecific skin disorder,both,['Dermatology'],common,acute_potentially_chronic,mild,self_care,video_teleconsultation
c_190,Disulfiram-like reaction,Disulfiram-like reaction,both,['Toxicology'],very_rare,acute,moderate,emergency,personal_visit
c_186,Diverticulitis,Diverticulitis,both,['Gastroenterology'],very_rare,chronic_with_exacerbations,mild,consultation_24,personal_visit
c_113,Diverticulosis,Diverticulosis,both,['Gastroenterology'],very_rare,chronic,mild,self_care,video_teleconsultation
c_998,Dry eye disease,Dry eye syndrome,both,['Ophthalmology'],moderate,chronic,mild,self_care,audio_teleconsultation
c_688,Ear barotrauma,Ear barotrauma,both,['Otorhinolaryngology'],very_rare,acute,moderate,consultation,personal_visit
c_808,Earwax blockage,Earwax blockage,both,['Otorhinolaryngology'],moderate,acute_potentially_chronic,mild,self_care,personal_visit
c_435,Echinococcosis,Echinococcosis,both,['Infectiology'],very_rare,chronic_with_exacerbations,severe,consultation,personal_visit
c_985,Eclampsia,Eclampsia,female,['Gynecology'],very_rare,acute,severe,emergency_ambulance,personal_visit
c_627,Ectopic pregnancy,Ectopic pregnancy,female,['Gynecology'],very_rare,acute,severe,emergency,personal_visit
