,id,name,common_name,sex_filter,categories,prevalence,acuteness,severity,triage_level,recommended_channel
42,c_1166,Acute viral rhinosinusitis,Acute viral sinusitis,both,['Otorhinolaryngology'],moderate,acute,moderate,self_care,audio_teleconsultation
43,c_121,Acute viral tonsillopharyngitis,Acute viral tonsillopharyngitis,both,['Otorhinolaryngology'],common,acute,mild,self_care,video_teleconsultation
44,c_57,Addison's disease,Addison's disease,both,['Endocrinology'],very_rare,chronic_with_exacerbations,moderate,consultation,personal_visit
45,c_868,Adenomyosis,Adenomyosis,female,['Gynecology'],very_rare,chronic,mild,consultation,personal_visit
46,c_947,Adhesive capsulitis of shoulder,Frozen shoulder,both,['Orthopedics'],very_rare,chronic,mild,consultation,personal_visit
47,c_270,Adjustment disorder,Adjustment disorder,both,['Psychiatry'],very_rare,acute_potentially_chronic,mild,self_care,video_teleconsultation
48,c_784,Adrenal cancer,Adrenal cancer,both,['Oncology'],very_rare,chronic,severe,consultation,personal_visit
49,c_1217,Adverse event following immunization,Post-immunization reaction,both,['Infectiology'],very_rare,acute_potentially_chronic,mild,self_care,personal_visit
50,c_535,African trypanosomiasis,Sleeping sickness,both,['Infectiology'],very_rare,acute,severe,consultation_24,personal_visit
51,c_366,Agoraphobia,Agoraphobia,both,['Psychiatry'],very_rare,chronic,mild,consultation,audio_teleconsultation
52,c_667,Alcohol poisoning,Alcohol poisoning,both,['Toxicology'],very_rare,acute,severe,emergency,personal_visit
53,c_227,Alcohol withdrawal syndrome,Alcohol withdrawal syndrome,both,['Psychiatry'],very_rare,acute,moderate,consultation_24,personal_visit
54,c_622,Alcoholic cerebellar degeneration,Alcoholic cerebellar degeneration,both,['Toxicology'],very_rare,chronic,mild,consultation,personal_visit
55,c_6,Alcoholic liver disease,Alcoholic liver disease,both,['Gastroenterology'],very_rare,chronic,moderate,consultation,personal_visit
56,c_5,Alcoholism,Alcoholism,both,['Psychiatry'],very_rare,chronic,moderate,consultation,video_teleconsultation
57,c_578,Allergic bronchopulmonary aspergillosis,Allergic bronchopulmonary aspergillosis,both,['Pulmonology'],very_rare,acute_potentially_chronic,severe,consultation,personal_visit
58,c_3,Allergic conjunctivitis,Allergic conjunctivitis,both,['Allergology'],moderate,chronic_with_exacerbations,mild,self_care,video_teleconsultation
59,c_4,Allergic rhinitis,Hay fever,both,['Allergology'],moderate,chronic_with_exacerbations,mild,self_care,text_teleconsultation
60,c_802,Alopecia,Baldness,both,['Dermatology'],rare,chronic,mild,consultation,personal_visit
61,c_522,Amebiasis,Amebiasis,both,['Infectiology'],very_rare,acute,moderate,consultation_24,personal_visit
62,c_243,American trypanosomiasis,Chagas disease,both,['Infectiology'],very_rare,acute_potentially_chronic,severe,consultation_24,personal_visit
63,c_874,Ampullary cancer,Ampullary cancer,both,['Oncology'],very_rare,chronic,severe,consultation,personal_visit
64,c_291,Amyloidosis,Amyloidosis,both,['Rheumatology'],very_rare,chronic,moderate,consultation,personal_visit
65,c_396,Amyotrophic lateral sclerosis,Amyotrophic lateral sclerosis,both,['Neurology'],very_rare,chronic,severe,consultation,personal_visit
66,c_276,Anal cancer,Anal cancer,both,['Oncology'],very_rare,chronic,severe,consultation,personal_visit
67,c_275,Anal fissure,Anal fissure,both,['Surgery'],rare,chronic_with_exacerbations,moderate,consultation,personal_visit
68,c_866,Anal fistula,Anal fistula,both,['Surgery'],rare,chronic,severe,consultation_24,personal_visit
69,c_700,Anaphylaxis,Severe allergic reaction,both,['Allergology'],very_rare,acute,severe,emergency_ambulance,personal_visit
70,c_372,Anemia of chronic disease,Anemia of chronic disease,both,['Hematology'],very_rare,chronic,moderate,consultation,audio_teleconsultation
71,c_715,Angioedema,Angioedema,both,['Allergology'],rare,acute,severe,emergency,personal_visit
72,c_1049,Ankle contusion,Ankle contusion,both,['Traumatology'],very_rare,acute,mild,self_care,video_teleconsultation
73,c_1026,Ankle joint dislocation,Dislocated ankle,both,['Traumatology'],very_rare,acute,moderate,consultation,personal_visit
74,c_222,Ankle osteoarthritis,Ankle osteoarthritis,both,['Orthopedics'],very_rare,chronic,mild,consultation,personal_visit
75,c_149,Ankylosing spondylitis,Ankylosing spondylitis,both,['Rheumatology'],very_rare,chronic,moderate,consultation,personal_visit
76,c_12,Anogenital warts,Genital warts,both,['Venereology'],rare,chronic,mild,consultation,personal_visit
77,c_7,Anorexia nervosa,Anorexia nervosa,both,['Psychiatry'],very_rare,chronic,moderate,consultation,video_teleconsultation
78,c_708,Antibiotic associated diarrhea,Antibiotic associated diarrhea,both,['Gastroenterology'],very_rare,acute,mild,consultation,audio_teleconsultation
79,c_198,Antiphospholipid syndrome,Antiphospholipid syndrome,both,['Rheumatology'],very_rare,chronic_with_exacerbations,severe,consultation_24,personal_visit
80,c_117,Anxiety disorder,Anxiety disorder,both,['Psychiatry'],moderate,chronic_with_exacerbations,moderate,consultation,video_teleconsultation
81,c_183,Anxiety disorder with panic attacks,Anxiety disorder with panic attacks,both,['Psychiatry'],rare,chronic_with_exacerbations,severe,consultation_24,video_teleconsultation
82,c_1248,Aphthous stomatitis,Canker sores,both,['Dentistry'],rare,chronic_with_exacerbations,mild,consultation,personal_visit
83,c_382,Aplastic anemia,Aplastic anemia,both,['Hematology'],very_rare,acute_potentially_chronic,severe,consultation,personal_visit
84,c_132,Appendicitis,Appendicitis,both,['Surgery'],rare,acute,severe,emergency,personal_visit
85,c_1039,Arm contusion,Arm contusion,both,['Traumatology'],very_rare,acute,mild,self_care,video_teleconsultation
86,c_289,Ascariasis,Ascariasis,both,['Infectiology'],very_rare,acute_potentially_chronic,mild,consultation_24,personal_visit
87,c_8,Asthma,Asthma,both,['Pulmonology'],rare,chronic_with_exacerbations,moderate,consultation,personal_visit
88,c_972,Asthma exacerbation,Asthma exacerbation,both,['Pulmonology'],very_rare,acute_potentially_chronic,moderate,consultation_24,personal_visit
89,c_2,Atopic dermatitis,Eczema,both,['Allergology'],rare,chronic_with_exacerbations,mild,consultation,video_teleconsultation
90,c_48,Atrial fibrillation,Atrial fibrillation,both,['Cardiology'],very_rare,chronic_with_exacerbations,severe,emergency,personal_visit
91,c_581,Attention deficit hyperactivity disorder,Attention deficit hyperactivity disorder,both,['Psychiatry'],very_rare,chronic,moderate,consultation,video_teleconsultation
92,c_1118,Atypical pneumonia,Atypical pneumonia,both,['Pulmonology'],moderate,acute,moderate,consultation_24,personal_visit
93,c_485,Autoimmune hepatitis,Autoimmune hepatitis,both,['Gastroenterology'],very_rare,chronic_with_exacerbations,severe,consultation_24,personal_visit
94,c_1050,Back and pelvis contusion,Back and pelvis contusion,both,['Traumatology'],very_rare,acute,mild,self_care,video_teleconsultation
95,c_1077,Bacterial gastroenteritis,Bacterial gastroenteritis,both,['Gastroenterology'],moderate,acute,moderate,consultation,audio_teleconsultation
96,c_563,Bacterial meningitis,Bacterial meningitis,both,['Infectiology'],very_rare,acute,severe,emergency_ambulance,personal_visit
97,c_128,Bacterial vaginitis,Bacterial vaginitis,female,['Gynecology'],rare,acute_potentially_chronic,mild,consultation,personal_visit
98,c_910,Baker's cyst,Baker's cyst of knee,both,['Orthopedics'],rare,chronic,mild,consultation,personal_visit
99,c_134,Balanoposthitis,Balanoposthitis,male,['Urology'],rare,acute,moderate,consultation,personal_visit
100,c_751,Bartholin's abscess,Bartholin's abscess,female,['Gynecology'],rare,acute,moderate,consultation_24,personal_visit
101,c_110,Bartholin's cyst,Vulvar cyst,female,['Gynecology'],moderate,acute_potentially_chronic,mild,consultation,personal_visit
102,c_1205,Beeturia,Red urine after eating beets,both,['Other'],very_rare,acute,mild,self_care,personal_visit
103,c_531,Behçet's disease,Behçet's disease,both,['Rheumatology'],very_rare,chronic_with_exacerbations,mild,consultation,personal_visit
104,c_871,Benign paroxysmal positional vertigo,Benign paroxysmal positional vertigo,both,['Otorhinolaryngology'],very_rare,chronic,mild,consultation,video_teleconsultation
105,c_81,Benign prostatic hyperplasia,Benign prostatic hyperplasia,male,['Urology'],very_rare,chronic,mild,consultation,personal_visit
106,c_273,Bipolar disorder,Bipolar disorder,both,['Psychiatry'],rare,chronic_with_exacerbations,severe,consultation_24,video_teleconsultation
107,c_612,Biventricular heart failure,Biventricular heart failure,both,['Cardiology'],very_rare,chronic,severe,consultation_24,personal_visit
108,c_185,Bladder cancer,Bladder cancer,both,['Urology'],very_rare,chronic,severe,consultation,personal_visit
109,c_769,Blepharitis,Eyelid inflammation,both,['Ophthalmology'],moderate,chronic_with_exacerbations,mild,self_care,video_teleconsultation
110,c_1095,Blunt abdominal trauma,Blunt stomach trauma,both,['Traumatology'],very_rare,acute,moderate,consultation,personal_visit
111,c_432,Botulism,Botulism,both,['Infectiology'],very_rare,acute,severe,emergency_ambulance,personal_visit
112,c_680,Brain abscess,Brain abscess,both,['Infectiology'],very_rare,acute_potentially_chronic,severe,emergency_ambulance,personal_visit
113,c_333,Brain tumour,Brain tumour,both,['Neurology'],very_rare,chronic,severe,consultation_24,personal_visit
114,c_1018,Braincase fracture,Broken skull,both,['Traumatology'],very_rare,acute,severe,emergency,personal_visit
115,c_93,Breast cancer,Breast cancer,female,['Oncology'],rare,chronic,severe,consultation,personal_visit
116,c_235,Brucellosis,Brucellosis,both,['Infectiology'],very_rare,acute_potentially_chronic,moderate,consultation_24,personal_visit
117,c_524,Budd-Chiari syndrome,Budd-Chiari syndrome,both,['Gastroenterology'],very_rare,chronic,severe,consultation_24,personal_visit
118,c_14,Bulimia nervosa,Bulimia,both,['Psychiatry'],very_rare,chronic,moderate,consultation,video_teleconsultation
119,c_845,Burn,Burn,both,['Traumatology'],very_rare,acute,moderate,self_care,video_teleconsultation
120,c_712,Bursitis,Bursitis,both,['Orthopedics'],rare,chronic,mild,self_care,personal_visit
121,c_1105,COVID-19,COVID-19,both,['Infectiology'],very_rare,acute,moderate,self_care,video_teleconsultation
122,c_161,Carbon monoxide poisoning,Carbon monoxide poisoning,both,['Toxicology'],very_rare,acute,severe,emergency_ambulance,personal_visit
123,c_415,Carcinoid syndrome,Carcinoid syndrome,both,['Oncology'],very_rare,chronic_with_exacerbations,severe,consultation_24,personal_visit
124,c_1219,Cardiac syncope,Cardiac fainting,both,['Cardiology'],rare,chronic,moderate,consultation_24,personal_visit
125,c_649,Cardiac tamponade,Cardiac tamponade,both,['Cardiology'],very_rare,acute,severe,emergency_ambulance,personal_visit
126,c_677,Cardiogenic shock,Cardiogenic shock,both,['Cardiology'],very_rare,acute,severe,emergency_ambulance,personal_visit
127,c_381,Carotid artery dissection,Carotid artery dissection,both,['Neurology'],very_rare,acute,severe,emergency_ambulance,personal_visit
128,c_212,Carpal tunnel syndrome,Carpal tunnel syndrome,both,['Orthopedics'],rare,chronic_with_exacerbations,moderate,consultation,personal_visit
129,c_242,Cat-scratch disease,Cat-scratch disease,both,['Infectiology'],very_rare,acute,mild,consultation,personal_visit
130,c_176,Cataract,Cataract,both,['Ophthalmology'],rare,chronic,mild,consultation,personal_visit
131,c_1126,Cauda equina syndrome,Cauda equina syndrome,both,['Neurology'],very_rare,acute,severe,emergency,personal_visit
132,c_614,Cavernous sinus thrombosis,Cavernous sinus thrombosis,both,['Neurology'],very_rare,acute_potentially_chronic,severe,emergency,personal_visit
133,c_15,Celiac disease,Celiac disease,both,['Gastroenterology'],very_rare,chronic_with_exacerbations,moderate,consultation,personal_visit
134,c_379,Cerebellar stroke,Cerebellar stroke,both,['Neurology'],very_rare,acute_potentially_chronic,severe,emergency_ambulance,personal_visit
135,c_471,Cerebellopontine angle syndrome,Acoustic neuroma,both,['Neurology'],very_rare,chronic,severe,consultation_24,personal_visit
136,c_899,Cervical acceleration-deceleration syndrome,Whiplash injury,both,['Traumatology'],very_rare,acute,moderate,consultation_24,personal_visit
137,c_96,Cervical cancer,Cervical cancer,female,['Gynecology'],very_rare,chronic,severe,consultation,personal_visit
138,c_1108,Cervical radiculopathy,Cervical neuropathy,both,['Orthopedics'],very_rare,chronic_with_exacerbations,moderate,consultation,personal_visit
139,c_975,Cervical strain,Neck strain,both,['Orthopedics'],common,acute,moderate,self_care,video_teleconsultation
140,c_1024,Cervical vertebra fracture,Neck fracture,both,['Traumatology'],very_rare,acute,severe,emergency,personal_visit
141,c_129,Cervicitis,Acute inflammation of the uterine cervix,female,['Gynecology'],rare,acute_potentially_chronic,mild,consultation,personal_visit
142,c_171,Chalazion,Chalazion,both,['Ophthalmology'],moderate,chronic,mild,consultation,video_teleconsultation
143,c_976,"Chest pain, unspecified",Unspecific chest pain,both,['Internal Medicine'],common,acute_potentially_chronic,mild,self_care,personal_visit
144,c_68,Chickenpox,Chickenpox,both,['Infectiology'],very_rare,acute,mild,consultation_24,personal_visit
145,c_902,Chikungunya virus infection,Chikungunya virus infection,both,['Infectiology'],very_rare,acute,mild,consultation_24,audio_teleconsultation
146,c_1101,Chlamydial genitourinary infection,Genital Chlamydia,both,['Venereology'],rare,acute_potentially_chronic,mild,consultation_24,personal_visit
147,c_215,Cholecystitis,Inflammation of the gallbladder,both,['Surgery'],very_rare,acute,severe,emergency,personal_visit
148,c_38,Cholecystolithiasis,Gallstones within the gallbladder,both,['Gastroenterology'],very_rare,chronic_with_exacerbations,severe,consultation,personal_visit
149,c_254,Cholera,Cholera,both,['Infectiology'],very_rare,acute,severe,emergency,personal_visit
150,c_707,Cholestasis,Cholestasis,both,['Gastroenterology'],rare,chronic,mild,consultation_24,personal_visit
151,c_1071,Cholestasis of pregnancy,Cholestasis of pregnancy,female,['Gynecology'],very_rare,acute,severe,consultation_24,personal_visit
152,c_282,Chronic cannabinoid use,Chronic cannabinoid use,both,['Toxicology'],very_rare,chronic,mild,self_care,video_teleconsultation
153,c_674,Chronic constipation,Chronic constipation,both,['Gastroenterology'],rare,chronic,mild,consultation,audio_teleconsultation
154,c_668,Chronic fatigue syndrome,Chronic fatigue syndrome,both,['Internal Medicine'],rare,chronic,mild,self_care,audio_teleconsultation
155,c_1003,Chronic heart failure,Chronic heart failure,both,['Cardiology'],very_rare,chronic,severe,consultation,personal_visit
156,c_494,Chronic intestinal ischemia,Chronic intestinal ischemia,both,['Gastroenterology'],very_rare,chronic_with_exacerbations,moderate,consultation,personal_visit
157,c_180,Chronic kidney disease,Chronic kidney disease,both,['Nephrology'],very_rare,chronic,moderate,consultation,personal_visit
158,c_82,Chronic lymphocytic leukemia,Chronic lymphocytic leukemia,both,['Hematology'],very_rare,chronic,severe,consultation,audio_teleconsultation
159,c_83,Chronic myelogenous leukemia,Chronic myelogenous leukemia,both,['Hematology'],very_rare,chronic,severe,consultation,audio_teleconsultation
160,c_76,Chronic obstructive pulmonary disease,Chronic obstructive pulmonary disease,both,['Pulmonology'],very_rare,chronic_with_exacerbations,moderate,consultation,personal_visit
161,c_973,Chronic obstructive pulmonary disease exacerbation,Chronic obstructive pulmonary disease exacerbation,both,['Pulmonology'],very_rare,acute_potentially_chronic,moderate,consultation_24,personal_visit
162,c_86,Chronic pancreatitis,Chronic pancreatitis,both,['Gastroenterology'],very_rare,chronic_with_exacerbations,moderate,consultation,personal_visit
163,c_269,Chronic sinusitis,Chronic sinusitis,both,['Otorhinolaryngology'],moderate,chronic,mild,consultation,personal_visit
164,c_669,Chronic tonsillitis,Chronic tonsillitis,both,['Otorhinolaryngology'],rare,chronic,moderate,consultation,personal_visit
165,c_1112,Chronic urticaria,Chronic hives,both,['Dermatology'],rare,chronic,moderate,consultation,personal_visit
166,c_84,Chronic venous insufficiency,Chronic venous insufficiency,both,['Angiology'],rare,chronic,mild,self_care,personal_visit
167,c_267,Churg-Strauss syndrome,Churg-Strauss syndrome,both,['Angiology'],very_rare,chronic_with_exacerbations,moderate,consultation,personal_visit
168,c_503,Cirrhosis of the liver,Cirrhosis of the liver,both,['Gastroenterology'],very_rare,chronic,severe,consultation,personal_visit
169,c_1051,Clavicle fracture,Broken collarbone,both,['Traumatology'],very_rare,acute,moderate,consultation,personal_visit
170,c_704,Clostridium difficile-associated disease,Clostridium difficile-associated disease,both,['Gastroenterology'],very_rare,acute_potentially_chronic,mild,consultation_24,personal_visit
171,c_39,Cluster headaches,Cluster headaches,both,['Neurology'],rare,chronic_with_exacerbations,mild,consultation,audio_teleconsultation
172,c_837,Cold urticaria,Cold urticaria,both,['Dermatology'],rare,chronic_with_exacerbations,moderate,self_care,video_teleconsultation
173,c_90,Colon cancer,Colon cancer,both,['Gastroenterology'],very_rare,chronic,severe,consultation,audio_teleconsultation
174,c_87,Common cold,Common cold,both,['Infectiology'],common,acute,mild,self_care,text_teleconsultation
175,c_672,Concussion,Concussion,both,['Neurology'],very_rare,acute,moderate,emergency,personal_visit
176,c_172,Conjunctivitis,Pink eye,both,['Ophthalmology'],common,acute_potentially_chronic,mild,consultation,video_teleconsultation
177,c_449,Conn's syndrome,Conn's syndrome,both,['Endocrinology'],very_rare,chronic,severe,consultation,personal_visit
178,c_1246,"Constipation, unspecified",Unspecific constipation,both,['Internal Medicine'],common,acute_potentially_chronic,mild,self_care,text_teleconsultation
179,c_670,Contact dermatitis,Contact dermatitis,both,['Dermatology'],moderate,chronic_with_exacerbations,mild,consultation,video_teleconsultation
180,c_174,Corneal abrasion,Corneal abrasion,both,['Ophthalmology'],rare,acute,severe,consultation_24,personal_visit
181,c_175,Corneal ulceration,Corneal ulceration,both,['Ophthalmology'],rare,acute,severe,consultation_24,personal_visit
182,c_847,Corns and callosities,Corns and callosities,both,['Dermatology'],common,chronic,mild,self_care,video_teleconsultation
183,c_545,Corticotropin releasing pituitary adenoma,Corticotropin releasing pituitary adenoma,both,['Endocrinology'],very_rare,chronic,severe,consultation,personal_visit
184,c_746,Costochondritis,Costochondritis,both,['Orthopedics'],moderate,acute_potentially_chronic,mild,self_care,audio_teleconsultation
185,c_971,"Cough, unspecified",Unspecific cough,both,['Internal Medicine'],common,acute,mild,self_care,text_teleconsultation
186,c_17,Crohn's disease,Crohn's disease,both,['Gastroenterology'],very_rare,chronic_with_exacerbations,severe,consultation,personal_visit
187,c_1208,Crohn's disease exacerbation,Crohn's disease flare-up,both,['Gastroenterology'],very_rare,acute_potentially_chronic,severe,consultation_24,personal_visit
188,c_811,Cruciate ligament injury,Cruciate ligament injury,both,['Traumatology'],very_rare,acute_potentially_chronic,moderate,consultation_24,personal_visit
189,c_141,Cushing's syndrome,Cushing's syndrome,both,['Endocrinology'],very_rare,chronic,severe,consultation,personal_visit
190,c_188,Cystic fibrosis,Cystic fibrosis,both,['Pulmonology'],very_rare,chronic_with_exacerbations,severe,consultation,personal_visit
191,c_434,Cysticercosis,Cysticercosis,both,['Infectiology'],very_rare,chronic_with_exacerbations,severe,consultation,personal_visit
192,c_927,De Quervain syndrome,De Quervain syndrome,both,['Orthopedics'],very_rare,chronic,mild,self_care,personal_visit
193,c_431,De Quervain's thyroiditis,De Quervain's thyroiditis,both,['Endocrinology'],very_rare,acute,moderate,consultation_24,personal_visit
194,c_303,Death cap poisoning,Mushroom poisoning,both,['Toxicology'],very_rare,acute,severe,emergency,personal_visit
195,c_891,Decompression sickness,Decompression sickness,both,['Other'],very_rare,acute,severe,emergency_ambulance,personal_visit
196,c_148,Deep vein thrombosis,Deep vein thrombosis,both,['Angiology'],very_rare,chronic_with_exacerbations,severe,emergency,personal_visit
197,c_576,Degenerative disc disease of the cervical spine,Degenerative disc disease of the cervical spine,both,['Neurology'],rare,chronic,mild,consultation,personal_visit
198,c_30,Degenerative disc disease of the lumbar and sacral spine,Degenerative disc disease of the lumbar and sacral spine,both,['Orthopedics'],rare,chronic_with_exacerbations,mild,consultation,personal_visit
199,c_577,Degenerative disc disease of the thoracic spine,Degenerative disc disease of the thoracic spine,both,['Orthopedics'],very_rare,chronic,mild,consultation,personal_visit
200,c_298,Dehydration,Dehydration,both,['Internal Medicine'],rare,acute_potentially_chronic,moderate,self_care,audio_teleconsultation
201,c_1204,Delayed onset muscle soreness,Muscle fever,both,['Other'],moderate,acute,mild,self_care,personal_visit
202,c_245,Dengue fever,Dengue fever,both,['Infectiology'],very_rare,acute,severe,emergency,personal_visit
203,c_79,Dental caries,Dental cavities,both,['Dentistry'],common,chronic,mild,consultation,personal_visit
204,c_146,Dental pulp gangrene,Dental pulp gangrene,both,['Dentistry'],rare,acute,severe,consultation_24,personal_visit
205,c_963,Dental trauma,Tooth injury,both,['Dentistry'],very_rare,acute,moderate,consultation,personal_visit
206,c_1213,Dentin hypersensitivity,Tooth sensitivity,both,['Dentistry'],common,chronic,mild,consultation,personal_visit
207,c_754,Depersonalization-derealization disorder,Depersonalization-derealization disorder,both,['Psychiatry'],very_rare,chronic,severe,consultation,video_teleconsultation
208,c_315,Dermatomyositis,Dermatomyositis,both,['Dermatology'],very_rare,chronic_with_exacerbations,moderate,consultation,personal_visit
209,c_407,Diabetes insipidus,Diabetes insipidus,both,['Endocrinology'],very_rare,chronic,moderate,consultation_24,personal_visit
210,c_404,Diabetes mellitus type 1,Diabetes mellitus type 1,both,['Diabetology'],very_rare,chronic_with_exacerbations,severe,consultation,personal_visit
211,c_405,Diabetes mellitus type 2,Diabetes mellitus type 2,both,['Diabetology'],rare,chronic_with_exacerbations,severe,consultation,personal_visit
212,c_1191,Diabetic foot infection,Diabetic foot infection,both,['Angiology'],very_rare,chronic_with_exacerbations,moderate,consultation_24,personal_visit
213,c_634,Diabetic ketoacidosis,Diabetic ketoacidosis,both,['Diabetology'],very_rare,acute,severe,emergency_ambulance,personal_visit
214,c_753,Diabetic nephropathy,Diabetic kidney disease,both,['Nephrology'],very_rare,chronic,moderate,consultation,audio_teleconsultation
215,c_439,Diabetic neuropathy,Diabetic neuropathy,both,['Neurology'],very_rare,chronic,moderate,consultation,personal_visit
216,c_771,Diabetic retinopathy,Diabetic retinopathy,both,['Ophthalmology'],very_rare,chronic,moderate,consultation,personal_visit
217,c_965,"Diarrhea, unspecified",Unspecific diarrhea,both,['Gastroenterology'],common,acute,mild,self_care,text_teleconsultation
218,c_759,Dilated cardiomyopathy,Dilated cardiomyopathy,both,['Cardiology'],very_rare,chronic,severe,consultation_24,personal_visit
219,c_967,"Disorder of the skin and subcutaneous tissue, unspecified",Unspecific skin disorder,both,['Dermatology'],common,acute_potentially_chronic,mild,self_care,video_teleconsultation
220,c_190,Disulfiram-like reaction,Disulfiram-like reaction,both,['Toxicology'],very_rare,acute,moderate,emergency,personal_visit
