,id,name,common_name,sex_filter,category,seriousness
20,s_1591,"Abdominal pain, left upper quadrant",Upper left side stomach pain,both,Signs and symptoms,normal
21,s_2275,"Abdominal pain, localised",Localised stomach pain,both,Signs and symptoms,normal
22,s_1859,"Abdominal pain, midcycle",Painful ovulation,female,Signs and symptoms,normal
23,s_1851,"Abdominal pain, migrating to the right lower quadrant","Stomach pain, moved to the lower right side",both,Signs and symptoms,emergency
24,s_1782,"Abdominal pain, mild",Mild stomach pain,both,Signs and symptoms,normal
25,s_1783,"Abdominal pain, moderate",Moderate stomach pain,both,Signs and symptoms,normal
26,s_2311,"Abdominal pain, no exacerbation factor",Stomach pain not worsening,both,Signs and symptoms,normal
27,s_1532,"Abdominal pain, periumbilical",Central stomach pain,both,Signs and symptoms,normal
28,s_16,"Abdominal pain, postprandial",Stomach pain after eating,both,Signs and symptoms,normal
29,s_17,"Abdominal pain, premenstrual",Cramps before period,female,Signs and symptoms,normal
30,s_1845,"Abdominal pain, radiating to left shoulder or shoulder blade",Stomach pain spreading to the left shoulder area,both,Signs and symptoms,emergency
31,s_1846,"Abdominal pain, radiating to lower or middle part of the back",Stomach pain spreading to the lower or middle back,both,Signs and symptoms,serious
32,s_471,"Abdominal pain, radiating to right shoulder or shoulder blade",Stomach pain spreading to the right shoulder area,both,Signs and symptoms,emergency
33,s_1847,"Abdominal pain, recurrent",Recurrent stomach pain,both,Signs and symptoms,normal
34,s_57,"Abdominal pain, reduced by defecation or relieving flatulence",Stomach pain improves after bowel movement or passing gas,both,Signs and symptoms,normal
35,s_1531,"Abdominal pain, right lower quadrant",Lower right side stomach pain,both,Signs and symptoms,normal
36,s_1855,"Abdominal pain, right side",Right side stomach pain,both,Signs and symptoms,normal
37,s_1528,"Abdominal pain, right upper quadrant",Upper right side stomach pain,both,Signs and symptoms,normal
38,s_1195,"Abdominal pain, severe",Severe stomach pain,both,Signs and symptoms,normal
39,s_1369,"Abdominal pain, sharp and stabbing",Sharp and stabbing stomach pain,both,Signs and symptoms,normal
40,s_1843,"Abdominal pain, sudden onset",Sudden stomach pain,both,Signs and symptoms,normal
41,s_1929,"Abdominal pain, unbearable",Unbearable stomach pain,both,Signs and symptoms,emergency
42,s_2288,"Abdominal pain, unknown character",Stomach pain of unspecific character,both,Signs and symptoms,normal
43,s_2558,"Abdominal pain, unknown onset",Unknown onset of stomach pain,both,Signs and symptoms,normal
44,s_2281,"Abdominal pain, unspecified location","Abdominal pain, unspecified location",both,Signs and symptoms,normal
45,s_1514,Abdominal tenderness,Pain when pressing the stomach,both,Signs and symptoms,normal
46,s_2463,"Abdominal tenderness, epigastric region",Pain when pressing upper middle part of the stomach,both,Signs and symptoms,normal
47,s_1400,"Abdominal tenderness, hypogastric region",Pain when pressing lower part of the stomach,both,Signs and symptoms,normal
48,s_2252,"Abdominal tenderness, left lower quadrant",Pain when pressing lower left part of the stomach,both,Signs and symptoms,normal
49,s_1589,"Abdominal tenderness, left upper quadrant",Pain when pressing upper left part of the stomach,both,Signs and symptoms,normal
50,s_1856,"Abdominal tenderness, right lower quadrant",Pain when pressing lower right part of the stomach,both,Signs and symptoms,normal
51,s_1392,"Abdominal tenderness, right upper quadrant",Pain when pressing upper right part of the stomach,both,Signs and symptoms,normal
52,s_328,Abnormal vaginal discharge,Abnormal vaginal discharge,female,Signs and symptoms,normal
53,s_2369,Abnormal wound drainage,Abnormal wound drainage,both,Signs and symptoms,normal
54,s_598,Abscess,"Reddened, swollen and painful skin change",both,Signs and symptoms,normal
55,s_1072,Absence of deep reflexes,Absence of deep reflexes,both,Signs and symptoms,normal
56,s_1502,Achilles tendon hyperreflexia,Achilles tendon hyperreflexia,both,Signs and symptoms,normal
57,s_2121,Acid reflux,Acidic taste in mouth,both,Signs and symptoms,normal
58,s_3,Activity related to sex despite negative consequences,Activity related to sex despite negative consequences,both,Signs and symptoms,normal
59,s_1111,Adenoid face,Adenoid face,both,Signs and symptoms,normal
60,s_145,Agitation,Agitation,both,Signs and symptoms,normal
61,s_833,Agnosia,"Inability to recognize objects, people, sounds, shapes, or smells",both,Signs and symptoms,serious
62,s_884,Agoraphobia,"Fear of places and situations that might cause panic, helplessness or embarrassment",both,Signs and symptoms,normal
63,s_1012,Agraphia,Loss of writing ability,both,Signs and symptoms,normal
64,s_817,Alcohol craving,Constant urge to drink alcohol,both,Signs and symptoms,normal
65,s_588,Alcohol tolerance,Need of higher alcohol quantities to get drunk,both,Signs and symptoms,normal
66,s_818,Alcohol withdrawal syndrome,Symptoms following  a reduction in alcohol use,both,Signs and symptoms,normal
67,s_1272,Allen-Cleckley sign,Allen-Cleckley sign,both,Signs and symptoms,normal
68,s_837,Alogia,Poverty of speech,both,Signs and symptoms,normal
69,s_1458,"Amenorrhea, primary",Absence of first menstrual period at age 16,female,Signs and symptoms,normal
70,s_1457,"Amenorrhea, secondary",Absence of menstrual period for more than 3 months,female,Signs and symptoms,normal
71,s_1370,"Amenorrhea, secondary, 12 months or more",Absence of menstrual period for 1 year or more,female,Signs and symptoms,normal
72,s_1032,Amusia,Inability to produce or recognize musical sounds,both,Signs and symptoms,normal
73,s_608,Angular cheilitis,Cracked corners of lips,both,Signs and symptoms,normal
74,s_508,Anhedonia,Inability to enjoy life,both,Signs and symptoms,normal
75,s_1123,Anhidrosis,Lack of sweating,both,Signs and symptoms,normal
76,s_669,"Anhidrosis, face, unilateral",Lack of sweating on one side of the face,both,Signs and symptoms,normal
77,s_2170,Anicteric presentation,Anicteric presentation,both,Signs and symptoms,normal
78,s_497,Anisocoria,Asymmetric pupils,both,Signs and symptoms,emergency
79,s_1647,Annular skin lesions,Ring-shaped skin changes,both,Signs and symptoms,normal
80,s_436,Anorectal pain,Anorectal pain,both,Signs and symptoms,normal
81,s_120,Anxiety,Anxiety,both,Signs and symptoms,normal
82,s_582,Anxiety attack,Anxiety attack,both,Signs and symptoms,normal
83,s_4,Apathy,"Lack of interest, enthusiasm, or concern",both,Signs and symptoms,normal
84,s_477,Aphonia,Loss of voice,both,Signs and symptoms,serious
85,s_6,Appetite for salty foods,Appetite for salty foods,both,Signs and symptoms,normal
86,s_1010,Apraxia,Apraxia,both,Signs and symptoms,emergency
87,s_1116,Ascites,Ascites,both,Signs and symptoms,serious
88,s_651,Ataxia,Problems with coordinating movement,both,Signs and symptoms,normal
89,s_2278,"Ataxia, acute",Recent coordination problems,both,Signs and symptoms,emergency_ambulance
90,s_2280,"Ataxia, chronic",Coordination problems for more than 1 year,both,Signs and symptoms,normal
91,s_2279,"Ataxia, subacute","Coordination problems since several days, weeks, or months ago",both,Signs and symptoms,serious
92,s_474,Audible wheezing,Whistling sound made while breathing,both,Signs and symptoms,serious
93,s_1028,Auditory verbal agnosia,Auditory verbal agnosia,both,Signs and symptoms,emergency
94,s_857,Auscultative fine crackles over the thorax,Auscultative fine crackles over the thorax,both,Signs and symptoms,normal
95,s_1316,Auscultative rhonchi over the thorax,Auscultative rhonchi over the thorax,both,Signs and symptoms,normal
96,s_856,Auscultative wheezes over the thorax,Auscultative wheezes over the thorax,both,Signs and symptoms,normal
97,s_710,"Avoiding actions, places, or people that bring back memories of a traumatic experience","Avoiding actions, places, or people that bring back memories of a traumatic experience",both,Signs and symptoms,normal
98,s_719,Avoiding eating in someone else's presence,Avoiding eating in someone else's presence,both,Signs and symptoms,normal
99,s_718,Avoiding eating or drinking in public,Avoiding eating or drinking in public,both,Signs and symptoms,normal
100,s_717,Avoiding public appearances,Avoiding public appearances,both,Signs and symptoms,normal
101,s_720,Avoiding talking to authority figures,Avoiding talking to authority figures,both,Signs and symptoms,normal
102,s_709,"Avoiding thoughts, feelings, or conversations related to a traumatic experience","Avoiding thoughts, feelings, or conversations related to a traumatic experience",both,Signs and symptoms,normal
103,s_1322,Axillary or inguinal freckles,Freckles in the groins or armpits,both,Signs and symptoms,normal
104,s_1023,Babinski sign,Babinski sign,both,Signs and symptoms,normal
105,s_1190,Back pain,Back pain,both,Signs and symptoms,normal
106,s_159,"Back pain, exacerbated by physical exertion",Back pain worsening after physical activity,both,Signs and symptoms,normal
107,s_1206,"Back pain, improves with rest",Back pain decreases during rest,both,Signs and symptoms,normal
108,s_1205,"Back pain, lasting several hours",Back pain lasting several hours,both,Signs and symptoms,normal
109,s_53,"Back pain, lumbar",Lower back pain,both,Signs and symptoms,normal
110,s_38,"Back pain, lumbar, radiates to back of the thigh",Lower back pain spreading to the back of the thigh or knee,both,Signs and symptoms,normal
111,s_663,"Back pain, lumbar, radiating to the groin",Lower back pain spreading to the groin,both,Signs and symptoms,normal
112,s_2314,"Back pain, lumbar, unknown radiating direction",Lower back pain unknown spreading direction,both,Signs and symptoms,normal
113,s_2284,"Back pain, nocturnal",Nighttime back pain,both,Signs and symptoms,normal
114,s_1189,"Back pain, recurrent",Back pain that comes and goes,both,Signs and symptoms,normal
115,s_1192,"Back pain, severe",Severe back pain,both,Signs and symptoms,serious
116,s_1198,"Back pain, sudden",Sudden back pain,both,Signs and symptoms,normal
117,s_1772,"Back pain, thoracic",Middle or upper back pain,both,Signs and symptoms,normal
118,s_2085,"Back pain, worsens on palpation",Back pain worsens by touching or pressing the affected area,both,Signs and symptoms,normal
119,s_561,Belching,Burping,both,Signs and symptoms,normal
120,s_1073,Bilateral absence of Achilles tendon reflex,Bilateral absence of Achilles tendon reflex,both,Signs and symptoms,normal
121,s_698,Bilateral enophthalmos,Both eyes sunken,both,Signs and symptoms,normal
122,s_1291,Bilateral muscle paralysis,Bilateral muscle paralysis,both,Signs and symptoms,emergency
123,s_1257,Bing's sign,Bing's sign,both,Signs and symptoms,normal
124,s_137,Binge eating,Binge eating,both,Signs and symptoms,normal
125,s_568,"Binge eating, followed by self-disgust",Self-disgust after binge eating,both,Signs and symptoms,normal
126,s_769,Bizarre delusion,Bizarre delusion,both,Signs and symptoms,normal
127,s_71,Black coloured stool,Black stool,both,Signs and symptoms,normal
128,s_1119,Bladder sphincter dysfunction,Bladder sphincter dysfunction,both,Signs and symptoms,normal
129,s_152,Bleeding after intercourse,Bleeding after intercourse,female,Signs and symptoms,normal
130,s_115,Bleeding from anus,Bleeding from anus,both,Signs and symptoms,normal
131,s_2277,"Bleeding from anus, heavy",Heavy bleeding from anus,both,Signs and symptoms,emergency
132,s_2276,"Bleeding from anus, light",Light bleeding from anus,both,Signs and symptoms,normal
133,s_111,Bleeding gums,Bleeding gums,both,Signs and symptoms,normal
134,s_1386,Bleeding into muscles,Bleeding into muscles,both,Signs and symptoms,normal
135,s_192,Blepharoptosis,Drooping eyelids,both,Signs and symptoms,normal
136,s_2508,"Blepharoptosis, acute",Recent dropping eyelids,both,Signs and symptoms,serious
137,s_2511,"Blepharoptosis, chronic",Dropping eyelids for more than 7 days,both,Signs and symptoms,normal
138,s_1807,Blisters,Blisters on the skin or in the mouth,both,Signs and symptoms,normal
139,s_1803,"Blisters, bulla",Large blisters more than 0.5 cm,both,Signs and symptoms,normal
140,s_1804,"Blisters, vesicle",Small blisters less than 0.5 cm,both,Signs and symptoms,normal
141,s_309,Bloating,Bloating,both,Signs and symptoms,normal
142,s_2388,"Blood oxygen saturation, between 80% and 89%",Blood oxygen level between 80 and 89%,both,Signs and symptoms,emergency_ambulance
143,s_2387,"Blood oxygen saturation, between 90% and 94%",Blood oxygen level between 90 and 94%,both,Signs and symptoms,emergency
144,s_2389,"Blood oxygen saturation, lower than 80%",Blood oxygen level lower than 80%,both,Signs and symptoms,emergency_ambulance
145,s_2376,"Blood oxygen saturation, normal",Normal blood oxygen level,both,Signs and symptoms,normal
146,s_2375,"Blood oxygen saturation, not measured",Blood oxygen level not measured,both,Signs and symptoms,normal
147,s_2390,"Blood oxygen saturation, sudden worsening",Sudden worsening of blood oxygen saturation,both,Signs and symptoms,emergency
148,s_2408,"Blood pressure, between 140 and 179 mmHg",Blood pressure between 140 and 179 mmHg,both,Signs and symptoms,normal
149,s_543,"Blood pressure, elevated",High blood pressure,both,Signs and symptoms,normal
150,s_1933,"Blood pressure, more than 180 mmHg",Very high blood pressure,both,Signs and symptoms,serious
151,s_2272,"Blood pressure, normal or prehypertension",Normal blood pressure,both,Signs and symptoms,normal
152,s_2273,"Blood pressure, not measured",Blood pressure not measured,both,Signs and symptoms,normal
153,s_771,Blunted affect,Blunted affect,both,Signs and symptoms,normal
154,s_1835,Body aches,Body aches,both,Signs and symptoms,normal
155,s_2180,"Bone deformation, non-traumatic",Bone deformation not associated with a recent trauma,both,Signs and symptoms,normal
156,s_2181,"Bone deformation, post-traumatic",Bone deformation after a recent injury,both,Signs and symptoms,emergency
157,s_612,Bone pain,Bone pain,both,Signs and symptoms,normal
158,s_2070,"Bone pain, lasting less than a week",Bone pain lasting less than a week,both,Signs and symptoms,normal
159,s_2071,"Bone pain, lasting more than 1 week",Bone pain lasting more than 1 week,both,Signs and symptoms,normal
160,s_641,Bowel incontinence,Loss of bowel control,both,Signs and symptoms,normal
161,s_1553,"Bowel sounds, decreased",Decreased bowel sounds,both,Signs and symptoms,normal
162,s_1552,"Bowel sounds, hyperactive, high-pitched",Excessive bowel sounds,both,Signs and symptoms,normal
163,s_534,Bradycardia,Slow heart rate,both,Signs and symptoms,normal
164,s_2234,Breast asymmetry in size or shape,Asymmetrical breasts,female,Signs and symptoms,normal
165,s_1480,"Breast pain or tenderness, bilateral",Pain or tenderness in both breasts,both,Signs and symptoms,normal
166,s_609,"Breast pain or tenderness, unilateral",Pain or tenderness in only one breast,female,Signs and symptoms,normal
167,s_1671,Broken hair,Broken hair,both,Signs and symptoms,normal
168,s_2521,Brown coloured stool,Brown stool,both,Signs and symptoms,normal
169,s_1310,Brown nail discolouration,Brown nail discolouration,both,Signs and symptoms,normal
170,s_1690,Brudzinski's sign,Brudzinski's sign,both,Signs and symptoms,emergency
171,s_2341,Bruise,Bruise,both,Signs and symptoms,normal
172,s_1960,Bruising after trauma,Bruise after an injury,both,Signs and symptoms,normal
173,s_2283,Bruxism,Teeth grinding,both,Signs and symptoms,normal
174,s_1013,Buccofacial or orofacial apraxia,Buccofacial or orofacial apraxia,both,Signs and symptoms,emergency
175,s_1717,Bulge protruding through vaginal opening,Vaginal bulge,female,Signs and symptoms,normal
176,s_1165,Burning skin,Burning sensation on skin,both,Signs and symptoms,normal
177,s_1684,"Burning skin, face",Burning sensation on face,both,Signs and symptoms,normal
178,s_200,Burning tongue,Burning sensation on tongue,both,Signs and symptoms,normal
179,s_1795,Burrows in the skin,Burrows in the skin,both,Signs and symptoms,normal
180,s_1918,Buttocks pain,Buttocks pain,both,Signs and symptoms,normal
181,s_1330,Café au lait macules,At least 6 light brown marks on skin,both,Signs and symptoms,normal
182,s_1620,Calf pain,Pain in calf,both,Signs and symptoms,normal
183,s_1878,"Calf pain, above the heel",Pain in calf just above the heel,both,Signs and symptoms,normal
184,s_232,"Calf pain, severe while walking",Severe pain in calf while walking,both,Signs and symptoms,serious
185,s_732,"Calf pain, severe while walking, intermittent claudication",Pain in calf during exertion and relieved by rest,both,Signs and symptoms,serious
186,s_1720,Cardiac murmurs,Cardiac murmurs,both,Signs and symptoms,serious
187,s_1576,Carotid bruit,Cervical artery murmur,both,Signs and symptoms,serious
188,s_589,Ceasing or limiting alcohol consumption,Ceasing or limiting alcohol consumption,both,Signs and symptoms,normal
189,s_2469,Ceasing or limiting opioid intake,Limiting or stopping opioid use,both,Signs and symptoms,normal
190,s_996,Cervical dystonia,Cervical dystonia,both,Signs and symptoms,normal
191,s_1258,Chaddock's sign,Chaddock's sign,both,Signs and symptoms,normal
192,s_346,Change in colour of a tooth,Change in colour of a tooth,both,Signs and symptoms,normal
193,s_2396,"Change in colour of a tooth, brown","Change in colour of a tooth, brown",both,Signs and symptoms,normal
194,s_2393,"Change in colour of a tooth, white","Change in colour of a tooth, white",both,Signs and symptoms,normal
195,s_345,Change in handwriting,Change in handwriting,both,Signs and symptoms,normal
196,s_2214,Chemical burn,Chemical burn,both,Signs and symptoms,emergency
197,s_1091,Chemosis,Chemosis,both,Signs and symptoms,normal
198,s_50,Chest pain,Chest pain,both,Signs and symptoms,normal
199,s_2096,"Chest pain, burning",Burning chest pain,both,Signs and symptoms,normal
200,s_31,"Chest pain, continuing during rest",Chest pain continuing after rest,both,Signs and symptoms,normal
201,s_51,"Chest pain, diffuse",Widespread chest pain,both,Signs and symptoms,normal
202,s_35,"Chest pain, during physical exertion",Chest pain during physical activity,both,Signs and symptoms,normal
203,s_2051,"Chest pain, exacerbated by chest wall movement",Chest pain worsening during chest wall movement,both,Signs and symptoms,normal
204,s_1763,"Chest pain, exacerbated by stress",Chest pain worsened by stress,both,Signs and symptoms,normal
205,s_2006,"Chest pain, exacerbating when lying down",Chest pain worsening when lying down,both,Signs and symptoms,normal
206,s_30,"Chest pain, exacerbating with deep breath or cough",Chest pain worsening with deep breath or cough,both,Signs and symptoms,normal
207,s_2019,"Chest pain, lasting between 30 minutes and 8 hours",Chest pain lasting between 30 minutes and 8 hours,both,Signs and symptoms,normal
208,s_2018,"Chest pain, lasting less than 30 minutes",Chest pain lasting less than 30 minutes,both,Signs and symptoms,normal
209,s_2022,"Chest pain, lasting more than 8 hours",Chest pain lasting more than 8 hours,both,Signs and symptoms,normal
210,s_1925,"Chest pain, pressure",Pressing chest pain,both,Signs and symptoms,normal
211,s_37,"Chest pain, radiating between shoulder blades",Chest pain spreading to between the shoulder blades,both,Signs and symptoms,emergency_ambulance
212,s_2074,"Chest pain, radiating to left upper limb","Chest pain, spreading  to the left upper limb",both,Signs and symptoms,emergency
213,s_36,"Chest pain, radiating to the neck",Chest pain spreading to the neck,both,Signs and symptoms,emergency_ambulance
214,s_1952,"Chest pain, recurrent",Recurrent chest pain,both,Signs and symptoms,normal
215,s_1197,"Chest pain, severe",Severe chest pain,both,Signs and symptoms,serious
216,s_1601,"Chest pain, stabbing",Stabbing chest pain,both,Signs and symptoms,normal
217,s_48,"Chest pain, subsides during rest",Chest pain subsiding during rest,both,Signs and symptoms,normal
218,s_1509,"Chest pain, substernal",Chest pain behind breastbone,both,Signs and symptoms,normal
219,s_1200,"Chest pain, sudden",Sudden chest pain,both,Signs and symptoms,normal
220,s_1178,"Chest pain, worsens on palpation",Chest pain worsening when touching or pressing,both,Signs and symptoms,normal
221,s_1580,"Chest pain, worsens on palpation of costochondral joints",Chest pain worsening on palpation of costochondral joints,both,Signs and symptoms,normal
222,s_1546,Cheyne-Stokes respiration,Cheyne-Stokes respiration,both,Signs and symptoms,emergency
223,s_81,Chills,Chills,both,Signs and symptoms,normal
224,s_2296,Choking,Choking,both,Signs and symptoms,emergency
225,s_1456,Chorea,Chorea,both,Signs and symptoms,normal
226,s_867,Chvostek's sign,Chvostek's sign,both,Signs and symptoms,normal
227,s_1281,Clasp-knife spasticity,Clasp-knife spasticity,both,Signs and symptoms,serious
228,s_734,Claudication in upper leg,Acute thigh or buttock pain appearing during exertion and relieving after short rest,both,Signs and symptoms,normal
229,s_1094,Clearing the throat,Hawking,both,Signs and symptoms,normal
230,s_429,Clicking or cracking in the jaw when opening or closing the mouth,Clicking or cracking in the jaw when opening or closing the mouth,both,Signs and symptoms,normal
231,s_276,Clogged ear,Clogged ear,both,Signs and symptoms,normal
232,s_2256,Close contact with COVID-19 case,Close contact with COVID-19 positive person,both,Signs and symptoms,normal
233,s_288,Close family or friends pointing out excessive drinking,Close family or friends pointing out excessive drinking,both,Signs and symptoms,normal
234,s_869,Clubfoot,Clubfoot,both,Signs and symptoms,normal
235,s_610,Coated tonsils,White spots on tonsils,both,Signs and symptoms,normal
236,s_1184,Coating on tongue,White tongue,both,Signs and symptoms,normal
237,s_2108,Cognitive disturbances,Cognitive disturbances,both,Signs and symptoms,normal
238,s_1283,Cogwheel muscle rigidity,Cogwheel muscle rigidity,both,Signs and symptoms,serious
239,s_1926,Cold and clammy skin,Cold and clammy skin,both,Signs and symptoms,normal
240,s_408,Cold feet and toes,Cold feet and toes,both,Signs and symptoms,normal
241,s_2196,"Cold feet and toes, unilateral",Cold foot,both,Signs and symptoms,serious
242,s_556,Cold hands or fingers,Cold hands or fingers,both,Signs and symptoms,normal
243,s_118,Cold sensitivity,Cold sensitivity,both,Signs and symptoms,normal
244,s_1328,Colour vision deficiency,Colour blind,both,Signs and symptoms,normal
245,s_2109,Coma,Coma,both,Signs and symptoms,emergency
246,s_1934,"Complete vision loss, recent",Recent complete vision loss,both,Signs and symptoms,emergency
247,s_303,Compulsive behaviour,Compulsive behaviour,both,Signs and symptoms,normal
248,s_831,Confabulation,Confabulation,both,Signs and symptoms,normal
249,s_1345,"Confusion, after trauma",Confusion after an injury,both,Signs and symptoms,emergency
250,s_2034,Consciousness disturbances,Confusion or disorientation,both,Signs and symptoms,normal
251,s_2072,"Consciousness disturbances, acute",Disorientation or confusion starting recently,both,Signs and symptoms,serious
252,s_2073,"Consciousness disturbances, chronic",Disorientation or confusion lasting more than a week,both,Signs and symptoms,normal
253,s_181,Constant need for sex,Constant need for sex,both,Signs and symptoms,normal
254,s_329,Constipation,Constipation,both,Signs and symptoms,normal
255,s_2162,"Constipation, chronic",Chronic constipation,both,Signs and symptoms,normal
256,s_2164,Consumption of expired food or drink,Spoiled food or drink consumption,both,Signs and symptoms,normal
257,s_635,Contentiousness,Causing or likely to cause disagreement,both,Signs and symptoms,normal
258,s_1228,Convergent strabismus,Crossed eyes,both,Signs and symptoms,normal
259,s_1676,Corn or callus,Corn or callus,both,Signs and symptoms,normal
260,s_1268,Corneal reflex weak or absent,Corneal reflex weak or absent,both,Signs and symptoms,normal
261,s_1273,Cornell's sign,Cornell's sign,both,Signs and symptoms,normal
262,s_102,Cough,Cough,both,Signs and symptoms,normal
263,s_2268,"Cough, alternating productivity",Wet and dry cough appearing alternately,both,Signs and symptoms,normal
264,s_105,"Cough, dry",Dry cough,both,Signs and symptoms,normal
265,s_1858,"Cough, lasting 3 to 8 weeks",Cough lasting 3 to 8 weeks,both,Signs and symptoms,normal
266,s_103,"Cough, lasting less than 3 weeks",Cough lasting less than 3 weeks,both,Signs and symptoms,normal
267,s_106,"Cough, lasting more than 8 weeks",Cough lasting more than 8 weeks,both,Signs and symptoms,normal
268,s_1985,"Cough, nocturnal",Nighttime cough,both,Signs and symptoms,normal
269,s_1924,"Cough, paroxysmal",Severe and sudden coughing attacks,both,Signs and symptoms,normal
270,s_104,"Cough, productive",Coughing up phlegm,both,Signs and symptoms,normal
271,s_662,"Cough, productive in the morning",Coughing up phlegm in the morning,both,Signs and symptoms,normal
272,s_670,"Cough, productive with pink, frothy sputum",Coughing up pink phlegm,both,Signs and symptoms,emergency
273,s_526,"Cough, productive with yellow or green sputum","Coughing up thick, yellow or green phlegm",both,Signs and symptoms,normal
274,s_270,Creaking joints during movement,Creaking joints during movement,both,Signs and symptoms,normal
275,s_2495,Crenated tongue,Scalloped tongue,both,Signs and symptoms,normal
276,s_28,Crotch pain,Pain in crotch,both,Signs and symptoms,normal
277,s_60,"Crotch pain, glans penis",Pain in head of penis,male,Signs and symptoms,normal
278,s_34,"Crotch pain, sudden",Sudden pain in crotch,both,Signs and symptoms,serious
279,s_52,"Crotch pain, testicular or scrotal",Pain in scrotum or testicle,male,Signs and symptoms,serious
280,s_1829,"Crotch pain, vulvovaginal",Pain in vagina or vulva,female,Signs and symptoms,normal
281,s_195,Current cigarette smoking,Current cigarette smoking,both,Signs and symptoms,normal
282,s_437,Cyanosis,Bluish-grey coloured skin,both,Signs and symptoms,normal
283,s_1105,Cyanosis under the eyes,Dark circles under eyes,both,Signs and symptoms,normal
284,s_553,"Cyanosis, fingers",Greyish-blue fingers,both,Signs and symptoms,normal
285,s_1413,Cystoid macular edema,Cystoid macular edema,both,Signs and symptoms,normal
286,s_1338,Damage to 2 separate areas of innervation,Damage to 2 separate areas of innervation,both,Signs and symptoms,normal
287,s_1555,Dance's sign,Dance's sign,both,Signs and symptoms,emergency
288,s_1616,Dandruff,Dandruff,both,Signs and symptoms,normal
289,s_1171,Darier's sign,Darier's sign,both,Signs and symptoms,normal
290,s_611,Dark urine,Dark urine,both,Signs and symptoms,normal
291,s_1417,Dark-red spots in optic disc vessels,Dark-red spots in optic disc vessels,both,Signs and symptoms,normal
292,s_208,Decreased hearing,Decreased hearing,both,Signs and symptoms,normal
293,s_1484,"Decreased hearing, progressive hearing loss",Progressive hearing loss without fluctuation,both,Signs and symptoms,normal
294,s_1538,"Decreased hearing, sudden hearing loss",Sudden hearing loss without obvious cause,both,Signs and symptoms,serious
295,s_935,"Decreased hearing, variable intensity and duration",Hearing loss with variable intensity and duration,both,Signs and symptoms,serious
296,s_1693,Decreased intensity of breath sounds,Decreased intensity of breath sounds,both,Signs and symptoms,normal
297,s_1395,"Decreased intensity of breath sounds, right basilar lung zones","Decreased intensity of breath sounds, right basilar lung zones",both,Signs and symptoms,normal
298,s_236,Decreased libido,Loss of interest in sex,both,Signs and symptoms,normal
299,s_661,Decreased motivation,Decreased motivation,both,Signs and symptoms,normal
300,s_634,Decreased need for sleep,Decreased need for sleep,both,Signs and symptoms,normal
301,s_535,Decreased pupillary light reflex,Decreased pupillary light reflex,both,Signs and symptoms,normal
302,s_697,Decreased skin turgor,Decreased skin elasticity,both,Signs and symptoms,serious
303,s_1277,Decreased tongue motility,Difficulty moving tongue,both,Signs and symptoms,normal
304,s_967,Decreased visual acuity,Decreased vision,both,Signs and symptoms,normal
305,s_97,Deep filling of treated tooth,Deep filling of treated tooth,both,Signs and symptoms,normal
306,s_652,"Deep tendon reflexes, decreased",Decreased deep tendon reflexes,both,Signs and symptoms,normal
307,s_878,"Deep tendon reflexes, increased",Increased deep tendon reflexes,both,Signs and symptoms,normal
308,s_108,Deepening of periodontal pockets,Deepened spaces between the gums and the teeth,both,Signs and symptoms,normal
