id,name,common_name,sex_filter,category,seriousness
s_1803,"Blisters, bulla",Large blisters more than 0.5 cm,both,Signs and symptoms,normal
s_1804,"Blisters, vesicle",Small blisters less than 0.5 cm,both,Signs and symptoms,normal
s_309,Bloating,Bloating,both,Signs and symptoms,normal
s_2388,"Blood oxygen saturation, between 80% and 89%",Blood oxygen level between 80 and 89%,both,Signs and symptoms,emergency_ambulance
s_2387,"Blood oxygen saturation, between 90% and 94%",Blood oxygen level between 90 and 94%,both,Signs and symptoms,emergency
s_2389,"Blood oxygen saturation, lower than 80%",Blood oxygen level lower than 80%,both,Signs and symptoms,emergency_ambulance
s_2376,"Blood oxygen saturation, normal",Normal blood oxygen level,both,Signs and symptoms,normal
s_2375,"Blood oxygen saturation, not measured",Blood oxygen level not measured,both,Signs and symptoms,normal
s_2390,"Blood oxygen saturation, sudden worsening",Sudden worsening of blood oxygen saturation,both,Signs and symptoms,emergency
s_2408,"Blood pressure, between 140 and 179 mmHg",Blood pressure between 140 and 179 mmHg,both,Signs and symptoms,normal
s_543,"Blood pressure, elevated",High blood pressure,both,Signs and symptoms,normal
s_1933,"Blood pressure, more than 180 mmHg",Very high blood pressure,both,Signs and symptoms,serious
s_2272,"Blood pressure, normal or prehypertension",Normal blood pressure,both,Signs and symptoms,normal
s_2273,"Blood pressure, not measured",Blood pressure not measured,both,Signs and symptoms,normal
s_771,Blunted affect,Blunted affect,both,Signs and symptoms,normal
s_1835,Body aches,Body aches,both,Signs and symptoms,normal
s_2180,"Bone deformation, non-traumatic",Bone deformation not associated with a recent trauma,both,Signs and symptoms,normal
s_2181,"Bone deformation, post-traumatic",Bone deformation after a recent injury,both,Signs and symptoms,emergency
s_612,Bone pain,Bone pain,both,Signs and symptoms,normal
s_2070,"Bone pain, lasting less than a week",Bone pain lasting less than a week,both,Signs and symptoms,normal
s_2071,"Bone pain, lasting more than 1 week",Bone pain lasting more than 1 week,both,Signs and symptoms,normal
s_641,Bowel incontinence,Loss of bowel control,both,Signs and symptoms,normal
s_1553,"Bowel sounds, decreased",Decreased bowel sounds,both,Signs and symptoms,normal
s_1552,"Bowel sounds, hyperactive, high-pitched",Excessive bowel sounds,both,Signs and symptoms,normal
s_534,Bradycardia,Slow heart rate,both,Signs and symptoms,normal
s_2234,Breast asymmetry in size or shape,Asymmetrical breasts,female,Signs and symptoms,normal
s_1480,"Breast pain or tenderness, bilateral",Pain or tenderness in both breasts,both,Signs and symptoms,normal
s_609,"Breast pain or tenderness, unilateral",Pain or tenderness in only one breast,female,Signs and symptoms,normal
s_1671,Broken hair,Broken hair,both,Signs and symptoms,normal
s_2521,Brown coloured stool,Brown stool,both,Signs and symptoms,normal
s_1310,Brown nail discolouration,Brown nail discolouration,both,Signs and symptoms,normal
s_1690,Brudzinski's sign,Brudzinski's sign,both,Signs and symptoms,emergency
s_2341,Bruise,Bruise,both,Signs and symptoms,normal
s_1960,Bruising after trauma,Bruise after an injury,both,Signs and symptoms,normal
s_2283,Bruxism,Teeth grinding,both,Signs and symptoms,normal
s_1013,Buccofacial or orofacial apraxia,Buccofacial or orofacial apraxia,both,Signs and symptoms,emergency
s_1717,Bulge protruding through vaginal opening,Vaginal bulge,female,Signs and symptoms,normal
s_1165,Burning skin,Burning sensation on skin,both,Signs and symptoms,normal
s_1684,"Burning skin, face",Burning sensation on face,both,Signs and symptoms,normal
s_200,Burning tongue,Burning sensation on tongue,both,Signs and symptoms,normal
s_1795,Burrows in the skin,Burrows in the skin,both,Signs and symptoms,normal
s_1918,Buttocks pain,Buttocks pain,both,Signs and symptoms,normal
s_1330,Café au lait macules,At least 6 light brown marks on skin,both,Signs and symptoms,normal
s_1620,Calf pain,Pain in calf,both,Signs and symptoms,normal
s_1878,"Calf pain, above the heel",Pain in calf just above the heel,both,Signs and symptoms,normal
s_232,"Calf pain, severe while walking",Severe pain in calf while walking,both,Signs and symptoms,serious
s_732,"Calf pain, severe while walking, intermittent claudication",Pain in calf during exertion and relieved by rest,both,Signs and symptoms,serious
s_1720,Cardiac murmurs,Cardiac murmurs,both,Signs and symptoms,serious
s_1576,Carotid bruit,Cervical artery murmur,both,Signs and symptoms,serious
s_589,Ceasing or limiting alcohol consumption,Ceasing or limiting alcohol consumption,both,Signs and symptoms,normal
s_2469,Ceasing or limiting opioid intake,Limiting or stopping opioid use,both,Signs and symptoms,normal
s_996,Cervical dystonia,Cervical dystonia,both,Signs and symptoms,normal
s_1258,Chaddock's sign,Chaddock's sign,both,Signs and symptoms,normal
s_346,Change in colour of a tooth,Change in colour of a tooth,both,Signs and symptoms,normal
s_2396,"Change in colour of a tooth, brown","Change in colour of a tooth, brown",both,Signs and symptoms,normal
s_2393,"Change in colour of a tooth, white","Change in colour of a tooth, white",both,Signs and symptoms,normal
s_345,Change in handwriting,Change in handwriting,both,Signs and symptoms,normal
s_2214,Chemical burn,Chemical burn,both,Signs and symptoms,emergency
s_1091,Chemosis,Chemosis,both,Signs and symptoms,normal
s_50,Chest pain,Chest pain,both,Signs and symptoms,normal
s_2096,"Chest pain, burning",Burning chest pain,both,Signs and symptoms,normal
s_31,"Chest pain, continuing during rest",Chest pain continuing after rest,both,Signs and symptoms,normal
s_51,"Chest pain, diffuse",Widespread chest pain,both,Signs and symptoms,normal
s_35,"Chest pain, during physical exertion",Chest pain during physical activity,both,Signs and symptoms,normal
s_2051,"Chest pain, exacerbated by chest wall movement",Chest pain worsening during chest wall movement,both,Signs and symptoms,normal
s_1763,"Chest pain, exacerbated by stress",Chest pain worsened by stress,both,Signs and symptoms,normal
s_2006,"Chest pain, exacerbating when lying down",Chest pain worsening when lying down,both,Signs and symptoms,normal
s_30,"Chest pain, exacerbating with deep breath or cough",Chest pain worsening with deep breath or cough,both,Signs and symptoms,normal
s_2019,"Chest pain, lasting between 30 minutes and 8 hours",Chest pain lasting between 30 minutes and 8 hours,both,Signs and symptoms,normal
s_2018,"Chest pain, lasting less than 30 minutes",Chest pain lasting less than 30 minutes,both,Signs and symptoms,normal
s_2022,"Chest pain, lasting more than 8 hours",Chest pain lasting more than 8 hours,both,Signs and symptoms,normal
s_1925,"Chest pain, pressure",Pressing chest pain,both,Signs and symptoms,serious
s_37,"Chest pain, radiating between shoulder blades",Chest pain spreading to between the shoulder blades,both,Signs and symptoms,emergency_ambulance
s_2074,"Chest pain, radiating to left upper limb","Chest pain, spreading  to the left upper limb",both,Signs and symptoms,emergency
s_36,"Chest pain, radiating to the neck",Chest pain spreading to the neck,both,Signs and symptoms,emergency_ambulance
s_1952,"Chest pain, recurrent",Recurrent chest pain,both,Signs and symptoms,normal
s_1197,"Chest pain, severe",Severe chest pain,both,Signs and symptoms,serious
s_1601,"Chest pain, stabbing",Stabbing chest pain,both,Signs and symptoms,normal
s_48,"Chest pain, subsides during rest",Chest pain subsiding during rest,both,Signs and symptoms,normal
s_1509,"Chest pain, substernal",Chest pain behind breastbone,both,Signs and symptoms,serious
s_1200,"Chest pain, sudden",Sudden chest pain,both,Signs and symptoms,normal
s_1178,"Chest pain, worsens on palpation",Chest pain worsening when touching or pressing,both,Signs and symptoms,normal
s_1580,"Chest pain, worsens on palpation of costochondral joints",Chest pain worsening on palpation of costochondral joints,both,Signs and symptoms,normal
s_1546,Cheyne-Stokes respiration,Cheyne-Stokes respiration,both,Signs and symptoms,emergency
s_81,Chills,Chills,both,Signs and symptoms,normal
s_2296,Choking,Choking,both,Signs and symptoms,emergency
s_1456,Chorea,Chorea,both,Signs and symptoms,normal
s_867,Chvostek's sign,Chvostek's sign,both,Signs and symptoms,normal
s_1281,Clasp-knife spasticity,Clasp-knife spasticity,both,Signs and symptoms,serious
s_734,Claudication in upper leg,Acute thigh or buttock pain appearing during exertion and relieving after short rest,both,Signs and symptoms,normal
s_1094,Clearing the throat,Hawking,both,Signs and symptoms,normal
s_429,Clicking or cracking in the jaw when opening or closing the mouth,Clicking or cracking in the jaw when opening or closing the mouth,both,Signs and symptoms,normal
s_276,Clogged ear,Clogged ear,both,Signs and symptoms,normal
s_2256,Close contact with COVID-19 case,Close contact with COVID-19 positive person,both,Signs and symptoms,normal
s_288,Close family or friends pointing out excessive drinking,Close family or friends pointing out excessive drinking,both,Signs and symptoms,normal
s_869,Clubfoot,Clubfoot,both,Signs and symptoms,normal
s_610,Coated tonsils,White spots on tonsils,both,Signs and symptoms,normal
s_1184,Coating on tongue,White tongue,both,Signs and symptoms,normal
s_2108,Cognitive disturbances,Cognitive disturbances,both,Signs and symptoms,normal
s_1283,Cogwheel muscle rigidity,Cogwheel muscle rigidity,both,Signs and symptoms,serious
s_1926,Cold and clammy skin,Cold and clammy skin,both,Signs and symptoms,normal
s_408,Cold feet and toes,Cold feet and toes,both,Signs and symptoms,normal
s_2196,"Cold feet and toes, unilateral",Cold foot,both,Signs and symptoms,serious
s_556,Cold hands or fingers,Cold hands or fingers,both,Signs and symptoms,normal
s_118,Cold sensitivity,Cold sensitivity,both,Signs and symptoms,normal
s_1328,Colour vision deficiency,Colour blind,both,Signs and symptoms,normal
s_2109,Coma,Coma,both,Signs and symptoms,emergency
s_1934,"Complete vision loss, recent",Recent complete vision loss,both,Signs and symptoms,emergency
s_303,Compulsive behaviour,Compulsive behaviour,both,Signs and symptoms,normal
s_831,Confabulation,Confabulation,both,Signs and symptoms,normal
s_1345,"Confusion, after trauma",Confusion after an injury,both,Signs and symptoms,emergency
s_2034,Consciousness disturbances,Confusion or disorientation,both,Signs and symptoms,normal
s_2072,"Consciousness disturbances, acute",Disorientation or confusion starting recently,both,Signs and symptoms,serious
s_2073,"Consciousness disturbances, chronic",Disorientation or confusion lasting more than a week,both,Signs and symptoms,normal
s_181,Constant need for sex,Constant need for sex,both,Signs and symptoms,normal
s_329,Constipation,Constipation,both,Signs and symptoms,normal
s_2162,"Constipation, chronic",Chronic constipation,both,Signs and symptoms,normal
s_2164,Consumption of expired food or drink,Spoiled food or drink consumption,both,Signs and symptoms,normal
s_635,Contentiousness,Causing or likely to cause disagreement,both,Signs and symptoms,normal
s_1228,Convergent strabismus,Crossed eyes,both,Signs and symptoms,normal
s_1676,Corn or callus,Corn or callus,both,Signs and symptoms,normal
s_1268,Corneal reflex weak or absent,Corneal reflex weak or absent,both,Signs and symptoms,normal
s_1273,Cornell's sign,Cornell's sign,both,Signs and symptoms,normal
s_102,Cough,Cough,both,Signs and symptoms,normal
s_2268,"Cough, alternating productivity",Wet and dry cough appearing alternately,both,Signs and symptoms,normal
s_105,"Cough, dry",Dry cough,both,Signs and symptoms,normal
s_1858,"Cough, lasting 3 to 8 weeks",Cough lasting 3 to 8 weeks,both,Signs and symptoms,normal
s_103,"Cough, lasting less than 3 weeks",Cough lasting less than 3 weeks,both,Signs and symptoms,normal
s_106,"Cough, lasting more than 8 weeks",Cough lasting more than 8 weeks,both,Signs and symptoms,normal
s_1985,"Cough, nocturnal",Nighttime cough,both,Signs and symptoms,normal
s_1924,"Cough, paroxysmal",Severe and sudden coughing attacks,both,Signs and symptoms,normal
s_104,"Cough, productive",Coughing up phlegm,both,Signs and symptoms,normal
s_662,"Cough, productive in the morning",Coughing up phlegm in the morning,both,Signs and symptoms,normal
s_670,"Cough, productive with pink, frothy sputum",Coughing up pink phlegm,both,Signs and symptoms,emergency
s_526,"Cough, productive with yellow or green sputum","Coughing up thick, yellow or green phlegm",both,Signs and symptoms,normal
s_270,Creaking joints during movement,Creaking joints during movement,both,Signs and symptoms,normal
s_2495,Crenated tongue,Scalloped tongue,both,Signs and symptoms,normal
s_28,Crotch pain,Pain in crotch,both,Signs and symptoms,normal
s_60,"Crotch pain, glans penis",Pain in head of penis,male,Signs and symptoms,normal
s_34,"Crotch pain, sudden",Sudden pain in crotch,both,Signs and symptoms,serious
s_52,"Crotch pain, testicular or scrotal",Pain in scrotum or testicle,male,Signs and symptoms,serious
s_1829,"Crotch pain, vulvovaginal",Pain in vagina or vulva,female,Signs and symptoms,normal
s_195,Current cigarette smoking,Current cigarette smoking,both,Signs and symptoms,normal
s_437,Cyanosis,Bluish-grey coloured skin,both,Signs and symptoms,normal
s_1105,Cyanosis under the eyes,Dark circles under eyes,both,Signs and symptoms,normal
s_553,"Cyanosis, fingers",Greyish-blue fingers,both,Signs and symptoms,normal
s_1413,Cystoid macular edema,Cystoid macular edema,both,Signs and symptoms,normal
s_1338,Damage to 2 separate areas of innervation,Damage to 2 separate areas of innervation,both,Signs and symptoms,normal
s_1555,Dance's sign,Dance's sign,both,Signs and symptoms,emergency
s_1616,Dandruff,Dandruff,both,Signs and symptoms,normal
s_1171,Darier's sign,Darier's sign,both,Signs and symptoms,normal
s_611,Dark urine,Dark urine,both,Signs and symptoms,normal
s_1417,Dark-red spots in optic disc vessels,Dark-red spots in optic disc vessels,both,Signs and symptoms,normal
s_208,Decreased hearing,Decreased hearing,both,Signs and symptoms,normal
s_1484,"Decreased hearing, progressive hearing loss",Progressive hearing loss without fluctuation,both,Signs and symptoms,normal
s_1538,"Decreased hearing, sudden hearing loss",Sudden hearing loss without obvious cause,both,Signs and symptoms,serious
s_935,"Decreased hearing, variable intensity and duration",Hearing loss with variable intensity and duration,both,Signs and symptoms,serious
s_1693,Decreased intensity of breath sounds,Decreased intensity of breath sounds,both,Signs and symptoms,normal
s_1395,"Decreased intensity of breath sounds, right basilar lung zones","Decreased intensity of breath sounds, right basilar lung zones",both,Signs and symptoms,normal
s_236,Decreased libido,Loss of interest in sex,both,Signs and symptoms,normal
s_661,Decreased motivation,Decreased motivation,both,Signs and symptoms,normal
s_634,Decreased need for sleep,Decreased need for sleep,both,Signs and symptoms,normal
s_535,Decreased pupillary light reflex,Decreased pupillary light reflex,both,Signs and symptoms,normal
s_697,Decreased skin turgor,Decreased skin elasticity,both,Signs and symptoms,serious
s_1277,Decreased tongue motility,Difficulty moving tongue,both,Signs and symptoms,normal
s_967,Decreased visual acuity,Decreased vision,both,Signs and symptoms,normal
s_97,Deep filling of treated tooth,Deep filling of treated tooth,both,Signs and symptoms,normal
s_652,"Deep tendon reflexes, decreased",Decreased deep tendon reflexes,both,Signs and symptoms,normal
s_878,"Deep tendon reflexes, increased",Increased deep tendon reflexes,both,Signs and symptoms,normal
s_108,Deepening of periodontal pockets,Deepened spaces between the gums and the teeth,both,Signs and symptoms,normal
s_422,Deepening of voice,Deepened voice,female,Signs and symptoms,normal
s_768,Delusion of guilt or sin,Delusion of guilt or sin,both,Signs and symptoms,normal
s_774,Delusion of impoverishment,Delusion of impoverishment,both,Signs and symptoms,serious
s_2098,Delusions,Delusions,both,Signs and symptoms,normal
s_677,Delusions of grandeur,Delusions of grandeur,both,Signs and symptoms,serious
s_680,Delusions of influence,Delusions of influence,both,Signs and symptoms,serious
s_675,Delusions of persecution,Delusions of persecution,both,Signs and symptoms,serious
s_676,Delusions of reference,Delusions of reference,both,Signs and symptoms,normal
s_839,"Delusions of thought insertion, thought withdrawal, thought broadcasting","Delusions of thought insertion, thought withdrawal, thought broadcasting",both,Signs and symptoms,normal
s_1409,Demarcation of retinal detachment (pigmented or nonpigmented),Demarcation of retinal detachment (pigmented or nonpigmented),both,Signs and symptoms,normal
s_1106,Dennie-Morgan fold,Dennie-Morgan fold,both,Signs and symptoms,normal
s_203,Dental plaque,Fuzzy teeth,both,Signs and symptoms,normal
s_1587,Depersonalization,Feeling detached from own body,both,Signs and symptoms,normal
s_169,Depressed mood,Depressed mood,both,Signs and symptoms,normal
s_916,"Depressed mood, more than 2 weeks",Consistently depressed for more than 2 weeks,both,Signs and symptoms,normal
