name,common_name,sex_filter,categories,prevalence,acuteness,severity,triage_level,recommended_channel
Acute otitis media,Middle ear infection,both,Otorhinolaryngology,moderate,acute,moderate,consultation,personal_visit
Acute pancreatitis,Acute pancreatitis,both,Gastroenterology,very_rare,acute,severe,emergency,personal_visit
Acute porphyria,Acute porphyria,both,Genetics,very_rare,chronic_with_exacerbations,severe,consultation_24,personal_visit
Acute rheumatic fever,Acute rheumatic fever,both,Cardiology,very_rare,acute,moderate,consultation_24,personal_visit
Acute stimulant overdose,Acute stimulant overdose,both,Toxicology,very_rare,acute,severe,emergency_ambulance,personal_visit
Acute streptococcal tonsillopharyngitis,Acute streptococcal tonsillopharyngitis,both,Otorhinolaryngology,moderate,acute,moderate,consultation_24,personal_visit
Acute stress reaction,Acute reaction to stress,both,Psychiatry,rare,acute_potentially_chronic,mild,self_care,video_teleconsultation
Acute thyroiditis,Acute thyroiditis,both,Endocrinology,very_rare,acute,moderate,consultation_24,personal_visit
Acute upper gastrointestinal bleeding,Acute upper gastrointestinal bleeding,both,Gastroenterology,very_rare,acute,severe,emergency,personal_visit
Acute upper limb ischemia,Acute upper limb ischemia,both,Surgery,very_rare,acute,severe,emergency,personal_visit
Acute urticaria,Short-term hives,both,Dermatology,moderate,acute,mild,self_care,video_teleconsultation
Acute viral rhinosinusitis,Acute viral sinusitis,both,Otorhinolaryngology,moderate,acute,moderate,self_care,audio_teleconsultation
Acute viral tonsillopharyngitis,Acute viral tonsillopharyngitis,both,Otorhinolaryngology,common,acute,mild,self_care,video_teleconsultation
Addison's disease,Addison's disease,both,Endocrinology,very_rare,chronic_with_exacerbations,moderate,consultation,personal_visit
Adenomyosis,Adenomyosis,female,Gynecology,very_rare,chronic,mild,consultation,personal_visit
Adhesive capsulitis of shoulder,Frozen shoulder,both,Orthopedics,very_rare,chronic,mild,consultation,personal_visit
Adjustment disorder,Adjustment disorder,both,Psychiatry,very_rare,acute_potentially_chronic,mild,self_care,video_teleconsultation
Adrenal cancer,Adrenal cancer,both,Oncology,very_rare,chronic,severe,consultation,personal_visit
Adverse event following immunization,Post-immunization reaction,both,Infectiology,very_rare,acute_potentially_chronic,mild,self_care,personal_visit
African trypanosomiasis,Sleeping sickness,both,Infectiology,very_rare,acute,severe,consultation_24,personal_visit
Agoraphobia,Agoraphobia,both,Psychiatry,very_rare,chronic,mild,consultation,audio_teleconsultation
Alcohol poisoning,Alcohol poisoning,both,Toxicology,very_rare,acute,severe,emergency,personal_visit
Alcohol withdrawal syndrome,Alcohol withdrawal syndrome,both,Psychiatry,very_rare,acute,moderate,consultation_24,personal_visit
Alcoholic cerebellar degeneration,Alcoholic cerebellar degeneration,both,Toxicology,very_rare,chronic,mild,consultation,personal_visit
Alcoholic liver disease,Alcoholic liver disease,both,Gastroenterology,very_rare,chronic,moderate,consultation,personal_visit
Alcoholism,Alcoholism,both,Psychiatry,very_rare,chronic,moderate,consultation,video_teleconsultation
Allergic bronchopulmonary aspergillosis,Allergic bronchopulmonary aspergillosis,both,Pulmonology,very_rare,acute_potentially_chronic,severe,consultation,personal_visit
Allergic conjunctivitis,Allergic conjunctivitis,both,Allergology,moderate,chronic_with_exacerbations,mild,self_care,video_teleconsultation
Allergic rhinitis,Hay fever,both,Allergology,moderate,chronic_with_exacerbations,mild,self_care,text_teleconsultation
Alopecia,Baldness,both,Dermatology,rare,chronic,mild,consultation,personal_visit
Amebiasis,Amebiasis,both,Infectiology,very_rare,acute,moderate,consultation_24,personal_visit
American trypanosomiasis,Chagas disease,both,Infectiology,very_rare,acute_potentially_chronic,severe,consultation_24,personal_visit
Ampullary cancer,Ampullary cancer,both,Oncology,very_rare,chronic,severe,consultation,personal_visit
Amyloidosis,Amyloidosis,both,Rheumatology,very_rare,chronic,moderate,consultation,personal_visit
Amyotrophic lateral sclerosis,Amyotrophic lateral sclerosis,both,Neurology,very_rare,chronic,severe,consultation,personal_visit
Anal cancer,Anal cancer,both,Oncology,very_rare,chronic,severe,consultation,personal_visit
Anal fissure,Anal fissure,both,Surgery,rare,chronic_with_exacerbations,moderate,consultation,personal_visit
Anal fistula,Anal fistula,both,Surgery,rare,chronic,severe,consultation_24,personal_visit
Anaphylaxis,Severe allergic reaction,both,Allergology,very_rare,acute,severe,emergency_ambulance,personal_visit
Anemia of chronic disease,Anemia of chronic disease,both,Hematology,very_rare,chronic,moderate,consultation,audio_teleconsultation
Angioedema,Angioedema,both,Allergology,rare,acute,severe,emergency,personal_visit
Ankle contusion,Ankle contusion,both,Traumatology,very_rare,acute,mild,self_care,video_teleconsultation
Ankle joint dislocation,Dislocated ankle,both,Traumatology,very_rare,acute,moderate,consultation,personal_visit
Ankle osteoarthritis,Ankle osteoarthritis,both,Orthopedics,very_rare,chronic,mild,consultation,personal_visit
Ankylosing spondylitis,Ankylosing spondylitis,both,Rheumatology,very_rare,chronic,moderate,consultation,personal_visit
Anogenital warts,Genital warts,both,Venereology,rare,chronic,mild,consultation,personal_visit
Anorexia nervosa,Anorexia nervosa,both,Psychiatry,very_rare,chronic,moderate,consultation,video_teleconsultation
Antibiotic associated diarrhea,Antibiotic associated diarrhea,both,Gastroenterology,very_rare,acute,mild,consultation,audio_teleconsultation
Antiphospholipid syndrome,Antiphospholipid syndrome,both,Rheumatology,very_rare,chronic_with_exacerbations,severe,consultation_24,personal_visit
Anxiety disorder,Anxiety disorder,both,Psychiatry,moderate,chronic_with_exacerbations,moderate,consultation,video_teleconsultation
Anxiety disorder with panic attacks,Anxiety disorder with panic attacks,both,Psychiatry,rare,chronic_with_exacerbations,severe,consultation_24,video_teleconsultation
Aphthous stomatitis,Canker sores,both,Dentistry,rare,chronic_with_exacerbations,mild,consultation,personal_visit
Aplastic anemia,Aplastic anemia,both,Hematology,very_rare,acute_potentially_chronic,severe,consultation,personal_visit
Appendicitis,Appendicitis,both,Surgery,rare,acute,severe,emergency,personal_visit
Arm contusion,Arm contusion,both,Traumatology,very_rare,acute,mild,self_care,video_teleconsultation
Ascariasis,Ascariasis,both,Infectiology,very_rare,acute_potentially_chronic,mild,consultation_24,personal_visit
Asthma,Asthma,both,Pulmonology,rare,chronic_with_exacerbations,moderate,consultation,personal_visit
Asthma exacerbation,Asthma exacerbation,both,Pulmonology,very_rare,acute_potentially_chronic,moderate,consultation_24,personal_visit
Atopic dermatitis,Eczema,both,Allergology,rare,chronic_with_exacerbations,mild,consultation,video_teleconsultation
Atrial fibrillation,Atrial fibrillation,both,Cardiology,very_rare,chronic_with_exacerbations,severe,emergency,personal_visit
Attention deficit hyperactivity disorder,Attention deficit hyperactivity disorder,both,Psychiatry,very_rare,chronic,moderate,consultation,video_teleconsultation
Atypical pneumonia,Atypical pneumonia,both,Pulmonology,moderate,acute,moderate,consultation_24,personal_visit
Autoimmune hepatitis,Autoimmune hepatitis,both,Gastroenterology,very_rare,chronic_with_exacerbations,severe,consultation_24,personal_visit
Back and pelvis contusion,Back and pelvis contusion,both,Traumatology,very_rare,acute,mild,self_care,video_teleconsultation
Bacterial gastroenteritis,Bacterial gastroenteritis,both,Gastroenterology,moderate,acute,moderate,consultation,audio_teleconsultation
Bacterial meningitis,Bacterial meningitis,both,Infectiology,very_rare,acute,severe,emergency_ambulance,personal_visit
Bacterial vaginitis,Bacterial vaginitis,female,Gynecology,rare,acute_potentially_chronic,mild,consultation,personal_visit
Baker's cyst,Baker's cyst of knee,both,Orthopedics,rare,chronic,mild,consultation,personal_visit
Balanoposthitis,Balanoposthitis,male,Urology,rare,acute,moderate,consultation,personal_visit
Bartholin's abscess,Bartholin's abscess,female,Gynecology,rare,acute,moderate,consultation_24,personal_visit
Bartholin's cyst,Vulvar cyst,female,Gynecology,moderate,acute_potentially_chronic,mild,consultation,personal_visit
Beeturia,Red urine after eating beets,both,Other,very_rare,acute,mild,self_care,personal_visit
Behçet's disease,Behçet's disease,both,Rheumatology,very_rare,chronic_with_exacerbations,mild,consultation,personal_visit
Benign paroxysmal positional vertigo,Benign paroxysmal positional vertigo,both,Otorhinolaryngology,very_rare,chronic,mild,consultation,video_teleconsultation
Benign prostatic hyperplasia,Benign prostatic hyperplasia,male,Urology,very_rare,chronic,mild,consultation,personal_visit
Bipolar disorder,Bipolar disorder,both,Psychiatry,rare,chronic_with_exacerbations,severe,consultation_24,video_teleconsultation
Biventricular heart failure,Biventricular heart failure,both,Cardiology,very_rare,chronic,severe,consultation_24,personal_visit
Bladder cancer,Bladder cancer,both,Urology,very_rare,chronic,severe,consultation,personal_visit
Blepharitis,Eyelid inflammation,both,Ophthalmology,moderate,chronic_with_exacerbations,mild,self_care,video_teleconsultation
Blunt abdominal trauma,Blunt stomach trauma,both,Traumatology,very_rare,acute,moderate,consultation,personal_visit
Botulism,Botulism,both,Infectiology,very_rare,acute,severe,emergency_ambulance,personal_visit
Brain abscess,Brain abscess,both,Infectiology,very_rare,acute_potentially_chronic,severe,emergency_ambulance,personal_visit
Brain tumour,Brain tumour,both,Neurology,very_rare,chronic,severe,consultation_24,personal_visit
Braincase fracture,Broken skull,both,Traumatology,very_rare,acute,severe,emergency,personal_visit
Breast cancer,Breast cancer,female,Oncology,rare,chronic,severe,consultation,personal_visit
Brucellosis,Brucellosis,both,Infectiology,very_rare,acute_potentially_chronic,moderate,consultation_24,personal_visit
Budd-Chiari syndrome,Budd-Chiari syndrome,both,Gastroenterology,very_rare,chronic,severe,consultation_24,personal_visit
Bulimia nervosa,Bulimia,both,Psychiatry,very_rare,chronic,moderate,consultation,video_teleconsultation
Burn,Burn,both,Traumatology,very_rare,acute,moderate,self_care,video_teleconsultation
Bursitis,Bursitis,both,Orthopedics,rare,chronic,mild,self_care,personal_visit
COVID-19,COVID-19,both,Infectiology,very_rare,acute,moderate,self_care,video_teleconsultation
Carbon monoxide poisoning,Carbon monoxide poisoning,both,Toxicology,very_rare,acute,severe,emergency_ambulance,personal_visit
Carcinoid syndrome,Carcinoid syndrome,both,Oncology,very_rare,chronic_with_exacerbations,severe,consultation_24,personal_visit
Cardiac syncope,Cardiac fainting,both,Cardiology,rare,chronic,moderate,consultation_24,personal_visit
Cardiac tamponade,Cardiac tamponade,both,Cardiology,very_rare,acute,severe,emergency_ambulance,personal_visit
Cardiogenic shock,Cardiogenic shock,both,Cardiology,very_rare,acute,severe,emergency_ambulance,personal_visit
Carotid artery dissection,Carotid artery dissection,both,Neurology,very_rare,acute,severe,emergency_ambulance,personal_visit
Carpal tunnel syndrome,Carpal tunnel syndrome,both,Orthopedics,rare,chronic_with_exacerbations,moderate,consultation,personal_visit
Cat-scratch disease,Cat-scratch disease,both,Infectiology,very_rare,acute,mild,consultation,personal_visit
Cataract,Cataract,both,Ophthalmology,rare,chronic,mild,consultation,personal_visit
Cauda equina syndrome,Cauda equina syndrome,both,Neurology,very_rare,acute,severe,emergency,personal_visit
Cavernous sinus thrombosis,Cavernous sinus thrombosis,both,Neurology,very_rare,acute_potentially_chronic,severe,emergency,personal_visit
Celiac disease,Celiac disease,both,Gastroenterology,very_rare,chronic_with_exacerbations,moderate,consultation,personal_visit
Cerebellar stroke,Cerebellar stroke,both,Neurology,very_rare,acute_potentially_chronic,severe,emergency_ambulance,personal_visit
Cerebellopontine angle syndrome,Acoustic neuroma,both,Neurology,very_rare,chronic,severe,consultation_24,personal_visit
Cervical acceleration-deceleration syndrome,Whiplash injury,both,Traumatology,very_rare,acute,moderate,consultation_24,personal_visit
Cervical cancer,Cervical cancer,female,Gynecology,very_rare,chronic,severe,consultation,personal_visit
Cervical radiculopathy,Cervical neuropathy,both,Orthopedics,very_rare,chronic_with_exacerbations,moderate,consultation,personal_visit
Cervical strain,Neck strain,both,Orthopedics,common,acute,moderate,self_care,video_teleconsultation
Cervical vertebra fracture,Neck fracture,both,Traumatology,very_rare,acute,severe,emergency,personal_visit
Cervicitis,Acute inflammation of the uterine cervix,female,Gynecology,rare,acute_potentially_chronic,mild,consultation,personal_visit
Chalazion,Chalazion,both,Ophthalmology,moderate,chronic,mild,consultation,video_teleconsultation
"Chest pain, unspecified",Unspecific chest pain,both,Internal Medicine,common,acute_potentially_chronic,mild,self_care,personal_visit
Chickenpox,Chickenpox,both,Infectiology,very_rare,acute,mild,consultation_24,personal_visit
Chikungunya virus infection,Chikungunya virus infection,both,Infectiology,very_rare,acute,mild,consultation_24,audio_teleconsultation
Chlamydial genitourinary infection,Genital Chlamydia,both,Venereology,rare,acute_potentially_chronic,mild,consultation_24,personal_visit
Cholecystitis,Inflammation of the gallbladder,both,Surgery,very_rare,acute,severe,emergency,personal_visit
Cholecystolithiasis,Gallstones within the gallbladder,both,Gastroenterology,very_rare,chronic_with_exacerbations,severe,consultation,personal_visit
Cholera,Cholera,both,Infectiology,very_rare,acute,severe,emergency,personal_visit
Cholestasis,Cholestasis,both,Gastroenterology,rare,chronic,mild,consultation_24,personal_visit
Cholestasis of pregnancy,Cholestasis of pregnancy,female,Gynecology,very_rare,acute,severe,consultation_24,personal_visit
Chronic cannabinoid use,Chronic cannabinoid use,both,Toxicology,very_rare,chronic,mild,self_care,video_teleconsultation
Chronic constipation,Chronic constipation,both,Gastroenterology,rare,chronic,mild,consultation,audio_teleconsultation
Chronic fatigue syndrome,Chronic fatigue syndrome,both,Internal Medicine,rare,chronic,mild,self_care,audio_teleconsultation
Chronic heart failure,Chronic heart failure,both,Cardiology,very_rare,chronic,severe,consultation,personal_visit
Chronic intestinal ischemia,Chronic intestinal ischemia,both,Gastroenterology,very_rare,chronic_with_exacerbations,moderate,consultation,personal_visit
Chronic kidney disease,Chronic kidney disease,both,Nephrology,very_rare,chronic,moderate,consultation,personal_visit
Chronic lymphocytic leukemia,Chronic lymphocytic leukemia,both,Hematology,very_rare,chronic,severe,consultation,audio_teleconsultation
Chronic myelogenous leukemia,Chronic myelogenous leukemia,both,Hematology,very_rare,chronic,severe,consultation,audio_teleconsultation
Chronic obstructive pulmonary disease,Chronic obstructive pulmonary disease,both,Pulmonology,very_rare,chronic_with_exacerbations,moderate,consultation,personal_visit
Chronic obstructive pulmonary disease exacerbation,Chronic obstructive pulmonary disease exacerbation,both,Pulmonology,very_rare,acute_potentially_chronic,moderate,consultation_24,personal_visit
Chronic pancreatitis,Chronic pancreatitis,both,Gastroenterology,very_rare,chronic_with_exacerbations,moderate,consultation,personal_visit
Chronic sinusitis,Chronic sinusitis,both,Otorhinolaryngology,moderate,chronic,mild,consultation,personal_visit
Chronic tonsillitis,Chronic tonsillitis,both,Otorhinolaryngology,rare,chronic,moderate,consultation,personal_visit
Chronic urticaria,Chronic hives,both,Dermatology,rare,chronic,moderate,consultation,personal_visit
Chronic venous insufficiency,Chronic venous insufficiency,both,Angiology,rare,chronic,mild,self_care,personal_visit
Churg-Strauss syndrome,Churg-Strauss syndrome,both,Angiology,very_rare,chronic_with_exacerbations,moderate,consultation,personal_visit
Cirrhosis of the liver,Cirrhosis of the liver,both,Gastroenterology,very_rare,chronic,severe,consultation,personal_visit
Clavicle fracture,Broken collarbone,both,Traumatology,very_rare,acute,moderate,consultation,personal_visit
Clostridium difficile-associated disease,Clostridium difficile-associated disease,both,Gastroenterology,very_rare,acute_potentially_chronic,mild,consultation_24,personal_visit
Cluster headaches,Cluster headaches,both,Neurology,rare,chronic_with_exacerbations,mild,consultation,audio_teleconsultation
Cold urticaria,Cold urticaria,both,Dermatology,rare,chronic_with_exacerbations,moderate,self_care,video_teleconsultation
Colon cancer,Colon cancer,both,Gastroenterology,very_rare,chronic,severe,consultation,audio_teleconsultation
Common cold,Common cold,both,Infectiology,common,acute,mild,self_care,text_teleconsultation
Concussion,Concussion,both,Neurology,very_rare,acute,moderate,emergency,personal_visit
Conjunctivitis,Pink eye,both,Ophthalmology,common,acute_potentially_chronic,mild,consultation,video_teleconsultation
Conn's syndrome,Conn's syndrome,both,Endocrinology,very_rare,chronic,severe,consultation,personal_visit
"Constipation, unspecified",Unspecific constipation,both,Internal Medicine,common,acute_potentially_chronic,mild,self_care,text_teleconsultation
Contact dermatitis,Contact dermatitis,both,Dermatology,moderate,chronic_with_exacerbations,mild,consultation,video_teleconsultation
Corneal abrasion,Corneal abrasion,both,Ophthalmology,rare,acute,severe,consultation_24,personal_visit
Corneal ulceration,Corneal ulceration,both,Ophthalmology,rare,acute,severe,consultation_24,personal_visit
Corns and callosities,Corns and callosities,both,Dermatology,common,chronic,mild,self_care,video_teleconsultation
Corticotropin releasing pituitary adenoma,Corticotropin releasing pituitary adenoma,both,Endocrinology,very_rare,chronic,severe,consultation,personal_visit
Costochondritis,Costochondritis,both,Orthopedics,moderate,acute_potentially_chronic,mild,self_care,audio_teleconsultation
"Cough, unspecified",Unspecific cough,both,Internal Medicine,common,acute,mild,self_care,text_teleconsultation
Crohn's disease,Crohn's disease,both,Gastroenterology,very_rare,chronic_with_exacerbations,severe,consultation,personal_visit
Crohn's disease exacerbation,Crohn's disease flare-up,both,Gastroenterology,very_rare,acute_potentially_chronic,severe,consultation_24,personal_visit
Cruciate ligament injury,Cruciate ligament injury,both,Traumatology,very_rare,acute_potentially_chronic,moderate,consultation_24,personal_visit
Cushing's syndrome,Cushing's syndrome,both,Endocrinology,very_rare,chronic,severe,consultation,personal_visit
Cystic fibrosis,Cystic fibrosis,both,Pulmonology,very_rare,chronic_with_exacerbations,severe,consultation,personal_visit
Cysticercosis,Cysticercosis,both,Infectiology,very_rare,chronic_with_exacerbations,severe,consultation,personal_visit
De Quervain syndrome,De Quervain syndrome,both,Orthopedics,very_rare,chronic,mild,self_care,personal_visit
De Quervain's thyroiditis,De Quervain's thyroiditis,both,Endocrinology,very_rare,acute,moderate,consultation_24,personal_visit
Death cap poisoning,Mushroom poisoning,both,Toxicology,very_rare,acute,severe,emergency,personal_visit
Decompression sickness,Decompression sickness,both,Other,very_rare,acute,severe,emergency_ambulance,personal_visit
Deep vein thrombosis,Deep vein thrombosis,both,Angiology,very_rare,chronic_with_exacerbations,severe,emergency,personal_visit
Degenerative disc disease of the cervical spine,Degenerative disc disease of the cervical spine,both,Neurology,rare,chronic,mild,consultation,personal_visit
Degenerative disc disease of the lumbar and sacral spine,Degenerative disc disease of the lumbar and sacral spine,both,Orthopedics,rare,chronic_with_exacerbations,mild,consultation,personal_visit
Degenerative disc disease of the thoracic spine,Degenerative disc disease of the thoracic spine,both,Orthopedics,very_rare,chronic,mild,consultation,personal_visit
Dehydration,Dehydration,both,Internal Medicine,rare,acute_potentially_chronic,moderate,self_care,audio_teleconsultation
Delayed onset muscle soreness,Muscle fever,both,Other,moderate,acute,mild,self_care,personal_visit
Dengue fever,Dengue fever,both,Infectiology,very_rare,acute,severe,emergency,personal_visit
Dental caries,Dental cavities,both,Dentistry,common,chronic,mild,consultation,personal_visit
Dental pulp gangrene,Dental pulp gangrene,both,Dentistry,rare,acute,severe,consultation_24,personal_visit
Dental trauma,Tooth injury,both,Dentistry,very_rare,acute,moderate,consultation,personal_visit
Dentin hypersensitivity,Tooth sensitivity,both,Dentistry,common,chronic,mild,consultation,personal_visit
Depersonalization-derealization disorder,Depersonalization-derealization disorder,both,Psychiatry,very_rare,chronic,severe,consultation,video_teleconsultation
Dermatomyositis,Dermatomyositis,both,Dermatology,very_rare,chronic_with_exacerbations,moderate,consultation,personal_visit
Diabetes insipidus,Diabetes insipidus,both,Endocrinology,very_rare,chronic,moderate,consultation_24,personal_visit
Diabetes mellitus type 1,Diabetes mellitus type 1,both,Diabetology,very_rare,chronic_with_exacerbations,severe,consultation,personal_visit
Diabetes mellitus type 2,Diabetes mellitus type 2,both,Diabetology,rare,chronic_with_exacerbations,severe,consultation,personal_visit
Diabetic foot infection,Diabetic foot infection,both,Angiology,very_rare,chronic_with_exacerbations,moderate,consultation_24,personal_visit
Diabetic ketoacidosis,Diabetic ketoacidosis,both,Diabetology,very_rare,acute,severe,emergency_ambulance,personal_visit
Diabetic nephropathy,Diabetic kidney disease,both,Nephrology,very_rare,chronic,moderate,consultation,audio_teleconsultation
Diabetic neuropathy,Diabetic neuropathy,both,Neurology,very_rare,chronic,moderate,consultation,personal_visit
Diabetic retinopathy,Diabetic retinopathy,both,Ophthalmology,very_rare,chronic,moderate,consultation,personal_visit
"Diarrhea, unspecified",Unspecific diarrhea,both,Gastroenterology,common,acute,mild,self_care,text_teleconsultation
Dilated cardiomyopathy,Dilated cardiomyopathy,both,Cardiology,very_rare,chronic,severe,consultation_24,personal_visit
"Disorder of the skin and subcutaneous tissue, unspecified",Unspecific skin disorder,both,Dermatology,common,acute_potentially_chronic,mild,self_care,video_teleconsultation
Disulfiram-like reaction,Disulfiram-like reaction,both,Toxicology,very_rare,acute,moderate,emergency,personal_visit
Diverticulitis,Diverticulitis,both,Gastroenterology,very_rare,chronic_with_exacerbations,mild,consultation_24,personal_visit
Diverticulosis,Diverticulosis,both,Gastroenterology,very_rare,chronic,mild,self_care,video_teleconsultation
Dry eye disease,Dry eye syndrome,both,Ophthalmology,moderate,chronic,mild,self_care,audio_teleconsultation
Ear barotrauma,Ear barotrauma,both,Otorhinolaryngology,very_rare,acute,moderate,consultation,personal_visit
Earwax blockage,Earwax blockage,both,Otorhinolaryngology,moderate,acute_potentially_chronic,mild,self_care,personal_visit
Echinococcosis,Echinococcosis,both,Infectiology,very_rare,chronic_with_exacerbations,severe,consultation,personal_visit
Eclampsia,Eclampsia,female,Gynecology,very_rare,acute,severe,emergency_ambulance,personal_visit
Ectopic pregnancy,Ectopic pregnancy,female,Gynecology,very_rare,acute,severe,emergency,personal_visit
Edema in pregnancy,Edema in pregnancy,female,Gynecology,very_rare,acute,mild,self_care,personal_visit
Elbow contusion,Elbow contusion,both,Traumatology,very_rare,acute,mild,self_care,video_teleconsultation
Elbow dislocation,Dislocated elbow,both,Traumatology,very_rare,acute,moderate,consultation_24,personal_visit
Electrical injury,Electrical injury,both,Traumatology,very_rare,acute,moderate,emergency,personal_visit
Encephalitis,Encephalitis,both,Infectiology,very_rare,acute_potentially_chronic,severe,emergency,personal_visit
Endometrial cancer,Endometrial cancer,female,Gynecology,very_rare,chronic,severe,consultation,personal_visit
Endometrial polyp,Endometrial polyp,female,Gynecology,moderate,chronic,severe,consultation,personal_visit
Endometriosis,Endometriosis,female,Gynecology,very_rare,chronic_with_exacerbations,mild,consultation,personal_visit
Enterobiasis,Pinworm infection,both,Infectiology,very_rare,acute_potentially_chronic,mild,consultation,audio_teleconsultation
Epicondylitis,Epicondylitis,both,Orthopedics,rare,acute_potentially_chronic,mild,consultation,personal_visit
Epiglottitis,Inflammation of the epiglottis,both,Otorhinolaryngology,very_rare,acute,severe,consultation_24,personal_visit
Epilepsy with loss of consciousness,Epilepsy with loss of consciousness,both,Neurology,very_rare,chronic_with_exacerbations,severe,consultation,personal_visit
Epilepsy without loss of consciousness,Epilepsy without loss of consciousness,both,Neurology,very_rare,chronic_with_exacerbations,severe,consultation,personal_visit
Epistaxis,Nosebleed,both,Otorhinolaryngology,moderate,acute,mild,self_care,video_teleconsultation
Erysipelas,Erysipelas,both,Infectiology,rare,acute,moderate,consultation_24,personal_visit
Erythema nodosum,Erythema nodosum,both,Dermatology,rare,acute_potentially_chronic,moderate,consultation,personal_visit
Erythroderma,Erythroderma,both,Dermatology,very_rare,acute_potentially_chronic,severe,consultation_24,personal_visit
Esophageal diverticula,Esophageal diverticula,both,Gastroenterology,rare,chronic,mild,consultation,personal_visit
Essential thrombocytosis,Essential thrombocythemia,both,Hematology,very_rare,chronic,moderate,consultation,audio_teleconsultation
Essential tremor,Essential tremor,both,Neurology,very_rare,chronic,mild,consultation,personal_visit
External ear injury,Injured ear,both,Traumatology,very_rare,acute,moderate,consultation,video_teleconsultation
Eye injury,Eye injury,both,Ophthalmology,very_rare,acute,moderate,emergency,personal_visit
"Eyelid twitch, unspecified",Eyelid twitch,both,Ophthalmology,moderate,chronic,mild,self_care,personal_visit
Facial bones fracture,Broken facial bones,both,Traumatology,very_rare,acute,severe,emergency,personal_visit
Facial contusion,Facial bruise,both,Traumatology,very_rare,acute,moderate,self_care,video_teleconsultation
Facial nerve palsy,Facial nerve palsy,both,Neurology,very_rare,acute_potentially_chronic,mild,consultation_24,personal_visit
Fasciolosis,Fascioliasis,both,Infectiology,very_rare,chronic,mild,consultation,personal_visit
